actual_model,assumed_model,truth_azimuth_deg,truth_elevation_deg,estimated_azimuth_deg,estimated_elevation_deg,score,azimuth_error_deg,elevation_error_deg
ideal_half_lambda,provisional_pcb_endpoint,-40.0,0.0,-12.0,0.0,0.45109449012124314,28.0,0.0
ideal_half_lambda,provisional_pcb_endpoint,-20.0,0.0,-6.0,1.0,0.8015025067678062,14.0,1.0
ideal_half_lambda,provisional_pcb_endpoint,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ideal_half_lambda,provisional_pcb_endpoint,20.0,0.0,6.0,-1.0,0.8015025067678077,-14.0,-1.0
ideal_half_lambda,provisional_pcb_endpoint,40.0,0.0,12.0,0.0,0.45109449012124325,-28.0,0.0
ideal_half_lambda,provisional_pcb_endpoint,60.0,0.0,3.0,20.0,0.44264150389454643,-57.0,20.0
ideal_half_lambda,provisional_pcb_endpoint,-60.0,10.0,10.0,20.0,0.5662347080245992,70.0,10.0
ideal_half_lambda,provisional_pcb_endpoint,-40.0,10.0,15.0,20.0,0.6056632269773622,55.0,10.0
ideal_half_lambda,provisional_pcb_endpoint,-20.0,10.0,21.0,20.0,0.49694977854296724,41.0,10.0
ideal_half_lambda,provisional_pcb_endpoint,0.0,10.0,1.0,1.0,0.7130690469960321,1.0,-9.0
ideal_half_lambda,provisional_pcb_endpoint,20.0,10.0,8.0,2.0,0.923584442593098,-12.0,-8.0
ideal_half_lambda,provisional_pcb_endpoint,40.0,10.0,13.0,1.0,0.8162794758738932,-27.0,-9.0
ideal_half_lambda,provisional_pcb_endpoint,60.0,10.0,17.0,1.0,0.5956359531155391,-43.0,-9.0
ideal_half_lambda,provisional_pcb_endpoint,-60.0,20.0,26.0,5.0,0.5000936556702587,86.0,-15.0
ideal_half_lambda,provisional_pcb_endpoint,-40.0,20.0,16.0,20.0,0.5839759556768516,56.0,0.0
ideal_half_lambda,provisional_pcb_endpoint,-20.0,20.0,23.0,20.0,0.6953581661694979,43.0,0.0
ideal_half_lambda,provisional_pcb_endpoint,0.0,20.0,30.0,20.0,0.5895366157927096,30.0,0.0
ideal_half_lambda,provisional_pcb_endpoint,20.0,20.0,9.0,3.0,0.5386342028946188,-11.0,-17.0
ideal_half_lambda,provisional_pcb_endpoint,40.0,20.0,14.0,3.0,0.7291597868080624,-26.0,-17.0
ideal_half_lambda,provisional_pcb_endpoint,60.0,20.0,18.0,3.0,0.7398739714362648,-42.0,-17.0
provisional_pcb_endpoint,ideal_half_lambda,-60.0,-20.0,31.0,-4.0,0.034266282686370636,91.0,16.0
provisional_pcb_endpoint,ideal_half_lambda,-40.0,-20.0,-20.0,-20.0,0.27842100891384397,20.0,0.0
provisional_pcb_endpoint,ideal_half_lambda,-20.0,-20.0,26.0,-18.0,0.6851869264058302,46.0,2.0
provisional_pcb_endpoint,ideal_half_lambda,0.0,-20.0,3.0,0.0,0.5835842594651183,3.0,20.0
provisional_pcb_endpoint,ideal_half_lambda,20.0,-20.0,-32.0,18.0,0.577541216689976,-52.0,38.0
provisional_pcb_endpoint,ideal_half_lambda,40.0,-20.0,15.0,20.0,0.3078517883040903,-25.0,40.0
provisional_pcb_endpoint,ideal_half_lambda,60.0,-20.0,53.0,4.0,0.043244112898970656,-7.0,24.0
provisional_pcb_endpoint,ideal_half_lambda,-60.0,-10.0,23.0,-6.0,0.058179802133578616,83.0,4.0
provisional_pcb_endpoint,ideal_half_lambda,-40.0,-10.0,60.0,-20.0,0.12607797599653792,100.0,-10.0
provisional_pcb_endpoint,ideal_half_lambda,-20.0,-10.0,-60.0,-18.0,0.6623720255622361,-40.0,-8.0
provisional_pcb_endpoint,ideal_half_lambda,0.0,-10.0,2.0,0.0,0.8719738251833923,2.0,10.0
provisional_pcb_endpoint,ideal_half_lambda,20.0,-10.0,60.0,18.0,0.4827394550623215,40.0,28.0
provisional_pcb_endpoint,ideal_half_lambda,40.0,-10.0,-60.0,20.0,0.19167142716187474,-100.0,30.0
provisional_pcb_endpoint,ideal_half_lambda,60.0,-10.0,-20.0,6.0,0.06317771986700434,-80.0,16.0
