scenario,model,trials,azimuth_rmse_deg,elevation_rmse_deg,combined_rmse_deg,mean_peak_to_second_db,min_peak_to_second_db,mean_score
ideal_clean,ideal_half_lambda,15,0.0,0.0,0.0,0.012507401786663125,0.009154518099919061,1.0
pcb_clean,pcb_centroid_candidate,15,0.0,0.0,0.0,0.09979963129848805,1.6655680653573197e-07,1.0
pcb_calibration_1db_5deg,pcb_centroid_candidate,300,2.1150256105620406,5.599702373043291,4.232611487013662,0.09115752072389492,6.088119739943195e-07,0.9804323533757247
pcb_snr20_calibration,pcb_centroid_candidate,300,2.467117075995111,5.707305260219864,4.396589587396122,0.08755863714178545,3.2694381109184653e-07,0.9721061802523123
pcb_snr10_calibration,pcb_centroid_candidate,300,17.545844712257846,7.802563681252464,13.578230125216368,0.07484585863829415,9.49355757460662e-07,0.9006858250483261
