scenario,model,gain_std_db,phase_std_deg,snr_db,trials,trial,truth_azimuth_deg,truth_elevation_deg,estimated_azimuth_deg,estimated_elevation_deg,score,second_peak_azimuth_deg,second_peak_elevation_deg,second_peak_score,peak_to_second_db,azimuth_error_deg,elevation_error_deg
pcb_calibration_1db_5deg,pcb_centroid_candidate,1.0,5.0,,20,0,-40.0,-10.0,-40.0,-10.0,0.9778669322610114,-50.0,4.0,0.9766984924438974,0.005192428138170349,0.0,0.0
pcb_calibration_1db_5deg,pcb_centroid_candidate,1.0,5.0,,20,1,-40.0,-10.0,-50.0,4.0,0.9812439062786219,-40.0,-10.0,0.9768495554427121,0.019492895112629288,-10.0,14.0
pcb_calibration_1db_5deg,pcb_centroid_candidate,1.0,5.0,,20,2,-40.0,-10.0,-40.0,-10.0,0.9850530477799181,-50.0,4.0,0.9826936797980351,0.010414561711473414,0.0,0.0
pcb_calibration_1db_5deg,pcb_centroid_candidate,1.0,5.0,,20,3,-40.0,-10.0,-50.0,4.0,0.9823482502557989,-40.0,-10.0,0.9823204694747414,0.00012282009476526778,-10.0,14.0
pcb_calibration_1db_5deg,pcb_centroid_candidate,1.0,5.0,,20,4,-40.0,-10.0,-40.0,-10.0,0.9769421893845622,-50.0,4.0,0.9755530578572715,0.0061797052728744355,0.0,0.0
pcb_calibration_1db_5deg,pcb_centroid_candidate,1.0,5.0,,20,5,-40.0,-10.0,-40.0,-10.0,0.9856154106055299,-50.0,4.0,0.981085647260235,0.02000563019986837,0.0,0.0
pcb_calibration_1db_5deg,pcb_centroid_candidate,1.0,5.0,,20,6,-40.0,-10.0,-40.0,-10.0,0.9730398084689216,-50.0,4.0,0.9718303037935063,0.005401710590081885,0.0,0.0
pcb_calibration_1db_5deg,pcb_centroid_candidate,1.0,5.0,,20,7,-40.0,-10.0,-40.0,-10.0,0.9841144054984687,-50.0,4.0,0.9826986222425171,0.0062524190470482546,0.0,0.0
pcb_calibration_1db_5deg,pcb_centroid_candidate,1.0,5.0,,20,8,-40.0,-10.0,-40.0,-10.0,0.9860789157091456,-50.0,4.0,0.9827130921979236,0.014849308573029303,0.0,0.0
pcb_calibration_1db_5deg,pcb_centroid_candidate,1.0,5.0,,20,9,-40.0,-10.0,-50.0,4.0,0.9815058504142715,-40.0,-10.0,0.9802246126925132,0.0056728950500407535,-10.0,14.0
