case_id,model,frames,azimuth_rmse_to_dominant_deg,elevation_rmse_to_dominant_deg,combined_rmse_to_dominant_deg,mean_peak_to_second_db,jump_rate_over_5deg,mean_angle_jump_deg
ss0_flat,ideal_v04,41,45.972350987957064,3.8063450438130033,32.618593761476575,0.006154078536020674,0.875,58.791864129620606
ss0_flat,pcb_candidate,41,44.15560545942241,7.734806703951183,31.698144490140606,0.006946732536108212,0.95,57.96730516598598
ss1_rippled,ideal_v04,41,62.26902247154626,3.579105632298733,44.10352115585038,0.0061905918937052076,0.9,62.755367526650176
ss1_rippled,pcb_candidate,41,42.45317360318911,8.649694583782134,30.635674999705998,0.009388973259099466,0.95,45.11770800681249
ss2_normal,ideal_v04,41,53.31389051530081,4.062830395692485,37.80791922799801,0.004949699800720287,0.875,53.116896324105845
ss2_normal,pcb_candidate,41,50.174664191689494,6.82987842624304,35.80603417069578,0.005638219775984249,0.925,48.54863897676105
ss3_nominal,ideal_v04,41,45.97889643614227,3.564606699397228,32.60954874271403,0.004745068765789983,0.825,53.57424332638074
ss3_nominal,pcb_candidate,41,35.12690941941806,5.829674678986084,25.17821352104645,0.006736518137814598,0.825,43.24175432474464
ss3_upper,ideal_v04,41,66.54229442882949,3.358965763848607,47.11241661630052,0.006162758824710102,0.7,62.023609326616494
ss3_upper,pcb_candidate,41,49.087818858889875,8.546203199064838,35.23245343034523,0.00714330503045093,0.875,46.79070211967061
