case_id,source_h5,sea_state,model,frame,time_s,facet_count,dominant_azimuth_deg,dominant_elevation_deg,estimated_azimuth_deg,estimated_elevation_deg,azimuth_error_to_dominant_deg,elevation_error_to_dominant_deg,score,peak_to_second_db,angle_jump_deg
ss0_flat,D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\stages\v02_dynamic_sea_truth\results\matlab\v02b_quick_seed101_hs1m\data\ss0_flat_seed101.h5,0,ideal_v04,15,7.5,32,-45.0,-19.47122063449069,-54.0,-14.0,-9.0,5.471220634490692,0.7481459692627387,0.005297530612827697,111.64676439557037
ss0_flat,D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\stages\v02_dynamic_sea_truth\results\matlab\v02b_quick_seed101_hs1m\data\ss0_flat_seed101.h5,0,ideal_v04,16,8.0,32,71.56505117707799,-8.984876931685683,60.0,-5.0,-11.56505117707799,3.984876931685683,0.6536511360642177,0.003159108480422032,114.35471131527551
ss0_flat,D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\stages\v02_dynamic_sea_truth\results\matlab\v02b_quick_seed101_hs1m\data\ss0_flat_seed101.h5,0,ideal_v04,17,8.5,32,-45.0,-19.47122063449069,-53.0,-13.0,-8.0,6.471220634490692,0.7497514121305473,0.005381244433918399,113.28283188550682
ss0_flat,D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\stages\v02_dynamic_sea_truth\results\matlab\v02b_quick_seed101_hs1m\data\ss0_flat_seed101.h5,0,ideal_v04,18,9.0,32,-78.69006752597979,-5.600409184816617,60.0,-3.0,138.69006752597977,2.600409184816617,0.47766290788508325,0.012069957045383573,113.44161493913951
ss0_flat,D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\stages\v02_dynamic_sea_truth\results\matlab\v02b_quick_seed101_hs1m\data\ss0_flat_seed101.h5,0,ideal_v04,19,9.5,32,30.96375653207352,-4.901083564402995,31.0,-3.0,0.0362434679264787,1.9010835644029953,0.5053501078337741,0.00991047979137755,29.0
ss0_flat,D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\stages\v02_dynamic_sea_truth\results\matlab\v02b_quick_seed101_hs1m\data\ss0_flat_seed101.h5,0,ideal_v04,20,10.0,32,-45.0,-19.47122063449069,-57.0,-13.0,-12.0,6.471220634490692,0.668678955696513,0.003647561153643695,88.56635930193812
ss0_flat,D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\stages\v02_dynamic_sea_truth\results\matlab\v02b_quick_seed101_hs1m\data\ss0_flat_seed101.h5,0,ideal_v04,21,10.5,32,18.43494882292201,-3.0169613098159926,14.0,-2.0,-4.43494882292201,1.0169613098159926,0.5058783020632424,0.006795754539689829,71.84705978674423
ss0_flat,D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\stages\v02_dynamic_sea_truth\results\matlab\v02b_quick_seed101_hs1m\data\ss0_flat_seed101.h5,0,ideal_v04,22,11.0,32,12.994616791916505,-2.146245698914966,60.0,-2.0,47.005383208083494,0.14624569891496586,0.3745130682385686,0.011759341364290063,46.0
ss0_flat,D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\stages\v02_dynamic_sea_truth\results\matlab\v02b_quick_seed101_hs1m\data\ss0_flat_seed101.h5,0,ideal_v04,23,11.5,32,81.86989764584403,-4.044691235386268,60.0,-2.0,-21.869897645844034,2.044691235386268,0.6262684629462825,0.003608292869391207,0.0
ss0_flat,D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\stages\v02_dynamic_sea_truth\results\matlab\v02b_quick_seed101_hs1m\data\ss0_flat_seed101.h5,0,ideal_v04,24,12.0,32,18.43494882292201,-3.0169613098159926,-60.0,-2.0,-78.43494882292201,1.0169613098159926,0.35472409591406556,0.011747781870624165,120.0
ss0_flat,D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\stages\v02_dynamic_sea_truth\results\matlab\v02b_quick_seed101_hs1m\data\ss0_flat_seed101.h5,0,ideal_v04,25,12.5,32,-78.69006752597979,-5.600409184816617,-60.0,-3.0,18.690067525979785,2.600409184816617,0.7292430119467677,0.01280750957589989,1.0
ss0_flat,D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\stages\v02_dynamic_sea_truth\results\matlab\v02b_quick_seed101_hs1m\data\ss0_flat_seed101.h5,0,ideal_v04,26,13.0,32,71.56505117707799,-8.984876931685683,60.0,-5.0,-11.56505117707799,3.984876931685683,0.5713448889132838,0.0024213041801154655,120.01666550941998
ss0_flat,D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\stages\v02_dynamic_sea_truth\results\matlab\v02b_quick_seed101_hs1m\data\ss0_flat_seed101.h5,0,ideal_v04,27,13.5,32,-45.0,-4.044691235386268,-60.0,-2.0,-15.0,2.044691235386268,0.5536954863966541,0.005820534479585626,120.03749414245534
ss0_flat,D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\stages\v02_dynamic_sea_truth\results\matlab\v02b_quick_seed101_hs1m\data\ss0_flat_seed101.h5,0,ideal_v04,28,14.0,32,71.56505117707799,-8.984876931685683,60.0,-4.0,-11.56505117707799,4.984876931685683,0.5578827308314479,0.01743706088999269,120.01666550941998
ss0_flat,D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\stages\v02_dynamic_sea_truth\results\matlab\v02b_quick_seed101_hs1m\data\ss0_flat_seed101.h5,0,ideal_v04,29,14.5,32,81.86989764584403,-4.044691235386268,60.0,-2.0,-21.869897645844034,2.044691235386268,0.5066144439824359,0.010419510946271814,2.0
ss0_flat,D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\stages\v02_dynamic_sea_truth\results\matlab\v02b_quick_seed101_hs1m\data\ss0_flat_seed101.h5,0,ideal_v04,30,15.0,32,-11.309932474020213,-5.600409184816617,-14.0,-2.0,-2.690067525979787,3.600409184816617,0.39542270852520384,0.0004522467182184536,74.0
ss0_flat,D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\stages\v02_dynamic_sea_truth\results\matlab\v02b_quick_seed101_hs1m\data\ss0_flat_seed101.h5,0,ideal_v04,31,15.5,32,-11.309932474020213,-5.600409184816617,-60.0,-3.0,-48.690067525979785,2.600409184816617,0.45953514996213757,0.003979402422968631,46.010868281309364
ss0_flat,D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\stages\v02_dynamic_sea_truth\results\matlab\v02b_quick_seed101_hs1m\data\ss0_flat_seed101.h5,0,ideal_v04,32,16.0,32,-45.0,-19.47122063449069,-60.0,-11.0,-15.0,8.471220634490692,0.700224369019311,0.006653929713492017,8.0
ss0_flat,D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\stages\v02_dynamic_sea_truth\results\matlab\v02b_quick_seed101_hs1m\data\ss0_flat_seed101.h5,0,ideal_v04,33,16.5,32,71.56505117707799,-8.984876931685683,60.0,-6.0,-11.56505117707799,2.984876931685683,0.44715026895279436,0.012390880980356372,120.10412149464314
ss0_flat,D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\stages\v02_dynamic_sea_truth\results\matlab\v02b_quick_seed101_hs1m\data\ss0_flat_seed101.h5,0,ideal_v04,34,17.0,32,30.96375653207352,-4.901083564402995,20.0,-2.0,-10.963756532073521,2.9010835644029953,0.5600647733472578,0.014901960343473634,40.19950248448356
ss0_flat,D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\stages\v02_dynamic_sea_truth\results\matlab\v02b_quick_seed101_hs1m\data\ss0_flat_seed101.h5,0,ideal_v04,35,17.5,32,-78.69006752597979,-5.600409184816617,-60.0,-3.0,18.690067525979785,2.600409184816617,0.4436122689464452,0.00415326254483154,80.00624975587844
ss0_flat,D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\stages\v02_dynamic_sea_truth\results\matlab\v02b_quick_seed101_hs1m\data\ss0_flat_seed101.h5,0,ideal_v04,36,18.0,32,30.96375653207352,-4.901083564402995,-56.0,-2.0,-86.96375653207352,2.9010835644029953,0.3448124519988022,0.0031032985439520726,4.123105625617661
ss0_flat,D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\stages\v02_dynamic_sea_truth\results\matlab\v02b_quick_seed101_hs1m\data\ss0_flat_seed101.h5,0,ideal_v04,37,18.5,32,71.56505117707799,-8.984876931685683,60.0,-5.0,-11.56505117707799,3.984876931685683,0.7338383115665524,0.012601469997907143,116.03878661895772
ss0_flat,D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\stages\v02_dynamic_sea_truth\results\matlab\v02b_quick_seed101_hs1m\data\ss0_flat_seed101.h5,0,ideal_v04,38,19.0,32,-78.69006752597979,-5.600409184816617,24.0,-2.0,102.69006752597979,3.600409184816617,0.48618112402475466,0.00023920185232769118,36.124783736376884
ss0_flat,D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\stages\v02_dynamic_sea_truth\results\matlab\v02b_quick_seed101_hs1m\data\ss0_flat_seed101.h5,0,ideal_v04,39,19.5,32,18.43494882292201,-3.0169613098159926,-58.0,-2.0,-76.43494882292201,1.0169613098159926,0.39395852901623885,0.0020222197693627927,82.0
ss0_flat,D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\stages\v02_dynamic_sea_truth\results\matlab\v02b_quick_seed101_hs1m\data\ss0_flat_seed101.h5,0,ideal_v04,40,20.0,32,-6.34019174590991,-3.160420981763729,-13.0,-1.0,-6.65980825409009,2.160420981763729,0.39668210852120617,0.0040077614258320115,45.0111097397076
ss0_flat,D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\stages\v02_dynamic_sea_truth\results\matlab\v02b_quick_seed101_hs1m\data\ss0_flat_seed101.h5,0,pcb_candidate,0,0.0,32,-78.69006752597979,-5.600409184816617,11.0,2.0,89.69006752597979,7.600409184816617,0.1769315860223355,0.0016822221144024456,0.0
ss0_flat,D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\stages\v02_dynamic_sea_truth\results\matlab\v02b_quick_seed101_hs1m\data\ss0_flat_seed101.h5,0,pcb_candidate,1,0.5,32,71.56505117707799,-8.984876931685683,60.0,-3.0,-11.56505117707799,5.984876931685683,0.2937720397028612,0.013225429986721876,49.25444142409901
ss0_flat,D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\stages\v02_dynamic_sea_truth\results\matlab\v02b_quick_seed101_hs1m\data\ss0_flat_seed101.h5,0,pcb_candidate,2,1.0,32,-45.0,-19.47122063449069,-45.0,-18.0,0.0,1.4712206344906917,0.8578270837847857,0.0013196434844172475,106.06601717798213
ss0_flat,D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\stages\v02_dynamic_sea_truth\results\matlab\v02b_quick_seed101_hs1m\data\ss0_flat_seed101.h5,0,pcb_candidate,3,1.5,32,-68.96248897457819,-2.055915795722038,-24.0,-6.0,44.96248897457819,-3.944084204277962,0.2128088234970917,0.004049627623002654,24.186773244895647
ss0_flat,D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\stages\v02_dynamic_sea_truth\results\matlab\v02b_quick_seed101_hs1m\data\ss0_flat_seed101.h5,0,pcb_candidate,4,2.0,32,-45.0,-19.47122063449069,-46.0,-20.0,-1.0,-0.5287793655093083,0.684345501143733,0.035744449581996594,26.076809620810597
ss0_flat,D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\stages\v02_dynamic_sea_truth\results\matlab\v02b_quick_seed101_hs1m\data\ss0_flat_seed101.h5,0,pcb_candidate,5,2.5,32,-45.0,-4.044691235386268,-11.0,-1.0,34.0,3.044691235386268,0.1977890405128857,0.003278854266157403,39.824615503479755
ss0_flat,D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\stages\v02_dynamic_sea_truth\results\matlab\v02b_quick_seed101_hs1m\data\ss0_flat_seed101.h5,0,pcb_candidate,6,3.0,32,65.55604521958347,-2.369564351808628,60.0,0.0,-5.556045219583467,2.369564351808628,0.24885218507644152,0.007435373299676302,71.00704190430693
ss0_flat,D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\stages\v02_dynamic_sea_truth\results\matlab\v02b_quick_seed101_hs1m\data\ss0_flat_seed101.h5,0,pcb_candidate,7,3.5,32,-45.0,-19.47122063449069,-45.0,-20.0,0.0,-0.5287793655093083,0.696753014647561,0.00547751903886542,106.88779163215975
ss0_flat,D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\stages\v02_dynamic_sea_truth\results\matlab\v02b_quick_seed101_hs1m\data\ss0_flat_seed101.h5,0,pcb_candidate,8,4.0,32,71.56505117707799,-8.984876931685683,32.0,-10.0,-39.56505117707799,-1.0151230683143169,0.25663474335747594,0.0006628202391509605,77.64663547121665
ss0_flat,D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\stages\v02_dynamic_sea_truth\results\matlab\v02b_quick_seed101_hs1m\data\ss0_flat_seed101.h5,0,pcb_candidate,9,4.5,32,-78.69006752597979,-5.600409184816617,30.0,-10.0,108.69006752597979,-4.399590815183383,0.1515511180658301,0.003877140395969935,2.0
ss0_flat,D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\stages\v02_dynamic_sea_truth\results\matlab\v02b_quick_seed101_hs1m\data\ss0_flat_seed101.h5,0,pcb_candidate,10,5.0,32,-45.0,-4.044691235386268,-44.0,-2.0,1.0,2.044691235386268,0.5215502875555172,0.0036805879221527937,74.43117626371358
ss0_flat,D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\stages\v02_dynamic_sea_truth\results\matlab\v02b_quick_seed101_hs1m\data\ss0_flat_seed101.h5,0,pcb_candidate,11,5.5,32,-78.69006752597979,-5.600409184816617,-12.0,-4.0,66.69006752597979,1.600409184816617,0.26983355498586464,0.005028120916582513,32.0624390837628
ss0_flat,D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\stages\v02_dynamic_sea_truth\results\matlab\v02b_quick_seed101_hs1m\data\ss0_flat_seed101.h5,0,pcb_candidate,12,6.0,32,-45.0,-19.47122063449069,-45.0,-20.0,0.0,-0.5287793655093083,0.6425981776146479,0.01782659016835992,36.6742416417845
ss0_flat,D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\stages\v02_dynamic_sea_truth\results\matlab\v02b_quick_seed101_hs1m\data\ss0_flat_seed101.h5,0,pcb_candidate,13,6.5,32,-45.0,-4.044691235386268,-44.0,-2.0,1.0,2.044691235386268,0.3084467894621594,0.0008568653948496879,18.027756377319946
ss0_flat,D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\stages\v02_dynamic_sea_truth\results\matlab\v02b_quick_seed101_hs1m\data\ss0_flat_seed101.h5,0,pcb_candidate,14,7.0,32,54.46232220802562,-3.3265068418031922,52.0,0.0,-2.4623222080256184,3.3265068418031922,0.4851041352608432,0.004758458880732115,96.02083107326243
ss0_flat,D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\stages\v02_dynamic_sea_truth\results\matlab\v02b_quick_seed101_hs1m\data\ss0_flat_seed101.h5,0,pcb_candidate,15,7.5,32,-45.0,-19.47122063449069,-46.0,-20.0,-1.0,-0.5287793655093083,0.7329603723764685,0.016902586595764598,100.0199980003999
ss0_flat,D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\stages\v02_dynamic_sea_truth\results\matlab\v02b_quick_seed101_hs1m\data\ss0_flat_seed101.h5,0,pcb_candidate,16,8.0,32,71.56505117707799,-8.984876931685683,60.0,-1.0,-11.56505117707799,7.984876931685683,0.2644408126656083,0.009400631879928447,107.68936809174804
