case_id,scenario_id,target_snr_db,pfa,target_range_truth_m,target_velocity_truth_mps,target_rcs_m2,frames,detection_probability,mean_false_alarms_per_frame,target_azimuth_rmse_deg,target_elevation_rmse_deg,mean_target_amplitude,calibration_status,target_range_bin_m,target_velocity_bin_mps,mean_clutter_to_training_db,max_clutter_to_training_db
ss2_normal,v0_snr10_pfa0.001,10.0,0.001,20.0,0.0,1.0,41,1.0,0.0,6.332263495434295,1.1043152607484654,0.8547877851278165,awaiting_dca1000_reference_capture,19.32256076953125,0.0,1.5181091634965524,2.388911724090576
ss2_normal,v0_snr15_pfa0.01,15.0,0.01,20.0,0.0,1.0,41,1.0,0.0,0.0,0.0,1.5200515182455707,awaiting_dca1000_reference_capture,19.32256076953125,0.0,1.5181091634965524,2.388911724090576
ss2_normal,v0_snr15_pfa0.001,15.0,0.001,20.0,0.0,1.0,41,1.0,0.0,0.0,0.0,1.5200515182455707,awaiting_dca1000_reference_capture,19.32256076953125,0.0,1.5181091634965524,2.388911724090576
ss2_normal,v0.3_snr0_pfa0.01,0.0,0.01,20.0,0.3,1.0,41,0.0,0.0,,,0.27665993149067025,awaiting_dca1000_reference_capture,19.32256076953125,0.30417254261363635,-4.53075629036601,-0.893339991569519
ss2_normal,v0.3_snr0_pfa0.001,0.0,0.001,20.0,0.3,1.0,41,0.0,0.0,,,0.27665993149067025,awaiting_dca1000_reference_capture,19.32256076953125,0.30417254261363635,-4.53075629036601,-0.893339991569519
ss2_normal,v0.3_snr5_pfa0.01,5.0,0.01,20.0,0.3,1.0,41,0.024390243902439025,0.0,0.0,0.0,0.49197865975263777,awaiting_dca1000_reference_capture,19.32256076953125,0.30417254261363635,-4.53075629036601,-0.893339991569519
ss2_normal,v0.3_snr5_pfa0.001,5.0,0.001,20.0,0.3,1.0,41,0.0,0.0,,,0.49197865975263777,awaiting_dca1000_reference_capture,19.32256076953125,0.30417254261363635,-4.53075629036601,-0.893339991569519
ss2_normal,v0.3_snr10_pfa0.01,10.0,0.01,20.0,0.3,1.0,41,1.0,0.0,0.0,0.0,0.874875520816661,awaiting_dca1000_reference_capture,19.32256076953125,0.30417254261363635,-4.53075629036601,-0.893339991569519
ss2_normal,v0.3_snr10_pfa0.001,10.0,0.001,20.0,0.3,1.0,41,1.0,0.0,0.0,0.0,0.874875520816661,awaiting_dca1000_reference_capture,19.32256076953125,0.30417254261363635,-4.53075629036601,-0.893339991569519
ss2_normal,v0.3_snr15_pfa0.01,15.0,0.01,20.0,0.3,1.0,41,1.0,0.0,0.0,0.0,1.5557731250153468,awaiting_dca1000_reference_capture,19.32256076953125,0.30417254261363635,-4.53075629036601,-0.893339991569519
ss2_normal,v0.3_snr15_pfa0.001,15.0,0.001,20.0,0.3,1.0,41,1.0,0.0,0.0,0.0,1.5557731250153468,awaiting_dca1000_reference_capture,19.32256076953125,0.30417254261363635,-4.53075629036601,-0.893339991569519
ss2_normal,v0.6_snr0_pfa0.01,0.0,0.01,20.0,0.6,1.0,41,0.0,0.0,,,0.2922779245941895,awaiting_dca1000_reference_capture,19.32256076953125,0.6083450852272727,-27.92212942169934,-13.75930404663086
ss2_normal,v0.6_snr0_pfa0.001,0.0,0.001,20.0,0.6,1.0,41,0.0,0.0,,,0.2922779245941895,awaiting_dca1000_reference_capture,19.32256076953125,0.6083450852272727,-27.92212942169934,-13.75930404663086
ss2_normal,v0.6_snr5_pfa0.01,5.0,0.01,20.0,0.6,1.0,41,0.0,0.0,,,0.5197518153147561,awaiting_dca1000_reference_capture,19.32256076953125,0.6083450852272727,-27.92212942169934,-13.75930404663086
ss2_normal,v0.6_snr5_pfa0.001,5.0,0.001,20.0,0.6,1.0,41,0.0,0.0,,,0.5197518153147561,awaiting_dca1000_reference_capture,19.32256076953125,0.6083450852272727,-27.92212942169934,-13.75930404663086
ss2_normal,v0.6_snr10_pfa0.01,10.0,0.01,20.0,0.6,1.0,41,1.0,0.0,0.0,0.0,0.9242639515045836,awaiting_dca1000_reference_capture,19.32256076953125,0.6083450852272727,-27.92212942169934,-13.75930404663086
ss2_normal,v0.6_snr10_pfa0.001,10.0,0.001,20.0,0.6,1.0,41,1.0,0.0,0.0,0.0,0.9242639515045836,awaiting_dca1000_reference_capture,19.32256076953125,0.6083450852272727,-27.92212942169934,-13.75930404663086
ss2_normal,v0.6_snr15_pfa0.01,15.0,0.01,20.0,0.6,1.0,41,1.0,0.0,0.0,0.0,1.6435995544018145,awaiting_dca1000_reference_capture,19.32256076953125,0.6083450852272727,-27.92212942169934,-13.75930404663086
ss2_normal,v0.6_snr15_pfa0.001,15.0,0.001,20.0,0.6,1.0,41,1.0,0.0,0.0,0.0,1.6435995544018145,awaiting_dca1000_reference_capture,19.32256076953125,0.6083450852272727,-27.92212942169934,-13.75930404663086
ss2_normal,v1_snr0_pfa0.01,0.0,0.01,20.0,1.0,1.0,41,0.0,0.0,,,0.26040843111943873,awaiting_dca1000_reference_capture,19.32256076953125,0.9125176278409091,-40.075038723829316,-32.19738006591797
ss2_normal,v1_snr0_pfa0.001,0.0,0.001,20.0,1.0,1.0,41,0.0,0.0,,,0.26040843111943873,awaiting_dca1000_reference_capture,19.32256076953125,0.9125176278409091,-40.075038723829316,-32.19738006591797
ss2_normal,v1_snr5_pfa0.01,5.0,0.01,20.0,1.0,1.0,41,0.0,0.0,,,0.463078951260237,awaiting_dca1000_reference_capture,19.32256076953125,0.9125176278409091,-40.075038723829316,-32.19738006591797
ss2_normal,v1_snr5_pfa0.001,5.0,0.001,20.0,1.0,1.0,41,0.0,0.0,,,0.463078951260237,awaiting_dca1000_reference_capture,19.32256076953125,0.9125176278409091,-40.075038723829316,-32.19738006591797
ss2_normal,v1_snr10_pfa0.01,10.0,0.01,20.0,1.0,1.0,41,1.0,0.0,0.0,0.0,0.8234837642484971,awaiting_dca1000_reference_capture,19.32256076953125,0.9125176278409091,-40.075038723829316,-32.19738006591797
ss2_normal,v1_snr10_pfa0.001,10.0,0.001,20.0,1.0,1.0,41,1.0,0.0,0.0,0.0,0.8234837642484971,awaiting_dca1000_reference_capture,19.32256076953125,0.9125176278409091,-40.075038723829316,-32.19738006591797
ss2_normal,v1_snr15_pfa0.01,15.0,0.01,20.0,1.0,1.0,41,1.0,0.0,0.0,0.0,1.4643842224644492,awaiting_dca1000_reference_capture,19.32256076953125,0.9125176278409091,-40.075038723829316,-32.19738006591797
ss2_normal,v1_snr15_pfa0.001,15.0,0.001,20.0,1.0,1.0,41,1.0,0.0,0.0,0.0,1.4643842224644492,awaiting_dca1000_reference_capture,19.32256076953125,0.9125176278409091,-40.075038723829316,-32.19738006591797
ss3_upper,v-0.6_snr0_pfa0.01,0.0,0.01,20.0,-0.6,1.0,41,0.0,0.2682926829268293,,,0.6417676457646758,awaiting_dca1000_reference_capture,19.32256076953125,-0.6083450852272727,-16.276187305406825,0.18415026366710663
ss3_upper,v-0.6_snr0_pfa0.001,0.0,0.001,20.0,-0.6,1.0,41,0.0,0.14634146341463414,,,0.6417676457646758,awaiting_dca1000_reference_capture,19.32256076953125,-0.6083450852272727,-16.276187305406825,0.18415026366710663
ss3_upper,v-0.6_snr5_pfa0.01,5.0,0.01,20.0,-0.6,1.0,41,0.024390243902439025,0.2682926829268293,0.0,0.0,1.141242190492476,awaiting_dca1000_reference_capture,19.32256076953125,-0.6083450852272727,-16.276187305406825,0.18415026366710663
ss3_upper,v-0.6_snr5_pfa0.001,5.0,0.001,20.0,-0.6,1.0,41,0.0,0.14634146341463414,,,1.141242190492476,awaiting_dca1000_reference_capture,19.32256076953125,-0.6083450852272727,-16.276187305406825,0.18415026366710663
ss3_upper,v-0.6_snr10_pfa0.01,10.0,0.01,20.0,-0.6,1.0,41,1.0,0.2682926829268293,0.0,0.0,2.0294474892204883,awaiting_dca1000_reference_capture,19.32256076953125,-0.6083450852272727,-16.276187305406825,0.18415026366710663
