case_id,scenario_id,target_snr_db,pfa,frames,target_range_m,target_velocity_mps,detection_probability,mean_false_alarms_per_frame,target_azimuth_rmse_deg,target_elevation_rmse_deg
ss0_flat,snr10_pfa1e2,10.0,0.01,41,19.32256076953125,0.9125176278409091,1.0,0.0,0.0,0.0
ss0_flat,snr10_pfa1e3,10.0,0.001,41,19.32256076953125,0.9125176278409091,1.0,0.0,0.0,0.0
ss0_flat,snr15_pfa1e2,15.0,0.01,41,19.32256076953125,0.9125176278409091,1.0,0.0,0.0,0.0
ss0_flat,snr15_pfa1e3,15.0,0.001,41,19.32256076953125,0.9125176278409091,1.0,0.0,0.0,0.0
ss0_flat,snr20_pfa1e2,20.0,0.01,41,19.32256076953125,0.9125176278409091,1.0,0.0,0.0,0.0
ss0_flat,snr20_pfa1e3,20.0,0.001,41,19.32256076953125,0.9125176278409091,1.0,0.0,0.0,0.0
ss1_rippled,snr10_pfa1e2,10.0,0.01,41,19.32256076953125,0.9125176278409091,1.0,0.0,0.0,0.0
ss1_rippled,snr10_pfa1e3,10.0,0.001,41,19.32256076953125,0.9125176278409091,1.0,0.0,0.0,0.0
ss1_rippled,snr15_pfa1e2,15.0,0.01,41,19.32256076953125,0.9125176278409091,1.0,0.0,0.0,0.0
ss1_rippled,snr15_pfa1e3,15.0,0.001,41,19.32256076953125,0.9125176278409091,1.0,0.0,0.0,0.0
ss1_rippled,snr20_pfa1e2,20.0,0.01,41,19.32256076953125,0.9125176278409091,1.0,0.0,0.0,0.0
ss1_rippled,snr20_pfa1e3,20.0,0.001,41,19.32256076953125,0.9125176278409091,1.0,0.0,0.0,0.0
ss2_normal,snr10_pfa1e2,10.0,0.01,41,19.32256076953125,0.9125176278409091,1.0,0.0,0.0,0.0
ss2_normal,snr10_pfa1e3,10.0,0.001,41,19.32256076953125,0.9125176278409091,1.0,0.0,0.0,0.0
ss2_normal,snr15_pfa1e2,15.0,0.01,41,19.32256076953125,0.9125176278409091,1.0,0.0,0.0,0.0
ss2_normal,snr15_pfa1e3,15.0,0.001,41,19.32256076953125,0.9125176278409091,1.0,0.0,0.0,0.0
ss2_normal,snr20_pfa1e2,20.0,0.01,41,19.32256076953125,0.9125176278409091,1.0,0.0,0.0,0.0
ss2_normal,snr20_pfa1e3,20.0,0.001,41,19.32256076953125,0.9125176278409091,1.0,0.0,0.0,0.0
ss3_nominal,snr10_pfa1e2,10.0,0.01,41,19.32256076953125,0.9125176278409091,1.0,0.12195121951219512,0.0,0.0
ss3_nominal,snr10_pfa1e3,10.0,0.001,41,19.32256076953125,0.9125176278409091,1.0,0.0975609756097561,0.0,0.0
ss3_nominal,snr15_pfa1e2,15.0,0.01,41,19.32256076953125,0.9125176278409091,1.0,0.12195121951219512,0.0,0.0
ss3_nominal,snr15_pfa1e3,15.0,0.001,41,19.32256076953125,0.9125176278409091,1.0,0.0975609756097561,0.0,0.0
ss3_nominal,snr20_pfa1e2,20.0,0.01,41,19.32256076953125,0.9125176278409091,1.0,0.12195121951219512,0.0,0.0
ss3_nominal,snr20_pfa1e3,20.0,0.001,41,19.32256076953125,0.9125176278409091,1.0,0.0975609756097561,0.0,0.0
ss3_upper,snr10_pfa1e2,10.0,0.01,41,19.32256076953125,0.9125176278409091,1.0,0.2682926829268293,0.0,0.0
ss3_upper,snr10_pfa1e3,10.0,0.001,41,19.32256076953125,0.9125176278409091,1.0,0.14634146341463414,0.0,0.0
ss3_upper,snr15_pfa1e2,15.0,0.01,41,19.32256076953125,0.9125176278409091,1.0,0.2682926829268293,0.0,0.0
ss3_upper,snr15_pfa1e3,15.0,0.001,41,19.32256076953125,0.9125176278409091,1.0,0.14634146341463414,0.0,0.0
ss3_upper,snr20_pfa1e2,20.0,0.01,41,19.32256076953125,0.9125176278409091,1.0,0.2682926829268293,0.0,0.0
ss3_upper,snr20_pfa1e3,20.0,0.001,41,19.32256076953125,0.9125176278409091,1.0,0.14634146341463414,0.0,0.0
