case_id,azimuth_deg,elevation_deg,range_m,case_dir,manifest,raw_iq,cfg,complete_basic_capture
ka001_az-30_el-10_r10,-30,-10,10,D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_95_capture_scaffold\ka001_az-30_el-10_r10,True,False,False,False
ka002_az-15_el-10_r10,-15,-10,10,D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_95_capture_scaffold\ka002_az-15_el-10_r10,True,False,False,False
ka003_az+00_el-10_r10,0,-10,10,D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_95_capture_scaffold\ka003_az+00_el-10_r10,True,False,False,False
ka004_az+15_el-10_r10,15,-10,10,D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_95_capture_scaffold\ka004_az+15_el-10_r10,True,False,False,False
ka005_az+30_el-10_r10,30,-10,10,D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_95_capture_scaffold\ka005_az+30_el-10_r10,True,False,False,False
ka006_az-30_el+00_r10,-30,0,10,D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_95_capture_scaffold\ka006_az-30_el+00_r10,True,False,False,False
ka007_az-15_el+00_r10,-15,0,10,D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_95_capture_scaffold\ka007_az-15_el+00_r10,True,False,False,False
ka008_az+00_el+00_r10,0,0,10,D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_95_capture_scaffold\ka008_az+00_el+00_r10,True,False,False,False
ka009_az+15_el+00_r10,15,0,10,D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_95_capture_scaffold\ka009_az+15_el+00_r10,True,False,False,False
ka010_az+30_el+00_r10,30,0,10,D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_95_capture_scaffold\ka010_az+30_el+00_r10,True,False,False,False
ka011_az-30_el+10_r10,-30,10,10,D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_95_capture_scaffold\ka011_az-30_el+10_r10,True,False,False,False
ka012_az-15_el+10_r10,-15,10,10,D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_95_capture_scaffold\ka012_az-15_el+10_r10,True,False,False,False
ka013_az+00_el+10_r10,0,10,10,D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_95_capture_scaffold\ka013_az+00_el+10_r10,True,False,False,False
ka014_az+15_el+10_r10,15,10,10,D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_95_capture_scaffold\ka014_az+15_el+10_r10,True,False,False,False
ka015_az+30_el+10_r10,30,10,10,D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_95_capture_scaffold\ka015_az+30_el+10_r10,True,False,False,False
ka016_az-30_el-10_r20,-30,-10,20,D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_95_capture_scaffold\ka016_az-30_el-10_r20,True,False,False,False
ka017_az-15_el-10_r20,-15,-10,20,D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_95_capture_scaffold\ka017_az-15_el-10_r20,True,False,False,False
ka018_az+00_el-10_r20,0,-10,20,D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_95_capture_scaffold\ka018_az+00_el-10_r20,True,False,False,False
ka019_az+15_el-10_r20,15,-10,20,D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_95_capture_scaffold\ka019_az+15_el-10_r20,True,False,False,False
ka020_az+30_el-10_r20,30,-10,20,D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_95_capture_scaffold\ka020_az+30_el-10_r20,True,False,False,False
ka021_az-30_el+00_r20,-30,0,20,D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_95_capture_scaffold\ka021_az-30_el+00_r20,True,False,False,False
