case_id,frame,facet_index,model,truth_azimuth_deg,truth_elevation_down_deg,estimated_azimuth_deg,estimated_elevation_down_deg,azimuth_error_deg,elevation_error_deg,normalized_beam_peak,truth_pattern_gain_dBi,estimated_pattern_gain_dBi,pattern_one_way_weight,pattern_two_way_weight,scatter_6db,aoa_weighted_scatter_one_way,aoa_weighted_scatter_two_way
ss0_flat,0,38,ideal_half_lambda,0.0,9.462322208025617,0.0,8.0,0.0,-1.4623222080256166,0.996078911556548,-9.569857766420494,-8.4,0.1445439770745927,0.020892961308540382,0.0007304601899196496,0.00010558362094564846,1.5261476485420298e-05
ss0_flat,0,39,ideal_half_lambda,9.462322208025617,9.33585903200394,8.0,8.0,-1.4623222080256166,-1.33585903200394,0.9930684655893159,-9.973344410031185,-8.826666666666666,0.1310187142977454,0.017165903496234234,0.0006925207756232689,9.07331816466381e-05,1.1887744803486316e-05
ss0_flat,0,40,ideal_half_lambda,-9.462322208025617,9.33585903200394,-8.0,8.0,1.4623222080256166,-1.33585903200394,0.9930684655893159,-9.973344410031185,-8.826666666666666,0.1310187142977454,0.017165903496234234,0.0006925207756232689,9.07331816466381e-05,1.1887744803486316e-05
ss0_flat,0,43,ideal_half_lambda,-18.43494882292201,8.984876931685683,-20.0,8.0,-1.56505117707799,-0.9848769316856831,0.9939496457773851,-10.491694039377109,-9.933333333333334,0.10154689924330801,0.010311772745930549,0.000594883997620464,6.040862536782154e-05,6.134308593652914e-06
ss0_flat,0,44,ideal_half_lambda,18.43494882292201,8.984876931685683,20.0,8.0,1.56505117707799,-0.9848769316856831,0.9939496457773858,-10.491694039377109,-9.933333333333334,0.10154689924330801,0.010311772745930549,0.000594883997620464,6.040862536782154e-05,6.134308593652914e-06
ss0_flat,1,38,ideal_half_lambda,0.0,9.462322208025617,0.0,8.0,0.0,-1.4623222080256166,0.996078911556548,-9.569857766420494,-8.4,0.1445439770745927,0.020892961308540382,0.0007304601899196496,0.00010558362094564846,1.5261476485420298e-05
ss0_flat,1,39,ideal_half_lambda,9.462322208025617,9.33585903200394,8.0,8.0,-1.4623222080256166,-1.33585903200394,0.9930684655893159,-9.973344410031185,-8.826666666666666,0.1310187142977454,0.017165903496234234,0.0006925207756232689,9.07331816466381e-05,1.1887744803486316e-05
ss0_flat,1,40,ideal_half_lambda,-9.462322208025617,9.33585903200394,-8.0,8.0,1.4623222080256166,-1.33585903200394,0.9930684655893159,-9.973344410031185,-8.826666666666666,0.1310187142977454,0.017165903496234234,0.0006925207756232689,9.07331816466381e-05,1.1887744803486316e-05
ss0_flat,1,43,ideal_half_lambda,-18.43494882292201,8.984876931685683,-20.0,8.0,-1.56505117707799,-0.9848769316856831,0.9939496457773851,-10.491694039377109,-9.933333333333334,0.10154689924330801,0.010311772745930549,0.000594883997620464,6.040862536782154e-05,6.134308593652914e-06
ss0_flat,1,44,ideal_half_lambda,18.43494882292201,8.984876931685683,20.0,8.0,1.56505117707799,-0.9848769316856831,0.9939496457773858,-10.491694039377109,-9.933333333333334,0.10154689924330801,0.010311772745930549,0.000594883997620464,6.040862536782154e-05,6.134308593652914e-06
ss0_flat,2,38,ideal_half_lambda,0.0,9.462322208025617,0.0,8.0,0.0,-1.4623222080256166,0.996078911556548,-9.569857766420494,-8.4,0.1445439770745927,0.020892961308540382,0.0007304601899196496,0.00010558362094564846,1.5261476485420298e-05
ss0_flat,2,39,ideal_half_lambda,9.462322208025617,9.33585903200394,8.0,8.0,-1.4623222080256166,-1.33585903200394,0.9930684655893159,-9.973344410031185,-8.826666666666666,0.1310187142977454,0.017165903496234234,0.0006925207756232689,9.07331816466381e-05,1.1887744803486316e-05
ss0_flat,2,40,ideal_half_lambda,-9.462322208025617,9.33585903200394,-8.0,8.0,1.4623222080256166,-1.33585903200394,0.9930684655893159,-9.973344410031185,-8.826666666666666,0.1310187142977454,0.017165903496234234,0.0006925207756232689,9.07331816466381e-05,1.1887744803486316e-05
ss0_flat,2,43,ideal_half_lambda,-18.43494882292201,8.984876931685683,-20.0,8.0,-1.56505117707799,-0.9848769316856831,0.9939496457773851,-10.491694039377109,-9.933333333333334,0.10154689924330801,0.010311772745930549,0.000594883997620464,6.040862536782154e-05,6.134308593652914e-06
ss0_flat,2,44,ideal_half_lambda,18.43494882292201,8.984876931685683,20.0,8.0,1.56505117707799,-0.9848769316856831,0.9939496457773858,-10.491694039377109,-9.933333333333334,0.10154689924330801,0.010311772745930549,0.000594883997620464,6.040862536782154e-05,6.134308593652914e-06
ss0_flat,3,38,ideal_half_lambda,0.0,9.462322208025617,0.0,8.0,0.0,-1.4623222080256166,0.996078911556548,-9.569857766420494,-8.4,0.1445439770745927,0.020892961308540382,0.0007304601899196496,0.00010558362094564846,1.5261476485420298e-05
