INDEXFORSAVE,LAYER,LAYER_V7,NAME,X,Y,XSIZE,YSIZE,SHAPE,UNIQUEID,status
2055,BOTTOM,,1,5549.8123mil,4296.7637mil,19.685mil,23.622mil,RECTANGLE,XROOBCXH,geometry_only_unconfirmed
2056,BOTTOM,,2,5587.3961mil,4281.8884mil,19.685mil,23.622mil,RECTANGLE,OKRTHEPM,geometry_only_unconfirmed
2057,BOTTOM,,1,5587.3961mil,4321.2585mil,19.685mil,23.622mil,RECTANGLE,UNNPHRWB,geometry_only_unconfirmed
2058,BOTTOM,,2,5635.6239mil,4284.3542mil,19.685mil,23.622mil,RECTANGLE,RKTFWFXF,geometry_only_unconfirmed
2059,BOTTOM,,1,5635.6239mil,4323.7243mil,19.685mil,23.622mil,RECTANGLE,AGRATFAT,geometry_only_unconfirmed
2060,BOTTOM,,1,5262.5915mil,4282.891mil,33.4646mil,31.4961mil,RECTANGLE,DOKQWEGO,geometry_only_unconfirmed
2061,BOTTOM,,2,5317.7096mil,4282.891mil,33.4646mil,31.4961mil,RECTANGLE,TGTALQJP,geometry_only_unconfirmed
2062,BOTTOM,,2,4416.2092mil,4873.7743mil,33.4646mil,31.4961mil,RECTANGLE,DVGQEDGU,geometry_only_unconfirmed
2063,BOTTOM,,1,4416.2092mil,4818.6562mil,33.4646mil,31.4961mil,RECTANGLE,BBIYSQEK,geometry_only_unconfirmed
2064,BOTTOM,,2,5378.8638mil,4195.1462mil,19.685mil,23.622mil,RECTANGLE,HVMSYHSQ,geometry_only_unconfirmed
2065,BOTTOM,,1,5339.4937mil,4195.1462mil,19.685mil,23.622mil,RECTANGLE,IYWEEGID,geometry_only_unconfirmed
2066,BOTTOM,,2,5733.7568mil,4180.4972mil,19.685mil,23.622mil,RECTANGLE,PKLPHWDR,geometry_only_unconfirmed
2067,BOTTOM,,1,5694.3867mil,4180.4972mil,19.685mil,23.622mil,RECTANGLE,ECGJJWIQ,geometry_only_unconfirmed
2068,BOTTOM,,2,5688.8983mil,4412.4519mil,19.685mil,23.622mil,RECTANGLE,AIVAJGLU,geometry_only_unconfirmed
2069,BOTTOM,,1,5688.8983mil,4373.0818mil,19.685mil,23.622mil,RECTANGLE,ACQHOGCP,geometry_only_unconfirmed
2070,BOTTOM,,2,5562.5504mil,4182.5275mil,19.685mil,23.622mil,RECTANGLE,VGXPEMDW,geometry_only_unconfirmed
2071,BOTTOM,,1,5562.5504mil,4221.8976mil,19.685mil,23.622mil,RECTANGLE,XGQTINDF,geometry_only_unconfirmed
2072,BOTTOM,,2,5600.8268mil,4154.3324mil,19.685mil,23.622mil,RECTANGLE,FSUTGTDC,geometry_only_unconfirmed
2073,BOTTOM,,1,5600.8268mil,4193.7025mil,19.685mil,23.622mil,RECTANGLE,MFHSSLCP,geometry_only_unconfirmed
2074,BOTTOM,,2,5349.972mil,2535.0196mil,31.4961mil,41.3386mil,ROUNDEDRECTANGLE,JDHTSYTG,geometry_only_unconfirmed
2075,BOTTOM,,1,5349.972mil,2607.8542mil,31.4961mil,41.3386mil,ROUNDEDRECTANGLE,IPSKJDSA,geometry_only_unconfirmed
2076,BOTTOM,,1,5469.323mil,4185.2236mil,19.685mil,23.622mil,RECTANGLE,SBFFYJAI,geometry_only_unconfirmed
2077,BOTTOM,,2,5429.9529mil,4185.2236mil,19.685mil,23.622mil,RECTANGLE,IOLKBTDP,geometry_only_unconfirmed
2078,BOTTOM,,2,5807.3705mil,4108.6059mil,19.685mil,23.622mil,RECTANGLE,MBJNJGHI,geometry_only_unconfirmed
2079,BOTTOM,,1,5846.7406mil,4108.6059mil,19.685mil,23.622mil,RECTANGLE,APTIJBGL,geometry_only_unconfirmed
2080,BOTTOM,,2,5794.8957mil,4301.0623mil,19.685mil,23.622mil,RECTANGLE,KJJKBPJC,geometry_only_unconfirmed
2081,BOTTOM,,1,5794.8957mil,4340.4324mil,19.685mil,23.622mil,RECTANGLE,BMXJGOXK,geometry_only_unconfirmed
2082,BOTTOM,,2,5380.4506mil,4446.1395mil,19.685mil,23.622mil,RECTANGLE,QLRIPDOM,geometry_only_unconfirmed
2083,BOTTOM,,1,5380.4506mil,4406.7694mil,19.685mil,23.622mil,RECTANGLE,QSDUJMKB,geometry_only_unconfirmed
2084,BOTTOM,,1,5587.0336mil,4526.7718mil,19.685mil,23.622mil,RECTANGLE,VHKASYNO,geometry_only_unconfirmed
2085,BOTTOM,,2,5587.0336mil,4487.4017mil,19.685mil,23.622mil,RECTANGLE,CWYBULGP,geometry_only_unconfirmed
