INDEXFORSAVE,LAYER,LAYER_V7,NAME,X,Y,XSIZE,YSIZE,SHAPE,UNIQUEID,status
0,MECHANICAL16,MECHANICAL24,1,4435.454mil,4618.3037mil,1.9684mil,1.9684mil,ROUND,VKETORVW,geometry_only_unconfirmed
1,MECHANICAL16,MECHANICAL24,1,4435.454mil,4602.5557mil,1.9684mil,1.9684mil,ROUND,IWYHKHQG,geometry_only_unconfirmed
2,MECHANICAL16,MECHANICAL24,1,4617.3218mil,2160.8968mil,7.8544mil,7.8544mil,ROUND,KQXRQXVJ,geometry_only_unconfirmed
3,MECHANICAL16,MECHANICAL24,1,4617.3218mil,2171.7432mil,7.8544mil,7.8544mil,ROUND,INHREJDJ,geometry_only_unconfirmed
4,MECHANICAL16,MECHANICAL24,1,4617.3218mil,2204.2234mil,7.8544mil,7.8544mil,ROUND,SJQAUQNQ,geometry_only_unconfirmed
5,MECHANICAL16,MECHANICAL24,1,4617.3218mil,2193.377mil,7.8544mil,7.8544mil,ROUND,SJSYAEBX,geometry_only_unconfirmed
6,MECHANICAL16,MECHANICAL24,1,4772.1102mil,3280.077mil,5mil,5mil,ROUND,KKALOBAH,geometry_only_unconfirmed
7,MECHANICAL16,MECHANICAL24,1,4772.1102mil,3280.077mil,5mil,5mil,ROUND,BRYKHYNO,geometry_only_unconfirmed
8,MECHANICAL16,MECHANICAL24,1,4772.1102mil,3327.077mil,5mil,5mil,ROUND,UMNOEIFS,geometry_only_unconfirmed
9,MECHANICAL16,MECHANICAL24,1,4772.1102mil,3327.077mil,5mil,5mil,ROUND,SRVFNOYI,geometry_only_unconfirmed
10,MECHANICAL16,MECHANICAL24,1,4870.6533mil,3162.627mil,5mil,5mil,ROUND,NIXKKNNG,geometry_only_unconfirmed
11,MECHANICAL16,MECHANICAL24,1,4865.6902mil,3157.6639mil,5mil,5mil,ROUND,TUOKMFLU,geometry_only_unconfirmed
12,MECHANICAL16,MECHANICAL24,1,4865.6902mil,3350.5771mil,5mil,5mil,ROUND,LHQFJHXE,geometry_only_unconfirmed
13,MECHANICAL16,MECHANICAL24,1,4870.6533mil,3345.614mil,5mil,5mil,ROUND,KISJODRG,geometry_only_unconfirmed
14,MECHANICAL16,MECHANICAL24,1,5711.595mil,3712.8216mil,4.252mil,4.252mil,ROUND,LYIRGPDE,geometry_only_unconfirmed
15,MECHANICAL16,MECHANICAL24,1,4638.995mil,2160.8968mil,7.8544mil,7.8544mil,ROUND,FKXVTSQS,geometry_only_unconfirmed
16,MECHANICAL16,MECHANICAL24,1,4638.995mil,2171.7432mil,7.8544mil,7.8544mil,ROUND,SFPYEEOX,geometry_only_unconfirmed
17,MECHANICAL16,MECHANICAL24,1,4638.995mil,2204.2234mil,7.8544mil,7.8544mil,ROUND,MOVDFWPP,geometry_only_unconfirmed
18,MECHANICAL16,MECHANICAL24,1,4638.995mil,2193.377mil,7.8544mil,7.8544mil,ROUND,SSBGOQXR,geometry_only_unconfirmed
19,BOTTOMPASTE,,1S,4735.7034mil,5609.9516mil,11.811mil,19.685mil,ROUNDEDRECTANGLE,SHONEOCE,geometry_only_unconfirmed
20,BOTTOMPASTE,,2S,4735.7034mil,5637.5108mil,11.811mil,19.685mil,ROUNDEDRECTANGLE,YUQRQYGL,geometry_only_unconfirmed
21,BOTTOMPASTE,,1S,4735.7034mil,5574.9509mil,11.811mil,19.685mil,ROUNDEDRECTANGLE,SAJOXREW,geometry_only_unconfirmed
22,BOTTOMPASTE,,2S,4735.7034mil,5547.3917mil,11.811mil,19.685mil,ROUNDEDRECTANGLE,VJFRCKHP,geometry_only_unconfirmed
23,BOTTOMPASTE,,1S,4211.4348mil,5573.913mil,11.811mil,19.685mil,ROUNDEDRECTANGLE,EIPLBUGM,geometry_only_unconfirmed
24,BOTTOMPASTE,,2S,4211.4348mil,5546.3538mil,11.811mil,19.685mil,ROUNDEDRECTANGLE,NVIIPGKO,geometry_only_unconfirmed
25,BOTTOMPASTE,,1S,4211.4348mil,5610.9888mil,11.811mil,19.685mil,ROUNDEDRECTANGLE,HYUGARXK,geometry_only_unconfirmed
26,BOTTOMPASTE,,2S,4211.4348mil,5638.548mil,11.811mil,19.685mil,ROUNDEDRECTANGLE,YDEVJVXC,geometry_only_unconfirmed
27,BOTTOMPASTE,,9,4983.5643mil,6509.1938mil,57.874mil,41.7323mil,ROUNDEDRECTANGLE,RFHCDQDP,geometry_only_unconfirmed
28,BOTTOMPASTE,,9,4983.5643mil,6558.8mil,57.874mil,41.7323mil,ROUNDEDRECTANGLE,JUDRLQMJ,geometry_only_unconfirmed
29,TOP,,2,4813.2902mil,3370.2933mil,19.685mil,23.622mil,RECTANGLE,OSEKMYXI,geometry_only_unconfirmed
30,TOP,,1,4813.2902mil,3409.6634mil,19.685mil,23.622mil,RECTANGLE,BKKPJHWU,geometry_only_unconfirmed
31,TOP,,2,4821.4169mil,3125.1899mil,19.685mil,23.622mil,RECTANGLE,WNRDISYA,geometry_only_unconfirmed
32,TOP,,1,4782.0468mil,3125.1899mil,19.685mil,23.622mil,RECTANGLE,HXHJYWEV,geometry_only_unconfirmed
33,TOP,,1,4543.6854mil,5388.9094mil,25.5906mil,27.5591mil,ROUNDEDRECTANGLE,IQNRKXAN,geometry_only_unconfirmed
34,TOP,,2,4543.6854mil,5335.7598mil,25.5906mil,27.5591mil,ROUNDEDRECTANGLE,SMQHEGQI,geometry_only_unconfirmed
35,TOP,,2,4167.2121mil,2801.528mil,12.5984mil,14.1732mil,RECTANGLE,PNEWFPSK,geometry_only_unconfirmed
36,TOP,,2,4167.2121mil,2829.528mil,12.5984mil,14.1732mil,RECTANGLE,ARAQTPET,geometry_only_unconfirmed
37,TOP,,2,4167.2121mil,2917.1955mil,12.5984mil,14.1732mil,RECTANGLE,WEHOHHNB,geometry_only_unconfirmed
38,TOP,,2,4167.1316mil,2945.115mil,12.5984mil,14.1732mil,RECTANGLE,OAGSVPDB,geometry_only_unconfirmed
39,TOP,,2,5032.6569mil,3354.2126mil,19.685mil,23.622mil,RECTANGLE,BOXQMHAW,geometry_only_unconfirmed
40,TOP,,1,4993.2868mil,3354.2126mil,19.685mil,23.622mil,RECTANGLE,XMHRUCYB,geometry_only_unconfirmed
41,TOP,,1,5228.2465mil,4483.7819mil,9.8425mil,11.811mil,ROUNDEDRECTANGLE,WAPRQEOR,geometry_only_unconfirmed
42,TOP,,2,5251.8685mil,4483.7819mil,9.8425mil,11.811mil,ROUNDEDRECTANGLE,KINQXJBV,geometry_only_unconfirmed
43,TOP,,1,5244.1838mil,4585.9364mil,9.8425mil,11.811mil,ROUNDEDRECTANGLE,WAMDGVXX,geometry_only_unconfirmed
44,TOP,,2,5244.1838mil,4609.5584mil,9.8425mil,11.811mil,ROUNDEDRECTANGLE,BNDGDWLE,geometry_only_unconfirmed
45,TOP,,1,5160.9287mil,3791.7288mil,55.1181mil,43.3071mil,RECTANGLE,KARXXRBV,geometry_only_unconfirmed
46,TOP,,2,5160.9287mil,3850.7839mil,55.1181mil,43.3071mil,RECTANGLE,PNWUNMBW,geometry_only_unconfirmed
47,TOP,,1,5155.0812mil,3653.7492mil,55.1181mil,43.3071mil,RECTANGLE,PHKJJRLK,geometry_only_unconfirmed
48,TOP,,2,5096.0261mil,3653.7492mil,55.1181mil,43.3071mil,RECTANGLE,MWCNOLME,geometry_only_unconfirmed
49,TOP,,1,5017.0412mil,3486.4656mil,19.685mil,23.622mil,RECTANGLE,BFLWSXCP,geometry_only_unconfirmed
50,TOP,,2,5056.4113mil,3486.4656mil,19.685mil,23.622mil,RECTANGLE,EWUCAKKS,geometry_only_unconfirmed
51,TOP,,2,5017.0412mil,3450.5809mil,19.685mil,23.622mil,RECTANGLE,GOPHBPEB,geometry_only_unconfirmed
52,TOP,,1,5056.4113mil,3450.5809mil,19.685mil,23.622mil,RECTANGLE,CNWGJVND,geometry_only_unconfirmed
53,TOP,,2,3821.6736mil,3479.606mil,12.5984mil,14.1732mil,RECTANGLE,UYEGPXCI,geometry_only_unconfirmed
54,TOP,,1,3799.6264mil,3479.606mil,12.5984mil,14.1732mil,RECTANGLE,RFKBRBYR,geometry_only_unconfirmed
55,TOP,,2,3765.6447mil,3501.7546mil,12.5984mil,14.1732mil,RECTANGLE,TPMBQVEH,geometry_only_unconfirmed
56,TOP,,1,3765.6447mil,3479.7074mil,12.5984mil,14.1732mil,RECTANGLE,IJXEYMYH,geometry_only_unconfirmed
57,TOP,,1,4055.0844mil,2708.8946mil,12.5984mil,14.1732mil,RECTANGLE,MLGPWUTK,geometry_only_unconfirmed
58,TOP,,2,4077.1316mil,2708.8946mil,12.5984mil,14.1732mil,RECTANGLE,QMTXTFKS,geometry_only_unconfirmed
59,TOP,,1,4145.1649mil,2801.528mil,12.5984mil,14.1732mil,RECTANGLE,AXALIFOB,geometry_only_unconfirmed
60,TOP,,1,4055.0844mil,2680.8946mil,12.5984mil,14.1732mil,RECTANGLE,SLXLVRYG,geometry_only_unconfirmed
61,TOP,,2,4077.1316mil,2680.8946mil,12.5984mil,14.1732mil,RECTANGLE,WXKLPJMU,geometry_only_unconfirmed
62,TOP,,1,4055.0844mil,2739.9496mil,12.5984mil,14.1732mil,RECTANGLE,ETWMKCXY,geometry_only_unconfirmed
63,TOP,,2,4077.1316mil,2739.9496mil,12.5984mil,14.1732mil,RECTANGLE,YDAXDYFQ,geometry_only_unconfirmed
64,TOP,,1,4055.0844mil,2767.9496mil,12.5984mil,14.1732mil,RECTANGLE,RIIBTHHV,geometry_only_unconfirmed
65,TOP,,2,4077.1316mil,2767.9496mil,12.5984mil,14.1732mil,RECTANGLE,LOQTQGRT,geometry_only_unconfirmed
66,TOP,,1,4145.1649mil,2829.528mil,12.5984mil,14.1732mil,RECTANGLE,ENGTLOOM,geometry_only_unconfirmed
67,TOP,,1,4145.1649mil,2917.1955mil,12.5984mil,14.1732mil,RECTANGLE,EYUPPVVS,geometry_only_unconfirmed
68,TOP,,1,4145.0844mil,2945.115mil,12.5984mil,14.1732mil,RECTANGLE,HGQCKNRO,geometry_only_unconfirmed
69,TOP,,1,3879.3186mil,5547.2765mil,68.8976mil,43.3071mil,RECTANGLE,XLGDYYDW,geometry_only_unconfirmed
70,TOP,,2,3773.0194mil,5547.2765mil,68.8976mil,43.3071mil,RECTANGLE,VVJVVEOK,geometry_only_unconfirmed
71,TOP,,1,3942.3176mil,5547.2765mil,55.1181mil,43.3071mil,RECTANGLE,KALSEUQB,geometry_only_unconfirmed
72,TOP,,2,4001.3727mil,5547.2765mil,55.1181mil,43.3071mil,RECTANGLE,HBRWIQUB,geometry_only_unconfirmed
73,TOP,,1,3942.3176mil,5637.6256mil,55.1181mil,43.3071mil,RECTANGLE,UYLOOQIK,geometry_only_unconfirmed
74,TOP,,2,4001.3727mil,5637.6256mil,55.1181mil,43.3071mil,RECTANGLE,IGBWCMAW,geometry_only_unconfirmed
75,TOP,,2,4243.019mil,3115.0328mil,19.685mil,23.622mil,RECTANGLE,JHNAIQEC,geometry_only_unconfirmed
76,TOP,,1,4243.019mil,3154.4029mil,19.685mil,23.622mil,RECTANGLE,QUHPNUCH,geometry_only_unconfirmed
77,TOP,,2,4100.7673mil,5343.6337mil,55.1181mil,43.3071mil,RECTANGLE,LNXNHVLH,geometry_only_unconfirmed
78,TOP,,1,4100.7673mil,5284.5786mil,55.1181mil,43.3071mil,RECTANGLE,HSHRNLSD,geometry_only_unconfirmed
79,TOP,,2,4987.3746mil,5223.181mil,19.685mil,23.622mil,RECTANGLE,LYUPEWHY,geometry_only_unconfirmed
80,TOP,,1,4948.0045mil,5223.181mil,19.685mil,23.622mil,RECTANGLE,XXAWYGLJ,geometry_only_unconfirmed
81,TOP,,2,4987.3746mil,5174.1595mil,19.685mil,23.622mil,RECTANGLE,XJIWCDQE,geometry_only_unconfirmed
82,TOP,,1,4948.0045mil,5174.1595mil,19.685mil,23.622mil,RECTANGLE,KCXJLDED,geometry_only_unconfirmed
83,TOP,,2,4987.3746mil,5126.1333mil,19.685mil,23.622mil,RECTANGLE,DEYMGYBM,geometry_only_unconfirmed
84,TOP,,1,4948.0045mil,5126.1333mil,19.685mil,23.622mil,RECTANGLE,AATMHUGB,geometry_only_unconfirmed
85,TOP,,2,4987.3746mil,5078.2454mil,19.685mil,23.622mil,RECTANGLE,ANKQMGCF,geometry_only_unconfirmed
86,TOP,,1,4948.0045mil,5078.2454mil,19.685mil,23.622mil,RECTANGLE,GQXUOTHT,geometry_only_unconfirmed
87,TOP,,2,4812.4156mil,5401.9228mil,19.685mil,23.622mil,RECTANGLE,UGGAVQUG,geometry_only_unconfirmed
88,TOP,,1,4812.4156mil,5362.5527mil,19.685mil,23.622mil,RECTANGLE,XINOAOOA,geometry_only_unconfirmed
89,TOP,,2,4738.9606mil,5401.9228mil,19.685mil,23.622mil,RECTANGLE,VJGISWSO,geometry_only_unconfirmed
90,TOP,,1,4738.9606mil,5362.5527mil,19.685mil,23.622mil,RECTANGLE,XXVVMVUM,geometry_only_unconfirmed
91,TOP,,1,4404.2289mil,5343.4767mil,25mil,25mil,ROUND,RVEHGKYV,geometry_only_unconfirmed
92,TOP,,1,4877.1309mil,5423.4023mil,25mil,25mil,ROUND,KAVPQYYB,geometry_only_unconfirmed
93,TOP,,5,3736.4296mil,6559.413mil,43.3071mil,23.622mil,ROUNDEDRECTANGLE,SDJMKUQB,geometry_only_unconfirmed
94,TOP,,4,3661.6264mil,6559.413mil,43.3071mil,23.622mil,ROUNDEDRECTANGLE,RETGTXAV,geometry_only_unconfirmed
95,TOP,,3,3661.6264mil,6661.7752mil,43.3071mil,23.622mil,ROUNDEDRECTANGLE,JIMBMVJW,geometry_only_unconfirmed
96,TOP,,2,3699.028mil,6661.7752mil,43.3071mil,23.622mil,ROUNDEDRECTANGLE,BJHYSJFK,geometry_only_unconfirmed
97,TOP,,1,3736.4296mil,6661.7752mil,43.3071mil,23.622mil,ROUNDEDRECTANGLE,IKMLJEXL,geometry_only_unconfirmed
98,TOP,,2,4020.7991mil,5343.1318mil,68.8976mil,43.3071mil,RECTANGLE,KOBPDUUF,geometry_only_unconfirmed
99,TOP,,1,3914.4999mil,5343.1318mil,68.8976mil,43.3071mil,RECTANGLE,TXTVVMJP,geometry_only_unconfirmed
100,TOP,,2,4771.2388mil,3804.2703mil,55.1181mil,43.3071mil,RECTANGLE,XJKFIKVW,geometry_only_unconfirmed
101,TOP,,1,4771.2388mil,3745.2152mil,55.1181mil,43.3071mil,RECTANGLE,DUJALSNY,geometry_only_unconfirmed
102,TOP,,1,4876.8832mil,4861.4828mil,9.8425mil,11.811mil,ROUNDEDRECTANGLE,CNUFOMXI,geometry_only_unconfirmed
103,TOP,,2,4900.5052mil,4861.4828mil,9.8425mil,11.811mil,ROUNDEDRECTANGLE,VSMHRRLP,geometry_only_unconfirmed
104,TOP,,2,4805.4058mil,4698.3135mil,9.8425mil,11.811mil,ROUNDEDRECTANGLE,ISARNGVM,geometry_only_unconfirmed
105,TOP,,1,4781.7838mil,4698.3135mil,9.8425mil,11.811mil,ROUNDEDRECTANGLE,NEICVTLK,geometry_only_unconfirmed
106,TOP,,2,4805.8235mil,4612.2105mil,9.8425mil,11.811mil,ROUNDEDRECTANGLE,SCIVYXIB,geometry_only_unconfirmed
107,TOP,,1,4782.2015mil,4612.2105mil,9.8425mil,11.811mil,ROUNDEDRECTANGLE,HWPLMUHE,geometry_only_unconfirmed
108,TOP,,2,4806.1302mil,4655.0016mil,9.8425mil,11.811mil,ROUNDEDRECTANGLE,HQWQSKRG,geometry_only_unconfirmed
109,TOP,,1,4782.5082mil,4655.0016mil,9.8425mil,11.811mil,ROUNDEDRECTANGLE,NTPYVQHD,geometry_only_unconfirmed
110,TOP,,2,4806.8478mil,4741.0763mil,9.8425mil,11.811mil,ROUNDEDRECTANGLE,NREJIOET,geometry_only_unconfirmed
111,TOP,,1,4783.2258mil,4741.0763mil,9.8425mil,11.811mil,ROUNDEDRECTANGLE,XDYJJHCM,geometry_only_unconfirmed
112,TOP,,2,4807.1123mil,4783.2786mil,9.8425mil,11.811mil,ROUNDEDRECTANGLE,OYVPSHQY,geometry_only_unconfirmed
113,TOP,,1,4783.4903mil,4783.2786mil,9.8425mil,11.811mil,ROUNDEDRECTANGLE,FGTVOCJD,geometry_only_unconfirmed
114,TOP,,1,3869.6434mil,5235.4126mil,19.685mil,23.622mil,RECTANGLE,XXGLWUEJ,geometry_only_unconfirmed
115,TOP,,2,3909.0135mil,5235.4126mil,19.685mil,23.622mil,RECTANGLE,UIXOPMFW,geometry_only_unconfirmed
116,TOP,,1,3952.696mil,5261.0031mil,11.811mil,17.7165mil,ROUNDEDRECTANGLE,OMCGUYMQ,geometry_only_unconfirmed
117,TOP,,2,3952.696mil,5235.4125mil,11.811mil,17.7165mil,ROUNDEDRECTANGLE,JMYDISWW,geometry_only_unconfirmed
118,TOP,,3,3952.696mil,5209.822mil,11.811mil,17.7165mil,ROUNDEDRECTANGLE,QGFKFFVQ,geometry_only_unconfirmed
119,TOP,,4,4029.4676mil,5209.822mil,11.811mil,17.7165mil,ROUNDEDRECTANGLE,HRSYCUYY,geometry_only_unconfirmed
120,TOP,,5,4029.4676mil,5235.4125mil,11.811mil,17.7165mil,ROUNDEDRECTANGLE,BGQYQAHT,geometry_only_unconfirmed
121,TOP,,6,4029.4676mil,5261.0031mil,11.811mil,17.7165mil,ROUNDEDRECTANGLE,BWOIIKGJ,geometry_only_unconfirmed
122,TOP,,7,3991.0818mil,5235.4125mil,39.3701mil,62.9921mil,ROUNDEDRECTANGLE,DSYNUMQP,geometry_only_unconfirmed
123,TOP,,1,3909.0135mil,5269.4478mil,19.685mil,23.622mil,RECTANGLE,QNDSHPDE,geometry_only_unconfirmed
124,TOP,,2,3869.6434mil,5269.4478mil,19.685mil,23.622mil,RECTANGLE,RQSOMDWF,geometry_only_unconfirmed
125,TOP,,1,3786.8975mil,5637.6256mil,50mil,63mil,RECTANGLE,VQENCPCU,geometry_only_unconfirmed
126,TOP,,2,3866.8975mil,5637.6256mil,50mil,63mil,RECTANGLE,FYLSPNOB,geometry_only_unconfirmed
127,TOP,,1,4480.8692mil,5111.1829mil,19.685mil,23.622mil,RECTANGLE,OFRSDSBW,geometry_only_unconfirmed
128,TOP,,2,4520.2393mil,5111.1829mil,19.685mil,23.622mil,RECTANGLE,PEIYRRRX,geometry_only_unconfirmed
129,TOP,,1,4621.8653mil,5114.1378mil,23.622mil,19.685mil,RECTANGLE,OVIDTFWX,geometry_only_unconfirmed
130,TOP,,2,4657.2984mil,5114.1378mil,23.622mil,19.685mil,RECTANGLE,QLXIREPA,geometry_only_unconfirmed
131,TOP,,1,4488.6172mil,5072.6051mil,9.8425mil,11.811mil,ROUNDEDRECTANGLE,GQELFDYC,geometry_only_unconfirmed
132,TOP,,2,4512.2392mil,5072.6051mil,9.8425mil,11.811mil,ROUNDEDRECTANGLE,TJUEABXP,geometry_only_unconfirmed
133,TOP,,1,4621.8653mil,5164.3936mil,19.685mil,23.622mil,RECTANGLE,CXBFIMLW,geometry_only_unconfirmed
134,TOP,,2,4582.4952mil,5164.3936mil,19.685mil,23.622mil,RECTANGLE,FLKVWVXJ,geometry_only_unconfirmed
135,TOP,,1,4520.2393mil,5245.161mil,19.685mil,23.622mil,RECTANGLE,NWJFKGUW,geometry_only_unconfirmed
136,TOP,,2,4480.8692mil,5245.161mil,19.685mil,23.622mil,RECTANGLE,IFKAPMXL,geometry_only_unconfirmed
137,TOP,,2,4778.1388mil,5260.4862mil,33.4646mil,31.4961mil,RECTANGLE,ABAFXHQU,geometry_only_unconfirmed
138,TOP,,1,4833.2569mil,5260.4862mil,33.4646mil,31.4961mil,RECTANGLE,IAFNIKWG,geometry_only_unconfirmed
139,TOP,,1,4824.3752mil,5221.4032mil,19.685mil,23.622mil,RECTANGLE,DJMLAKIH,geometry_only_unconfirmed
140,TOP,,2,4785.0051mil,5221.4032mil,19.685mil,23.622mil,RECTANGLE,XMPQECKP,geometry_only_unconfirmed
141,TOP,,1,4827.3323mil,5184.4239mil,19.685mil,23.622mil,RECTANGLE,VRBBYCBQ,geometry_only_unconfirmed
142,TOP,,2,4827.3323mil,5145.0538mil,19.685mil,23.622mil,RECTANGLE,GUNCGRUL,geometry_only_unconfirmed
143,TOP,,2,4987.6902mil,4978.7516mil,23.622mil,19.685mil,RECTANGLE,AXJRDAFD,geometry_only_unconfirmed
144,TOP,,1,4987.6902mil,5014.1847mil,23.622mil,19.685mil,RECTANGLE,HBWRPNLB,geometry_only_unconfirmed
145,TOP,,2,5057.575mil,3283.5981mil,55.1181mil,43.3071mil,RECTANGLE,GSLLNCLW,geometry_only_unconfirmed
146,TOP,,1,4998.5199mil,3283.5981mil,55.1181mil,43.3071mil,RECTANGLE,HRASABWQ,geometry_only_unconfirmed
147,TOP,,2,4480.8692mil,5209.5922mil,19.685mil,23.622mil,RECTANGLE,GSGGBOLL,geometry_only_unconfirmed
148,TOP,,1,4520.2393mil,5209.5922mil,19.685mil,23.622mil,RECTANGLE,NLKASVUF,geometry_only_unconfirmed
149,TOP,,2,3657.0363mil,3000.0126mil,12.5984mil,14.1732mil,RECTANGLE,PROAYERO,geometry_only_unconfirmed
150,TOP,,1,3634.9891mil,3000.0126mil,12.5984mil,14.1732mil,RECTANGLE,FLXKGLKH,geometry_only_unconfirmed
151,TOP,,1,4348.243mil,3255.3794mil,19.685mil,23.622mil,RECTANGLE,VTBLANIN,geometry_only_unconfirmed
152,TOP,,2,4308.8729mil,3255.3794mil,19.685mil,23.622mil,RECTANGLE,BXDCYNIB,geometry_only_unconfirmed
153,TOP,,1,5105.5322mil,4553.145mil,33.4646mil,31.4961mil,RECTANGLE,VGUYQLEN,geometry_only_unconfirmed
154,TOP,,2,5105.5322mil,4498.0269mil,33.4646mil,31.4961mil,RECTANGLE,WGUFWMTP,geometry_only_unconfirmed
155,TOP,,2,5248.6478mil,4435.2125mil,19.685mil,23.622mil,RECTANGLE,PYFSMFTP,geometry_only_unconfirmed
156,TOP,,1,5209.2777mil,4435.2125mil,19.685mil,23.622mil,RECTANGLE,ENNGRGXI,geometry_only_unconfirmed
157,TOP,,2,5226.7164mil,4074.3756mil,19.685mil,23.622mil,RECTANGLE,IFKNKSYJ,geometry_only_unconfirmed
158,TOP,,1,5226.7164mil,4035.0055mil,19.685mil,23.622mil,RECTANGLE,CTCDVKWC,geometry_only_unconfirmed
159,TOP,,1,4488.7184mil,3402.0278mil,31.4961mil,31.4961mil,RECTANGLE,DHUPATYF,geometry_only_unconfirmed
160,TOP,,2,4547.7735mil,3402.0278mil,31.4961mil,31.4961mil,RECTANGLE,WTUXKMKB,geometry_only_unconfirmed
161,TOP,,1,5056.4113mil,3523.2396mil,19.685mil,23.622mil,RECTANGLE,DFRTVGGA,geometry_only_unconfirmed
162,TOP,,2,5017.0412mil,3523.2396mil,19.685mil,23.622mil,RECTANGLE,VUDQPIRJ,geometry_only_unconfirmed
163,TOP,,2,4907.5092mil,4971.1132mil,19.685mil,23.622mil,RECTANGLE,FILQHOMU,geometry_only_unconfirmed
164,TOP,,1,4946.8793mil,4971.1132mil,19.685mil,23.622mil,RECTANGLE,UXLHCTLQ,geometry_only_unconfirmed
165,TOP,,1,4674.5036mil,5060.5817mil,19.685mil,23.622mil,RECTANGLE,JPUQCAVG,geometry_only_unconfirmed
166,TOP,,2,4713.8737mil,5060.5817mil,19.685mil,23.622mil,RECTANGLE,BAHFWSCW,geometry_only_unconfirmed
167,TOP,,1,4604.257mil,5258.9386mil,19.685mil,23.622mil,RECTANGLE,DAYKQXAC,geometry_only_unconfirmed
168,TOP,,2,4643.6271mil,5258.9386mil,19.685mil,23.622mil,RECTANGLE,XQSWHVGW,geometry_only_unconfirmed
169,TOP,,1,5867.6782mil,4118.1889mil,39.3701mil,39.3701mil,ROUND,QHRGTWUT,geometry_only_unconfirmed
170,TOP,,1,5305.3948mil,4678.5038mil,39.3701mil,39.3701mil,ROUND,BGJEEPMH,geometry_only_unconfirmed
171,TOP,,2,4603.8135mil,5388.6469mil,33.4646mil,31.4961mil,RECTANGLE,YUYBEEXY,geometry_only_unconfirmed
172,TOP,,1,4603.8135mil,5333.5288mil,33.4646mil,31.4961mil,RECTANGLE,OSFXEYFD,geometry_only_unconfirmed
173,TOP,,1,4541.1348mil,5512.0832mil,55.1181mil,43.3071mil,RECTANGLE,KVLWXKUL,geometry_only_unconfirmed
174,TOP,,2,4600.1899mil,5512.0832mil,55.1181mil,43.3071mil,RECTANGLE,HPBUONFB,geometry_only_unconfirmed
175,TOP,,1,5498.1568mil,3974.6766mil,19.685mil,23.622mil,RECTANGLE,AUOJEGCN,geometry_only_unconfirmed
176,TOP,,2,5498.1568mil,4014.0467mil,19.685mil,23.622mil,RECTANGLE,SNNBQVVS,geometry_only_unconfirmed
177,TOP,,2,4864.5358mil,3804.2703mil,55.1181mil,43.3071mil,RECTANGLE,QJNFFCSE,geometry_only_unconfirmed
178,TOP,,1,4864.5358mil,3745.2152mil,55.1181mil,43.3071mil,RECTANGLE,TWITBIOD,geometry_only_unconfirmed
179,TOP,,1,3803.7888mil,6609.4379mil,33.4646mil,31.4961mil,RECTANGLE,RIWVLNLB,geometry_only_unconfirmed
180,TOP,,2,3803.7888mil,6554.3198mil,33.4646mil,31.4961mil,RECTANGLE,VXJIKNXR,geometry_only_unconfirmed
181,TOP,,1,3746.114mil,6724.4543mil,33.4646mil,31.4961mil,RECTANGLE,PRSKFXQJ,geometry_only_unconfirmed
182,TOP,,2,3746.114mil,6779.5724mil,33.4646mil,31.4961mil,RECTANGLE,NSBEBLTC,geometry_only_unconfirmed
183,TOP,,1,5018.5806mil,3571.444mil,19.685mil,23.622mil,RECTANGLE,LJPQQRPM,geometry_only_unconfirmed
184,TOP,,2,5057.9507mil,3571.444mil,19.685mil,23.622mil,RECTANGLE,QACPLYQK,geometry_only_unconfirmed
185,TOP,,2,4897.7854mil,3409.6635mil,19.685mil,23.622mil,RECTANGLE,FOUDCWVK,geometry_only_unconfirmed
186,TOP,,1,4897.7854mil,3370.2934mil,19.685mil,23.622mil,RECTANGLE,YHXCCTPL,geometry_only_unconfirmed
187,TOP,,2,4588.3479mil,3713.2042mil,19.685mil,23.622mil,RECTANGLE,RACTMMAI,geometry_only_unconfirmed
188,TOP,,1,4588.3479mil,3673.8341mil,19.685mil,23.622mil,RECTANGLE,IHERVDIF,geometry_only_unconfirmed
189,TOP,,1,5244.9102mil,4655.8237mil,9.8425mil,11.811mil,ROUNDEDRECTANGLE,QSWOKRIB,geometry_only_unconfirmed
190,TOP,,2,5244.9102mil,4632.2017mil,9.8425mil,11.811mil,ROUNDEDRECTANGLE,JLCCGHOT,geometry_only_unconfirmed
191,TOP,,2,4484.0699mil,5164.3936mil,19.685mil,23.622mil,RECTANGLE,WYAVNOBK,geometry_only_unconfirmed
192,TOP,,1,4523.44mil,5164.3936mil,19.685mil,23.622mil,RECTANGLE,KQWAFHOR,geometry_only_unconfirmed
193,TOP,,1,4256.6581mil,5115.0041mil,33.4646mil,31.4961mil,RECTANGLE,MNUOVYLQ,geometry_only_unconfirmed
194,TOP,,2,4311.7762mil,5115.0041mil,33.4646mil,31.4961mil,RECTANGLE,WNGONOHV,geometry_only_unconfirmed
195,TOP,,2,4635.1335mil,5060.5817mil,19.685mil,23.622mil,RECTANGLE,ICYSLOTK,geometry_only_unconfirmed
196,TOP,,1,4595.7634mil,5060.5817mil,19.685mil,23.622mil,RECTANGLE,SEOYDTIW,geometry_only_unconfirmed
197,TOP,,2,4974.8343mil,3409.6634mil,19.685mil,23.622mil,RECTANGLE,JHXWXSYQ,geometry_only_unconfirmed
