truth_azimuth_deg,truth_elevation_deg,rx_order,tx_order,estimated_azimuth_deg,estimated_elevation_deg,azimuth_error_deg,elevation_error_deg,score,identity_order
10.0,2.0,"0,2,1,3","0,2,1,3",-26.0,-3.0,-36.0,-5.0,0.9346624619668615,False
10.0,2.0,"0,2,1,3","0,2,3,1",9.0,0.0,-1.0,-2.0,0.6911856607272178,False
10.0,2.0,"0,2,1,3","0,3,1,2",-41.0,-14.0,-51.0,-16.0,0.949308317585964,False
10.0,2.0,"0,2,1,3","0,3,2,1",-39.0,15.0,-49.0,13.0,0.9413034285583465,False
10.0,2.0,"0,2,1,3","1,0,2,3",-54.0,-6.0,-64.0,-8.0,0.8580634373288749,False
10.0,2.0,"0,2,1,3","1,0,3,2",5.0,-5.0,-5.0,-7.0,0.8849461365409519,False
10.0,2.0,"0,2,1,3","1,2,0,3",30.0,17.0,20.0,15.0,0.7398377191236141,False
10.0,2.0,"0,2,1,3","1,2,3,0",23.0,-17.0,13.0,-19.0,0.6826866830570598,False
10.0,2.0,"0,2,1,3","1,3,0,2",33.0,-6.0,23.0,-8.0,0.9625265824763846,False
10.0,2.0,"0,2,1,3","1,3,2,0",-23.0,1.0,-33.0,-1.0,0.9740634661262214,False
10.0,2.0,"0,2,1,3","2,0,1,3",-21.0,-3.0,-31.0,-5.0,0.654356143223538,False
10.0,2.0,"0,2,1,3","2,0,3,1",-5.0,-17.0,-15.0,-19.0,0.8616209326885362,False
10.0,2.0,"0,2,1,3","2,1,0,3",-26.0,-15.0,-36.0,-17.0,0.9514204971897906,False
10.0,2.0,"0,2,1,3","2,1,3,0",-35.0,19.0,-45.0,17.0,0.9654725516230312,False
10.0,2.0,"0,2,1,3","2,3,0,1",31.0,0.0,21.0,-2.0,0.9633306652305008,False
10.0,2.0,"0,2,1,3","2,3,1,0",-40.0,1.0,-50.0,-1.0,0.941780490610562,False
10.0,2.0,"0,2,1,3","3,0,1,2",-48.0,6.0,-58.0,4.0,0.6455885437316102,False
10.0,2.0,"0,2,1,3","3,0,2,1",43.0,7.0,33.0,5.0,0.8762131937591644,False
10.0,2.0,"0,2,1,3","3,1,0,2",-35.0,-19.0,-45.0,-21.0,0.9784093175469787,False
10.0,2.0,"0,2,1,3","3,1,2,0",11.0,14.0,1.0,12.0,0.9856344520896381,False
10.0,2.0,"0,2,1,3","3,2,0,1",-55.0,20.0,-65.0,18.0,0.7588080084957792,False
10.0,2.0,"0,2,1,3","3,2,1,0",-6.0,7.0,-16.0,5.0,0.920478918760508,False
10.0,2.0,"0,2,3,1","0,1,2,3",-1.0,-9.0,-11.0,-11.0,0.7856995800648906,False
10.0,2.0,"0,2,3,1","0,1,3,2",-16.0,20.0,-26.0,18.0,0.7609206416251973,False
10.0,2.0,"0,2,3,1","0,2,1,3",-46.0,-7.0,-56.0,-9.0,0.7612214943022958,False
10.0,2.0,"0,2,3,1","0,2,3,1",-46.0,-7.0,-56.0,-9.0,0.5561061362642529,False
10.0,2.0,"0,2,3,1","0,3,1,2",-41.0,6.0,-51.0,4.0,0.7498275536399092,False
10.0,2.0,"0,2,3,1","0,3,2,1",-51.0,-7.0,-61.0,-9.0,0.785294179351986,False
10.0,2.0,"0,2,3,1","1,0,2,3",-29.0,12.0,-39.0,10.0,0.7134753591549021,False
10.0,2.0,"0,2,3,1","1,0,3,2",-11.0,-7.0,-21.0,-9.0,0.7111817130456182,False
10.0,2.0,"0,2,3,1","1,2,0,3",43.0,-8.0,33.0,-10.0,0.6049158168049615,False
10.0,2.0,"0,2,3,1","1,2,3,0",58.0,-10.0,48.0,-12.0,0.5471282766292681,False
10.0,2.0,"0,2,3,1","1,3,0,2",36.0,12.0,26.0,10.0,0.7691511367741303,False
10.0,2.0,"0,2,3,1","1,3,2,0",-16.0,-20.0,-26.0,-22.0,0.7619622050186812,False
10.0,2.0,"0,2,3,1","2,0,1,3",-16.0,20.0,-26.0,18.0,0.5120778334725772,False
10.0,2.0,"0,2,3,1","2,0,3,1",-1.0,8.0,-11.0,6.0,0.7307022740959653,False
10.0,2.0,"0,2,3,1","2,1,0,3",17.0,-12.0,7.0,-14.0,0.7869061004219687,False
10.0,2.0,"0,2,3,1","2,1,3,0",57.0,20.0,47.0,18.0,0.7797348082303867,False
10.0,2.0,"0,2,3,1","2,3,0,1",44.0,-12.0,34.0,-14.0,0.787725009655996,False
10.0,2.0,"0,2,3,1","2,3,1,0",58.0,-14.0,48.0,-16.0,0.7508619858835643,False
10.0,2.0,"0,2,3,1","3,0,1,2",57.0,20.0,47.0,18.0,0.5254065732061464,False
10.0,2.0,"0,2,3,1","3,0,2,1",10.0,13.0,0.0,11.0,0.6876392132568648,False
10.0,2.0,"0,2,3,1","3,1,0,2",-44.0,15.0,-54.0,13.0,0.7504566933856307,False
10.0,2.0,"0,2,3,1","3,1,2,0",56.0,-4.0,46.0,-6.0,0.7813459205284096,False
10.0,2.0,"0,2,3,1","3,2,0,1",-12.0,-1.0,-22.0,-3.0,0.6106413751555507,False
