case_id,scenario_id,pfa,training_doppler,training_range,guard_doppler,guard_range,cfar_alpha,frames,point_count,points_per_frame,mean_power_linear,max_power_linear,mean_range_m,mean_velocity_mps,three_db_facets,six_db_facets,mean_three_db_scatter_proxy,three_db_doppler_min_hz,three_db_doppler_max_hz,rms_three_db_radial_velocity_mps
ss1_rippled,pfa1e3_train8,0.001,8,8,2,2,6.965426312642791,41,0,0.0,,,,,0,207,0.0,,,
ss1_rippled,pfa1e4_train8,0.0001,8,8,2,2,9.313056604394639,41,0,0.0,,,,,0,207,0.0,,,
ss2_normal,pfa1e2_train2,0.01,2,2,1,1,4.880738172078534,41,0,0.0,,,,,53,242,1.8607865902403863e-05,-34.36447470415653,36.310012112098356,0.033301058342641826
ss2_normal,pfa1e3_train2,0.001,2,2,1,1,7.54008909748074,41,0,0.0,,,,,53,242,1.8607865902403863e-05,-34.36447470415653,36.310012112098356,0.033301058342641826
ss2_normal,pfa1e4_train2,0.0001,2,2,1,1,10.357016471766691,41,0,0.0,,,,,53,242,1.8607865902403863e-05,-34.36447470415653,36.310012112098356,0.033301058342641826
ss2_normal,pfa1e2_train4,0.01,4,4,1,1,4.701158013882836,41,0,0.0,,,,,53,242,1.8607865902403863e-05,-34.36447470415653,36.310012112098356,0.033301058342641826
ss2_normal,pfa1e3_train4,0.001,4,4,1,1,7.125225830266771,41,0,0.0,,,,,53,242,1.8607865902403863e-05,-34.36447470415653,36.310012112098356,0.033301058342641826
ss2_normal,pfa1e4_train4,0.0001,4,4,1,1,9.599645373046872,41,0,0.0,,,,,53,242,1.8607865902403863e-05,-34.36447470415653,36.310012112098356,0.033301058342641826
ss2_normal,pfa1e2_train8,0.01,8,8,2,2,4.630754400374464,41,0,0.0,,,,,53,242,1.8607865902403863e-05,-34.36447470415653,36.310012112098356,0.033301058342641826
ss2_normal,pfa1e3_train8,0.001,8,8,2,2,6.965426312642791,41,0,0.0,,,,,53,242,1.8607865902403863e-05,-34.36447470415653,36.310012112098356,0.033301058342641826
ss2_normal,pfa1e4_train8,0.0001,8,8,2,2,9.313056604394639,41,0,0.0,,,,,53,242,1.8607865902403863e-05,-34.36447470415653,36.310012112098356,0.033301058342641826
ss3_nominal,pfa1e2_train2,0.01,2,2,1,1,4.880738172078534,41,5,0.12195121951219512,79903.1765625,153218.265625,7.3777050210937505,-0.060834508522727274,141,287,7.609939752481536e-05,-70.71705346796438,74.3392033078437,0.05873817636870695
ss3_nominal,pfa1e3_train2,0.001,2,2,1,1,7.54008909748074,41,4,0.0975609756097561,81100.7421875,153218.265625,7.026385734375,-0.07604313565340909,141,287,7.609939752481536e-05,-70.71705346796438,74.3392033078437,0.05873817636870695
ss3_nominal,pfa1e4_train2,0.0001,2,2,1,1,10.357016471766691,41,3,0.07317073170731707,89189.72005208333,153218.265625,7.026385734375,-0.10139084753787879,141,287,7.609939752481536e-05,-70.71705346796438,74.3392033078437,0.05873817636870695
ss3_nominal,pfa1e2_train4,0.01,4,4,1,1,4.701158013882836,41,2,0.04878048780487805,64855.255859375,75112.9140625,8.78298216796875,0.0,141,287,7.609939752481536e-05,-70.71705346796438,74.3392033078437,0.05873817636870695
ss3_nominal,pfa1e3_train4,0.001,4,4,1,1,7.125225830266771,41,2,0.04878048780487805,64855.255859375,75112.9140625,8.78298216796875,0.0,141,287,7.609939752481536e-05,-70.71705346796438,74.3392033078437,0.05873817636870695
ss3_nominal,pfa1e4_train4,0.0001,4,4,1,1,9.599645373046872,41,0,0.0,,,,,141,287,7.609939752481536e-05,-70.71705346796438,74.3392033078437,0.05873817636870695
ss3_nominal,pfa1e2_train8,0.01,8,8,2,2,4.630754400374464,41,0,0.0,,,,,141,287,7.609939752481536e-05,-70.71705346796438,74.3392033078437,0.05873817636870695
ss3_nominal,pfa1e3_train8,0.001,8,8,2,2,6.965426312642791,41,0,0.0,,,,,141,287,7.609939752481536e-05,-70.71705346796438,74.3392033078437,0.05873817636870695
ss3_nominal,pfa1e4_train8,0.0001,8,8,2,2,9.313056604394639,41,0,0.0,,,,,141,287,7.609939752481536e-05,-70.71705346796438,74.3392033078437,0.05873817636870695
ss3_upper,pfa1e2_train2,0.01,2,2,1,1,4.880738172078534,41,11,0.2682926829268293,96324.18678977272,225951.421875,7.345766904119319,-0.05530409865702479,159,293,9.610500850989918e-05,-86.84905879161609,85.71472244729465,0.06775398045984175
ss3_upper,pfa1e3_train2,0.001,2,2,1,1,7.54008909748074,41,6,0.14634146341463414,130899.36067708333,225951.421875,6.733619662109375,-0.050695423768939395,159,293,9.610500850989918e-05,-86.84905879161609,85.71472244729465,0.06775398045984175
ss3_upper,pfa1e4_train2,0.0001,2,2,1,1,10.357016471766691,41,6,0.14634146341463414,130899.36067708333,225951.421875,6.733619662109375,-0.050695423768939395,159,293,9.610500850989918e-05,-86.84905879161609,85.71472244729465,0.06775398045984175
ss3_upper,pfa1e2_train4,0.01,4,4,1,1,4.701158013882836,41,3,0.07317073170731707,98136.2109375,154223.09375,8.78298216796875,0.0,159,293,9.610500850989918e-05,-86.84905879161609,85.71472244729465,0.06775398045984175
ss3_upper,pfa1e3_train4,0.001,4,4,1,1,7.125225830266771,41,2,0.04878048780487805,130904.33203125,154223.09375,8.78298216796875,0.0,159,293,9.610500850989918e-05,-86.84905879161609,85.71472244729465,0.06775398045984175
ss3_upper,pfa1e4_train4,0.0001,4,4,1,1,9.599645373046872,41,2,0.04878048780487805,130904.33203125,154223.09375,8.78298216796875,0.0,159,293,9.610500850989918e-05,-86.84905879161609,85.71472244729465,0.06775398045984175
ss3_upper,pfa1e2_train8,0.01,8,8,2,2,4.630754400374464,41,0,0.0,,,,,159,293,9.610500850989918e-05,-86.84905879161609,85.71472244729465,0.06775398045984175
ss3_upper,pfa1e3_train8,0.001,8,8,2,2,6.965426312642791,41,0,0.0,,,,,159,293,9.610500850989918e-05,-86.84905879161609,85.71472244729465,0.06775398045984175
ss3_upper,pfa1e4_train8,0.0001,8,8,2,2,9.313056604394639,41,0,0.0,,,,,159,293,9.610500850989918e-05,-86.84905879161609,85.71472244729465,0.06775398045984175
