case_id,scenario_id,detector,abstract_detection_count,cad_detection_count,delta_detection_count,abstract_stored_point_count,cad_stored_point_count,delta_stored_point_count,abstract_mean_azimuth_deg,cad_mean_azimuth_deg,delta_mean_azimuth_deg,abstract_std_azimuth_deg,cad_std_azimuth_deg,delta_std_azimuth_deg,abstract_mean_elevation_deg,cad_mean_elevation_deg,delta_mean_elevation_deg,abstract_std_elevation_deg,cad_std_elevation_deg,delta_std_elevation_deg
ss0_flat,pfa1e4_train4,ca_threshold_only,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ss0_flat,pfa1e4_train4,fixed_energy_local_peak,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ss0_flat,pfa1e4_train4,os_cfar_local_peak,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ss0_flat,pfa1e4_train8,ca_cfar_local_peak,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ss0_flat,pfa1e4_train8,ca_threshold_only,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ss0_flat,pfa1e4_train8,fixed_energy_local_peak,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ss0_flat,pfa1e4_train8,os_cfar_local_peak,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ss1_rippled,pfa1e2_train2,ca_cfar_local_peak,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ss1_rippled,pfa1e2_train2,ca_threshold_only,1551.0,1551.0,0.0,256.0,256.0,0.0,nan,nan,nan,nan,nan,nan,-7.26448143640424,7.231338305217903,14.495819741622142,25.408237795364496,25.27480230146321,-0.13343549390128473
ss1_rippled,pfa1e2_train2,fixed_energy_local_peak,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ss1_rippled,pfa1e2_train2,os_cfar_local_peak,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ss1_rippled,pfa1e2_train4,ca_cfar_local_peak,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ss1_rippled,pfa1e2_train4,ca_threshold_only,1484.0,1484.0,0.0,256.0,256.0,0.0,nan,nan,nan,nan,nan,nan,-7.159156763713022,7.125882445801494,14.285039209514515,26.022181358824977,25.89950126220525,-0.12268009661972812
ss1_rippled,pfa1e2_train4,fixed_energy_local_peak,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
