grid,permutation,azimuth_rmse_deg,elevation_rmse_deg,azimuth_max_abs_error_deg,elevation_max_abs_error_deg,sample_count,status
narrow,identity,5.90160551385376e-15,7.908299114285763e-15,1.1546319456101628e-14,1.687538997430238e-14,9,synthetic_known_angle_sensitivity
narrow,tx_reverse,7.061527308317213,2.9703417954547153,8.649890208707527,5.140931099534015,9,synthetic_known_angle_sensitivity
narrow,rx_reverse,1.1038504534356874,1.377667031834887,1.3556891368757125,1.6881586774341368,9,synthetic_known_angle_sensitivity
narrow,tx_rx_reverse,8.174318049594614,4.037476485896019,10.014807915749406,6.831098986748022,9,synthetic_known_angle_sensitivity
narrow,transpose,1.325626593038771,2.419924861880255,1.6671195372123426,4.1901996424574905,9,synthetic_known_angle_sensitivity
narrow,transpose_tx_reverse,3.9724013658421544,2.4869627454379404,4.908285692825648,4.302687331684677,9,synthetic_known_angle_sensitivity
narrow,transpose_rx_reverse,4.192870265405511,2.4282927818563165,5.178260157742349,4.194517869402531,9,synthetic_known_angle_sensitivity
narrow,transpose_both_reverse,6.839904591648578,2.359591686409483,8.41979803267158,4.0820383095419555,9,synthetic_known_angle_sensitivity
wide,identity,25.221875430917517,27.158151415348936,40.335899925504116,41.78477969686421,15,synthetic_known_angle_sensitivity
wide,tx_reverse,25.508338400635527,17.180552149034668,41.1959350292976,31.16252897183333,15,synthetic_known_angle_sensitivity
wide,rx_reverse,32.478808166231936,27.34928422893288,50.54973004181909,44.43790372227271,15,synthetic_known_angle_sensitivity
wide,tx_rx_reverse,32.61159273242131,18.671825564623056,51.42191359179626,33.92994738104999,15,synthetic_known_angle_sensitivity
wide,transpose,19.99173029675632,12.351078405349728,30.53937157277634,18.91778273127896,15,synthetic_known_angle_sensitivity
wide,transpose_tx_reverse,36.805798694480906,12.349140849837,54.666542129684636,18.490569829807278,15,synthetic_known_angle_sensitivity
wide,transpose_rx_reverse,20.040889501447612,12.94140143132529,31.29491092009369,19.62752809308311,15,synthetic_known_angle_sensitivity
wide,transpose_both_reverse,36.80783298127112,12.943184907991537,54.6050340932375,20.05537504418127,15,synthetic_known_angle_sensitivity
