case_id,frames,wind_speed_mps,wind_direction_deg,mean_abs_radial_velocity_mps,rms_radial_velocity_mps,doppler_min_hz,doppler_max_hz,mean_peak_to_second_db,jump_rate_over_5deg
ss0_flat,41,0.0,90.0,0.0,0.0,0.0,0.0,0.03515933833680168,0.85
ss1_rippled,41,2.6,90.0,0.0007808350737819149,0.0013672392529714204,-19.491521208606095,23.872411688851088,0.05477977828851604,1.0
ss2_normal,41,4.6,90.0,0.0039518318934506835,0.006983364958734812,-148.41210685380938,102.43999193751577,0.0463898811796469,0.975
ss3_nominal,41,6.7,90.0,0.009984426919844582,0.018724053900934234,-446.76367965076054,235.38016593000955,0.06495368103571682,0.975
ss3_upper,41,6.7,90.0,0.011743219078038228,0.022315397909642692,-544.1249499999733,271.4369618266111,0.05530974873150413,1.0
