case_id,frame,time_s,wind_speed_mps,wind_direction_deg,estimated_azimuth_deg,estimated_elevation_deg,peak_to_second_db,grid_dx_m,grid_dy_m,mean_abs_radial_velocity_mps,rms_radial_velocity_mps,doppler_min_hz,doppler_max_hz,illuminated_fraction,selected_facet_count
ss0_flat,38,19.0,0.0,90.0,46.0,2.0,0.0036633884895647365,1.0,1.0,0.0,0.0,0.0,0.0,1.0,48
ss0_flat,39,19.5,0.0,90.0,46.0,2.0,0.01722500148388723,1.0,1.0,0.0,0.0,0.0,0.0,1.0,48
ss0_flat,40,20.0,0.0,90.0,46.0,-18.0,0.02012564430949011,1.0,1.0,0.0,0.0,0.0,0.0,1.0,48
ss1_rippled,0,0.0,2.6,90.0,-12.0,-5.0,0.056878686578200964,1.0,1.0,0.0,0.0,0.0,0.0,0.9392939293929393,48
ss1_rippled,1,0.5,2.6,90.0,-47.0,12.0,0.08093345365869094,1.0,1.0,0.0008048617696954679,0.0014346642433372455,-9.496054458715319,20.106673859037656,0.9375937593759376,48
ss1_rippled,2,1.0,2.6,90.0,-32.0,4.0,0.03116594497941039,1.0,1.0,0.0008065872313416653,0.001440502002182964,-15.525082554900488,14.483584966877677,0.9371937193719372,48
ss1_rippled,3,1.5,2.6,90.0,59.0,17.0,0.15813024097495035,1.0,1.0,0.0008039311002764369,0.0014321346396089837,-17.55861694550164,12.105389177529137,0.9387938793879388,48
ss1_rippled,4,2.0,2.6,90.0,0.0,9.0,0.0027366216401051914,1.0,1.0,0.0008087526593180059,0.0014480349167032855,-13.360972887156423,14.928423280884044,0.938993899389939,48
ss1_rippled,5,2.5,2.6,90.0,-29.0,10.0,0.011410127683817679,1.0,1.0,0.0007962416788646934,0.0013880659287382627,-12.24630721862583,11.949738127408501,0.9390939093909391,48
ss1_rippled,6,3.0,2.6,90.0,44.0,1.0,0.06384702080062751,1.0,1.0,0.0008021136702610192,0.0013894175384827282,-10.872819044786354,9.32348280705508,0.9366936693669367,48
ss1_rippled,7,3.5,2.6,90.0,-2.0,-5.0,0.007547330827697615,1.0,1.0,0.0008057849150438778,0.001429838846453922,-15.854884864905715,14.711738640212078,0.9381938193819382,48
ss1_rippled,8,4.0,2.6,90.0,-29.0,10.0,0.04889314694154831,1.0,1.0,0.000801371576631557,0.0014173902660408206,-12.137787349720487,17.222138339636082,0.9362936293629363,48
ss1_rippled,9,4.5,2.6,90.0,-40.0,-15.0,0.2551509920790292,1.0,1.0,0.0007957284111195852,0.0013659086129598455,-12.837071610982155,11.22107477479937,0.9386938693869387,48
ss1_rippled,10,5.0,2.6,90.0,-4.0,20.0,0.01819341587490265,1.0,1.0,0.0007994414415688489,0.0013590497410484747,-12.835167202179024,9.555585451946397,0.9345934593459346,48
ss1_rippled,11,5.5,2.6,90.0,-49.0,-14.0,0.07093134446000063,1.0,1.0,0.0007983828573255113,0.0013645352372511695,-11.231593004327582,9.854923368885622,0.9373937393739374,48
ss1_rippled,12,6.0,2.6,90.0,29.0,18.0,0.018343871209302746,1.0,1.0,0.0007984560027463261,0.0013584102939198969,-10.379532692212926,10.45951282801353,0.9358935893589359,48
ss1_rippled,13,6.5,2.6,90.0,-57.0,5.0,0.047951934557831005,1.0,1.0,0.0007971463428776642,0.0013418676682084192,-9.099638703756654,8.063919728172207,0.9366936693669367,48
ss1_rippled,14,7.0,2.6,90.0,-51.0,12.0,0.011097937992521838,1.0,1.0,0.0007997169635557831,0.0013415840254713109,-9.169255557784522,9.64307848036511,0.9382938293829383,48
ss1_rippled,15,7.5,2.6,90.0,-16.0,-15.0,0.08780065954512138,1.0,1.0,0.0007952796011702677,0.0013414188507222917,-12.15928729664262,8.491296870681474,0.9394939493949395,48
ss1_rippled,16,8.0,2.6,90.0,-19.0,-10.0,0.035586288749968074,1.0,1.0,0.0007926399774362392,0.001323066700051493,-7.286775684465899,9.451287513997162,0.9388938893889389,48
ss1_rippled,17,8.5,2.6,90.0,0.0,17.0,0.011898837341235702,1.0,1.0,0.0007914004265667815,0.0013191360326162515,-12.130155648410947,8.71607577660588,0.9360936093609361,48
ss1_rippled,18,9.0,2.6,90.0,26.0,0.0,0.0301162767955667,1.0,1.0,0.0007968080631113501,0.001358325758142374,-11.36210943563806,15.235201256746093,0.9345934593459346,48
ss1_rippled,19,9.5,2.6,90.0,13.0,-13.0,0.06871237603501096,1.0,1.0,0.0007935231327871913,0.0013507073353874722,-16.637341561191402,9.00433963733626,0.9396939693969397,48
ss1_rippled,20,10.0,2.6,90.0,-18.0,-16.0,0.03015939924604396,1.0,1.0,0.000794336844108214,0.0013147956009875446,-7.766058141377209,14.185681969139747,0.9381938193819382,48
ss1_rippled,21,10.5,2.6,90.0,50.0,-4.0,0.025485080959762752,1.0,1.0,0.0007945227502392972,0.0013243886712985733,-8.962583225596925,12.82266492822303,0.9385938593859386,48
ss1_rippled,22,11.0,2.6,90.0,-44.0,-12.0,0.1215328965779315,1.0,1.0,0.0007918310561457783,0.001351085434520471,-16.88239753436136,7.815867666291831,0.9356935693569357,48
ss1_rippled,23,11.5,2.6,90.0,9.0,-5.0,0.013357846083182048,1.0,1.0,0.0007906340342729238,0.0012880312778675894,-7.11509191096896,13.85407123220214,0.93999399939994,48
ss1_rippled,24,12.0,2.6,90.0,13.0,4.0,0.0822073011515082,1.0,1.0,0.0007895092756422418,0.001286228895889106,-8.646691545625684,9.456984342881311,0.9383938393839384,48
ss1_rippled,25,12.5,2.6,90.0,52.0,-5.0,0.13779723338219432,1.0,1.0,0.0007929678462168977,0.0013277926024891878,-15.682880851316117,6.602715888252188,0.9400940094009401,48
ss1_rippled,26,13.0,2.6,90.0,-24.0,12.0,0.05202895101084755,1.0,1.0,0.0007947895796618233,0.0013240401181707333,-9.703476012105051,9.43471486364877,0.9392939293929393,48
ss1_rippled,27,13.5,2.6,90.0,-39.0,-5.0,0.01296655761389752,1.0,1.0,0.0007978777865899044,0.0013319963968610362,-9.396326462546236,12.572263834901653,0.937993799379938,48
ss1_rippled,28,14.0,2.6,90.0,56.0,3.0,0.09138824719528227,1.0,1.0,0.0008039254633811775,0.0013500594211161236,-9.992025449317788,9.703068871636477,0.9374937493749375,48
ss1_rippled,29,14.5,2.6,90.0,14.0,-2.0,0.12856496402567127,1.0,1.0,0.0007994604020781738,0.0013585490325326989,-12.50480910011497,10.29231805152454,0.938993899389939,48
ss1_rippled,30,15.0,2.6,90.0,-53.0,-2.0,0.02962400283153388,1.0,1.0,0.0007983606930052271,0.001342718231020635,-11.926574504057024,8.054804655443155,0.9415941594159416,48
ss1_rippled,31,15.5,2.6,90.0,9.0,14.0,0.08999264643642986,1.0,1.0,0.0008005412763306969,0.00134703496680757,-10.355898936757342,9.340045024816332,0.9417941794179417,48
ss1_rippled,32,16.0,2.6,90.0,56.0,-3.0,0.08825843494660848,1.0,1.0,0.000805507413149916,0.0013734273399691516,-9.229591233292382,11.533287303401616,0.938993899389939,48
ss1_rippled,33,16.5,2.6,90.0,39.0,-2.0,0.010251512116775857,1.0,1.0,0.0008023251974738032,0.001362081398296546,-10.701552411906503,12.771628237609546,0.9381938193819382,48
ss1_rippled,34,17.0,2.6,90.0,-11.0,-2.0,0.03147841455097053,1.0,1.0,0.0008038581555343725,0.0014381431029005431,-13.773030791082789,8.634473845357812,0.9377937793779378,48
ss1_rippled,35,17.5,2.6,90.0,27.0,-16.0,0.021130521169122986,1.0,1.0,0.0008099297296623163,0.0014809943637830582,-18.576468952468023,13.76191544749347,0.9394939493949395,48
ss1_rippled,36,18.0,2.6,90.0,16.0,18.0,0.022907060496361153,1.0,1.0,0.0007971372206933579,0.0013943841745936625,-14.16584408958967,17.820469244944075,0.9367936793679368,48
ss1_rippled,37,18.5,2.6,90.0,0.0,14.0,0.06475735435670714,1.0,1.0,0.0008157322860872384,0.0015382278666053286,-18.609592360789012,13.414651201755062,0.9401940194019401,48
ss1_rippled,38,19.0,2.6,90.0,43.0,12.0,0.008700619481906886,1.0,1.0,0.0008142918909016068,0.0016025767412123546,-19.491521208606095,23.872411688851088,0.9371937193719372,48
ss1_rippled,39,19.5,2.6,90.0,-59.0,1.0,0.020090416398649415,1.0,1.0,0.000811356229071104,0.001464782466701127,-16.982421188882963,15.564252572434512,0.9377937793779378,48
ss1_rippled,40,20.0,2.6,90.0,-32.0,14.0,0.04596494107223023,1.0,1.0,0.0008171750731141686,0.0014987884559434987,-16.598275271748786,12.299480001088735,0.936993699369937,48
ss2_normal,0,0.0,4.6,90.0,-30.0,9.0,0.05289962731023234,1.0,1.0,0.0,0.0,0.0,0.0,0.6612661266126613,48
ss2_normal,1,0.5,4.6,90.0,10.0,-7.0,0.0381357350346154,1.0,1.0,0.004051344592246069,0.007209709818532034,-39.170995172282524,102.43999193751577,0.6574657465746575,48
ss2_normal,2,1.0,4.6,90.0,-27.0,16.0,0.012758969768616107,1.0,1.0,0.004117204790019151,0.007650056599796094,-70.67837617432492,67.36358194012527,0.6611661166116611,48
ss2_normal,3,1.5,4.6,90.0,-7.0,14.0,0.021315661985699706,1.0,1.0,0.003997927581810221,0.007274406327534401,-127.27819068802599,37.50611427143702,0.6566656665666567,48
ss2_normal,4,2.0,4.6,90.0,-8.0,16.0,0.007158836596265336,1.0,1.0,0.004027478680151001,0.007101977846789501,-55.890407308518405,67.34377923015565,0.6602660266026603,48
ss2_normal,5,2.5,4.6,90.0,42.0,3.0,0.005636524102017054,1.0,1.0,0.0039898007212700965,0.006631188616572956,-47.29994422934344,65.00220381573483,0.658965896589659,48
ss2_normal,6,3.0,4.6,90.0,-31.0,1.0,0.08576251361147005,1.0,1.0,0.0040243611070196065,0.006809258756065575,-60.435704442415506,31.832464123104273,0.6634663466346634,48
ss2_normal,7,3.5,4.6,90.0,57.0,-2.0,0.057505073306279936,1.0,1.0,0.004014107988647776,0.006615737268720001,-67.19529801918902,34.08828728227128,0.6647664766476648,48
ss2_normal,8,4.0,4.6,90.0,-44.0,-15.0,0.10476416295476972,1.0,1.0,0.0040241865901066735,0.006624261318167207,-38.070323961084476,64.09556179596223,0.6590659065906591,48
ss2_normal,9,4.5,4.6,90.0,16.0,4.0,0.045730884291677605,1.0,1.0,0.004004567920130098,0.0064186883672924,-29.824842947935565,45.106944201041216,0.6647664766476648,48
ss2_normal,10,5.0,4.6,90.0,47.0,16.0,0.1008430530302005,1.0,1.0,0.004023282128312936,0.006717286437678859,-54.124598540168826,58.630888721001895,0.6644664466446645,48
ss2_normal,11,5.5,4.6,90.0,31.0,6.0,0.010806900842516879,1.0,1.0,0.003975922651212944,0.006613897938293214,-55.92337249610627,48.26303128060405,0.6592659265926593,48
ss2_normal,12,6.0,4.6,90.0,-59.0,-18.0,0.03567944613399529,1.0,1.0,0.004009820309358296,0.006635881424357673,-67.12801375829643,35.62124969740961,0.6610661066106611,48
ss2_normal,13,6.5,4.6,90.0,-9.0,-11.0,0.018426537991470374,1.0,1.0,0.004030659713314109,0.006806859373510609,-63.539187070429676,39.135741912767905,0.6578657865786579,48
ss2_normal,14,7.0,4.6,90.0,-30.0,9.0,0.012560701740833041,1.0,1.0,0.004039065325560932,0.006605954219196271,-57.29984987200548,30.956492909729338,0.666966696669667,48
ss2_normal,15,7.5,4.6,90.0,24.0,-7.0,0.03855657808335271,1.0,1.0,0.004062763428746146,0.007200967701862759,-45.16612231262199,73.29411302975534,0.6594659465946595,48
ss2_normal,16,8.0,4.6,90.0,-27.0,14.0,0.0006414679627385301,1.0,1.0,0.004061040152241994,0.006682257101629491,-39.06986938811671,40.43589503807624,0.6613661366136614,48
ss2_normal,17,8.5,4.6,90.0,-25.0,0.0,0.003958282850378951,1.0,1.0,0.004080348606202223,0.007364062222607728,-87.10255944435974,29.050165501337222,0.6576657665766577,48
ss2_normal,18,9.0,4.6,90.0,35.0,20.0,0.01001700831861555,1.0,1.0,0.004110402099485966,0.007276553432337518,-74.91890825012912,28.935026511076114,0.6595659565956595,48
