vertex_index,radar_x_mm,radar_y_mm,radar_z_mm
0,0.0,-4.665904303580178e-22,-7.619999998087223e-06
1,0.0,7.654029830598409e-15,124.99979318000001
2,84.9998173,7.654029364007976e-15,124.99978555999999
3,84.99983762,-9.331808607160356e-22,-1.5239999996174447e-05
4,84.99983762,7.654029364007976e-15,124.99978555999999
