antenna,board_x_mm,board_y_mm,board_z_mm,radar_x_mm,radar_y_mm,radar_z_mm,coordinate_status
RX1,54.610577779444434,83.56262977277778,0.0,54.610577779444434,5.116735353978381e-15,83.56262977277778,board_relative_transformed_pose_candidate
RX2,56.51057905944444,83.56262977277778,0.0,56.51057905944444,5.116735353978381e-15,83.56262977277778,board_relative_transformed_pose_candidate
RX3,58.41057779944444,83.56262977277778,0.0,58.41057779944444,5.116735353978381e-15,83.56262977277778,board_relative_transformed_pose_candidate
RX4,60.31057907944445,83.56262977277778,0.0,60.31057907944445,5.116735353978381e-15,83.56262977277778,board_relative_transformed_pose_candidate
TX1,67.09020872000002,83.68895251000002,0.0,67.09020872000002,5.124470390768319e-15,83.68895251000002,board_relative_transformed_pose_candidate
TX2,71.00820952000001,86.82395258999999,0.0,71.00820952000001,5.316433781433252e-15,86.82395258999999,board_relative_transformed_pose_candidate
TX3,74.92720854,83.68895251000002,0.0,74.92720854,5.124470390768319e-15,83.68895251000002,board_relative_transformed_pose_candidate
TX4,82.76420836000001,83.68895251000002,0.0,82.76420836000001,5.124470390768319e-15,83.68895251000002,board_relative_transformed_pose_candidate
