path,suffix,size_bytes,provenance,attrs
D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_44_sea_cfar_point_cloud\ss2_normal_range_doppler_point_cloud.h5,.h5,7072,synthetic_or_replay,"{""aoa_status"": ""sparse_grid_synthetic_not_hardware_validated"", ""cfar_alpha"": ""7.125225830266771"", ""channel_order_verified"": ""False"", ""input_h5"": ""D:\\hp-laptop\\USV\\awr2944_sea_clutter_v02\\simulation\\hardware\\awr2944pev\\v04_43_sea_range_doppler\\ss2_normal_range_doppler.h5"", ""pfa"": ""0.001"", ""schema_version"": ""awr2944p-synthetic-sea-cfar-point-cloud-v0.4.44""}"
D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_44_sea_cfar_point_cloud\ss3_nominal_range_doppler_point_cloud.h5,.h5,13544,synthetic_or_replay,"{""aoa_status"": ""sparse_grid_synthetic_not_hardware_validated"", ""cfar_alpha"": ""7.125225830266771"", ""channel_order_verified"": ""False"", ""input_h5"": ""D:\\hp-laptop\\USV\\awr2944_sea_clutter_v02\\simulation\\hardware\\awr2944pev\\v04_43_sea_range_doppler\\ss3_nominal_range_doppler.h5"", ""pfa"": ""0.001"", ""schema_version"": ""awr2944p-synthetic-sea-cfar-point-cloud-v0.4.44""}"
D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_44_sea_cfar_point_cloud\ss3_upper_range_doppler_point_cloud.h5,.h5,13544,synthetic_or_replay,"{""aoa_status"": ""sparse_grid_synthetic_not_hardware_validated"", ""cfar_alpha"": ""7.125225830266771"", ""channel_order_verified"": ""False"", ""input_h5"": ""D:\\hp-laptop\\USV\\awr2944_sea_clutter_v02\\simulation\\hardware\\awr2944pev\\v04_43_sea_range_doppler\\ss3_upper_range_doppler.h5"", ""pfa"": ""0.001"", ""schema_version"": ""awr2944p-synthetic-sea-cfar-point-cloud-v0.4.44""}"
D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_50_dca_reference_calibration\synthetic_reference.bin,.bin,131072,synthetic_or_replay,{}
D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_50_dca_reference_calibration\synthetic_reference.h5,.h5,122935,synthetic_or_replay,"{""channel_order_verified"": ""False"", ""schema_version"": ""awr2944p-dca-reference-calibration-v0.4.50"", ""source_file"": ""D:\\hp-laptop\\USV\\awr2944_sea_clutter_v02\\simulation\\hardware\\awr2944pev\\v04_50_dca_reference_calibration\\synthetic_reference.bin""}"
D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_51_cfg_linked_capture\cfg_linked_result.h5,.h5,349056,synthetic_or_replay,"{""channel_order_verified"": ""False"", ""schema_version"": ""awr2944p-dca-reference-calibration-v0.4.50"", ""source_file"": ""D:\\hp-laptop\\USV\\awr2944_sea_clutter_v02\\simulation\\hardware\\awr2944pev\\v04_51_cfg_linked_capture\\cfg_synthetic_capture.bin""}"
D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_51_cfg_linked_capture\cfg_synthetic_capture.bin,.bin,671744,synthetic_or_replay,{}
D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_51_cfg_linked_capture\cfg_synthetic_capture.h5,.h5,542195,synthetic_or_replay,"{""channel_order_verified"": ""False"", ""schema_version"": ""awr2944p-dca-reference-calibration-v0.4.50"", ""source_file"": ""D:\\hp-laptop\\USV\\awr2944_sea_clutter_v02\\simulation\\hardware\\awr2944pev\\v04_51_cfg_linked_capture\\cfg_synthetic_capture.bin""}"
D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_54_multiscene_aoa_validation\scene_az005_el002_r020.h5,.h5,82132,synthetic_or_replay,"{""calibration_status"": ""synthetic_unity_not_measured"", ""channel_order_verified"": ""True"", ""geometry_source"": ""simulation.v04.virtual_array_positions"", ""schema_version"": ""awr2944p-known-angle-fixture-v0.4.33"", ""source_type"": ""synthetic_known_angle_regression_only"", ""truth_azimuth_deg"": ""5.0"", ""truth_elevation_deg"": ""2.0"", ""truth_range_m"": ""20.0"", ""truth_velocity_mps"": ""0.0"", ""tx_sequence"": ""TX1,TX2,TX3,TX4""}"
D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_54_multiscene_aoa_validation\scene_az015_el008_r030.h5,.h5,82072,synthetic_or_replay,"{""calibration_status"": ""synthetic_unity_not_measured"", ""channel_order_verified"": ""True"", ""geometry_source"": ""simulation.v04.virtual_array_positions"", ""schema_version"": ""awr2944p-known-angle-fixture-v0.4.33"", ""source_type"": ""synthetic_known_angle_regression_only"", ""truth_azimuth_deg"": ""15.0"", ""truth_elevation_deg"": ""8.0"", ""truth_range_m"": ""30.0"", ""truth_velocity_mps"": ""0.0"", ""tx_sequence"": ""TX1,TX2,TX3,TX4""}"
D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_54_multiscene_aoa_validation\scene_az030_el005_r040.h5,.h5,82176,synthetic_or_replay,"{""calibration_status"": ""synthetic_unity_not_measured"", ""channel_order_verified"": ""True"", ""geometry_source"": ""simulation.v04.virtual_array_positions"", ""schema_version"": ""awr2944p-known-angle-fixture-v0.4.33"", ""source_type"": ""synthetic_known_angle_regression_only"", ""truth_azimuth_deg"": ""30.0"", ""truth_elevation_deg"": ""5.0"", ""truth_range_m"": ""40.0"", ""truth_velocity_mps"": ""0.0"", ""tx_sequence"": ""TX1,TX2,TX3,TX4""}"
D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_80_end_to_end_replay\end_to_end_replay.h5,.h5,38526,synthetic_or_replay,"{""capture_timestamp"": ""synthetic"", ""cfg_snapshot"": ""D:\\hp-laptop\\USV\\awr2944_sea_clutter_v02\\simulation\\hardware\\awr2944pev\\antgeometry_mapping.csv"", ""channel_order_verified"": ""False"", ""imu_or_platform_pose_reference"": ""synthetic_level_pose"", ""raw_dtype"": ""little_endian_int16"", ""schema_version"": ""awr2944p-raw-iq-contract-v0.4.79"", ""tdm_tx_sequence"": ""0,1,2,3"", ""ti_calibration_status"": ""synthetic_unity_not_measured"", ""wire_order_assumption"": ""sample -> rx -> I,Q""}"
D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_81_batch_replay\end_to_end_replay\replay.h5,.h5,38526,synthetic_or_replay,"{""capture_timestamp"": ""synthetic"", ""cfg_snapshot"": ""D:\\hp-laptop\\USV\\awr2944_sea_clutter_v02\\simulation\\hardware\\awr2944pev\\antgeometry_mapping.csv"", ""channel_order_verified"": ""False"", ""imu_or_platform_pose_reference"": ""synthetic_level_pose"", ""raw_dtype"": ""little_endian_int16"", ""schema_version"": ""awr2944p-raw-iq-contract-v0.4.79"", ""tdm_tx_sequence"": ""0,1,2,3"", ""ti_calibration_status"": ""synthetic_unity_not_measured"", ""wire_order_assumption"": ""sample -> rx -> I,Q""}"
D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_82_complex_bin_aoa\complex_bin_aoa.h5,.h5,38919,synthetic_or_replay,"{""channel_order_verified"": ""False"", ""input_h5"": ""D:\\hp-laptop\\USV\\awr2944_sea_clutter_v02\\simulation\\hardware\\awr2944pev\\v04_81_batch_replay\\end_to_end_replay\\replay.h5"", ""schema_version"": ""awr2944p-complex-rd-bin-aoa-v0.4.82""}"
