case_id,frame,azimuth_difference_deg,elevation_difference_deg,ideal_score,provisional_score
ss0_flat,32,-4.0,0.0,0.4241575537938633,0.473567963014238
ss0_flat,33,120.0,-3.0,0.5480992353893201,0.28678919317894697
ss0_flat,34,16.0,-6.0,0.6325554506382574,0.6711674845417466
ss0_flat,35,64.0,-6.0,0.4183673050815042,0.3414170639846858
ss0_flat,36,-44.0,6.0,0.5079767978918888,0.24958149737049168
ss0_flat,37,-71.0,-1.0,0.4772487546528895,0.26371578965344433
ss0_flat,38,8.0,-5.0,0.7043676462349902,0.8978611264802483
ss0_flat,39,18.0,-1.0,0.453109338535086,0.40029044442456413
ss0_flat,40,0.0,-1.0,0.6410126606943354,0.5004839703749174
ss1_rippled,0,13.0,1.0,0.4812353689934512,0.26820861330095175
ss1_rippled,1,20.0,-7.0,0.60302203449475,0.39403144348091756
ss1_rippled,2,0.0,-2.0,0.4280903431385023,0.2439145486934597
ss1_rippled,3,12.0,-4.0,0.4998240843992587,0.39132133640229927
ss1_rippled,4,13.0,-6.0,0.6801302857986339,0.6301669425550581
ss1_rippled,5,0.0,0.0,0.6677111756400431,0.22534649498779652
ss1_rippled,6,1.0,-6.0,0.44203477288844034,0.5853502211118614
ss1_rippled,7,12.0,-9.0,0.7853520330199155,0.833440142271746
ss1_rippled,8,13.0,1.0,0.6815867483348252,0.40698693569960526
ss1_rippled,9,79.0,-6.0,0.38961653126232004,0.25006760873085127
ss1_rippled,10,10.0,-7.0,0.5659063333369676,0.8659029495557236
ss1_rippled,11,120.0,-1.0,0.5216386468311417,0.22182543758719245
ss1_rippled,12,0.0,-2.0,0.5586013344659627,0.28389022261600094
ss1_rippled,13,3.0,0.0,0.5318870722670088,0.49983106090280255
ss1_rippled,14,-9.0,2.0,0.4686883440214245,0.4605507538074071
ss1_rippled,15,-29.0,1.0,0.5149931307385641,0.316976853697646
ss1_rippled,16,-30.0,1.0,0.44094167642803916,0.520136506135199
ss1_rippled,17,-110.0,2.0,0.39050817354309897,0.38836701502247034
ss1_rippled,18,-2.0,-2.0,0.6063127230459862,0.366875272295824
ss1_rippled,19,6.0,2.0,0.5076526074551416,0.2993752623888952
ss1_rippled,20,86.0,-2.0,0.36975125415762966,0.4114590885903387
ss1_rippled,21,31.0,2.0,0.3925389694012866,0.226626083031006
ss1_rippled,22,0.0,0.0,0.6160891475776008,0.39224920933998675
ss1_rippled,23,6.0,2.0,0.43074834612689694,0.3418499714259237
ss1_rippled,24,6.0,-4.0,0.6964118986499857,0.8906815672570514
ss1_rippled,25,2.0,-1.0,0.4470046300564612,0.40738412164676363
ss1_rippled,26,-50.0,-1.0,0.3988818723680455,0.24801623840597983
ss1_rippled,27,91.0,-1.0,0.611687288180274,0.21584784999688447
ss1_rippled,28,11.0,0.0,0.4496411894263951,0.7062553333839479
ss1_rippled,29,0.0,-3.0,0.584860057683187,0.49905335767119224
ss1_rippled,30,-25.0,-6.0,0.3724198217752058,0.4521905947023927
ss1_rippled,31,-19.0,-5.0,0.45194301187980945,0.24219446790361074
ss1_rippled,32,-4.0,-1.0,0.4246208874744754,0.4699901805045505
ss1_rippled,33,120.0,-3.0,0.5478774239761607,0.28594192936228957
ss1_rippled,34,16.0,-6.0,0.6353144636430351,0.6661332929246585
ss1_rippled,35,64.0,-6.0,0.4179772688581949,0.3345680305812257
ss1_rippled,36,-44.0,6.0,0.5078108938202639,0.25191148412652614
ss1_rippled,37,-71.0,-1.0,0.47773496678489347,0.25837043266507204
ss1_rippled,38,8.0,-5.0,0.6952657145866197,0.9042703536273465
ss1_rippled,39,18.0,-1.0,0.45075847854097867,0.4048418414887166
ss1_rippled,40,0.0,-1.0,0.6422194099370688,0.49865707500996426
ss2_normal,0,14.0,2.0,0.48203737412767794,0.2806289437392453
ss2_normal,1,20.0,-6.0,0.6072360168471926,0.4827099483253078
ss2_normal,2,-91.0,-5.0,0.43012325512686417,0.25201330921841036
ss2_normal,3,12.0,-6.0,0.5006922357512793,0.38410562520634023
ss2_normal,4,13.0,-5.0,0.6733294598902512,0.6134163075220355
ss2_normal,5,0.0,0.0,0.6691439250923317,0.22774002430775342
ss2_normal,6,1.0,-6.0,0.4429866364375361,0.5953489651176296
ss2_normal,7,12.0,-9.0,0.7734743048081668,0.8385218482030807
ss2_normal,8,13.0,1.0,0.681739544264737,0.3696616009535506
ss2_normal,9,79.0,-6.0,0.3853365084362143,0.24446186835962241
ss2_normal,10,10.0,-7.0,0.5867831213592565,0.840432267868748
ss2_normal,11,120.0,-1.0,0.5210054166462195,0.2223548254940518
ss2_normal,12,0.0,-1.0,0.5558489604816104,0.2752000048527296
ss2_normal,13,3.0,0.0,0.5358746406773204,0.4916996319266738
ss2_normal,14,-8.0,2.0,0.47170905533514973,0.4076686450597597
ss2_normal,15,-29.0,-1.0,0.5160184487255537,0.3276973377527473
ss2_normal,16,-30.0,0.0,0.44199516973701936,0.5645660137709828
ss2_normal,17,-111.0,-1.0,0.397651112494822,0.4531623598775459
ss2_normal,18,-1.0,-2.0,0.607422853517784,0.3860354138989787
ss2_normal,19,6.0,2.0,0.5106086466002304,0.3165761995264798
ss2_normal,20,86.0,0.0,0.36879133809187437,0.4443983282468625
ss2_normal,21,31.0,1.0,0.39342071930277794,0.2562662065777526
ss2_normal,22,0.0,0.0,0.6185800984930285,0.3962737724241227
ss2_normal,23,6.0,2.0,0.4272990445174762,0.3689853746435444
ss2_normal,24,5.0,-4.0,0.691141287900865,0.8859737449929429
ss2_normal,25,2.0,0.0,0.44648694430514996,0.43378906344235485
ss2_normal,26,-50.0,-1.0,0.39904612963974656,0.31942622650707464
ss2_normal,27,11.0,-9.0,0.6129989355004737,0.29297007250670165
ss2_normal,28,12.0,3.0,0.4389763367814476,0.7159680192052231
ss2_normal,29,0.0,-4.0,0.5786857050339319,0.5190670854242392
ss2_normal,30,12.0,-3.0,0.37793021047689795,0.43690643487806907
ss2_normal,31,-19.0,-4.0,0.4520972936704461,0.23765731279483304
ss2_normal,32,-2.0,1.0,0.4271909364282955,0.47249359804666496
ss2_normal,33,120.0,-3.0,0.5458876055890742,0.2680669250840923
ss2_normal,34,16.0,-6.0,0.6464268931061602,0.649131647405937
ss2_normal,35,0.0,3.0,0.4157547493816187,0.30751182790471726
ss2_normal,36,-44.0,6.0,0.508989264278475,0.2809872619831903
ss2_normal,37,0.0,-2.0,0.48050304603444116,0.24647454254869058
ss2_normal,38,9.0,-2.0,0.6556235705544905,0.9096322018592076
ss2_normal,39,18.0,-2.0,0.4437416731476228,0.42147541260442
ss2_normal,40,0.0,-2.0,0.6439749483174592,0.49488638207919294
ss3_nominal,0,13.0,2.0,0.48251482833971826,0.2883490907203266
ss3_nominal,1,20.0,-4.0,0.6151063699541715,0.5997522510928219
ss3_nominal,2,0.0,-2.0,0.434011287116756,0.2726324892958429
ss3_nominal,3,12.0,-9.0,0.497914632953411,0.2941420750384372
ss3_nominal,4,9.0,-7.0,0.6143731685955566,0.6554159106597346
ss3_nominal,5,0.0,0.0,0.6756510328632949,0.2461634701101777
ss3_nominal,6,1.0,-6.0,0.4470956511545437,0.6220446840854496
ss3_nominal,7,12.0,-5.0,0.6688463427858528,0.853176474789674
ss3_nominal,8,14.0,2.0,0.6801554229130531,0.327699128647027
ss3_nominal,9,0.0,0.0,0.3788771564167067,0.2854324292935991
ss3_nominal,10,8.0,-4.0,0.6008872452381617,0.8263484454699559
ss3_nominal,11,120.0,-1.0,0.5238895136160336,0.23401296834916882
ss3_nominal,12,0.0,-1.0,0.5533373936726173,0.2545007837231814
ss3_nominal,13,2.0,0.0,0.5406825545564783,0.5712799101553427
ss3_nominal,14,-78.0,-5.0,0.47909975905192387,0.39104893781162686
ss3_nominal,15,-29.0,1.0,0.52273637460138,0.3444991919078457
ss3_nominal,16,-30.0,0.0,0.43797824801897733,0.6192805701959442
ss3_nominal,17,-111.0,-5.0,0.4115531127137446,0.5049825728443283
ss3_nominal,18,0.0,-2.0,0.6118704163602057,0.3646849087787221
ss3_nominal,19,5.0,2.0,0.5110941863907179,0.3020516352384823
ss3_nominal,20,86.0,1.0,0.36837650382261455,0.4714680864070174
ss3_nominal,21,31.0,-2.0,0.39626776313846995,0.3037676372843907
ss3_nominal,22,0.0,0.0,0.6211940446935994,0.3715260238717004
ss3_nominal,23,5.0,2.0,0.41423082420347734,0.3636782974365032
ss3_nominal,24,5.0,-5.0,0.7017357848935083,0.9019683170273738
ss3_nominal,25,43.0,-10.0,0.4472456346599813,0.39739354609810784
ss3_nominal,26,-50.0,-2.0,0.40059494927827033,0.4362837068682997
ss3_nominal,27,11.0,-3.0,0.6146345080934532,0.5765068910519175
ss3_nominal,28,11.0,0.0,0.4221867914933498,0.6944822827163515
ss3_nominal,29,0.0,-6.0,0.5684867067225975,0.47360839991180775
ss3_nominal,30,11.0,0.0,0.3963808517422683,0.49136252818068743
ss3_nominal,31,-20.0,-6.0,0.4557152048304802,0.20711205660553947
ss3_nominal,32,-2.0,0.0,0.43095067284621524,0.5017081744088309
ss3_nominal,33,120.0,-2.0,0.5386854881498769,0.20075704573834238
ss3_nominal,34,13.0,-8.0,0.6465992314330096,0.7259878906449689
ss3_nominal,35,0.0,3.0,0.41260180938155777,0.39709353386938057
ss3_nominal,36,11.0,-6.0,0.5130245646374768,0.47413701490087107
ss3_nominal,37,-93.0,12.0,0.484200511641599,0.2614294267029333
ss3_nominal,38,8.0,0.0,0.59825716418665,0.8721348883565171
ss3_nominal,39,17.0,-3.0,0.4350118842308222,0.4083056538838081
ss3_nominal,40,0.0,0.0,0.6472080978393505,0.4956970220416437
ss3_upper,0,13.0,2.0,0.48291587787887447,0.2897447243145315
ss3_upper,1,20.0,-4.0,0.6172926545036445,0.6281787369015894
ss3_upper,2,0.0,-2.0,0.43517175289414983,0.27073195065732353
ss3_upper,3,12.0,-10.0,0.4975824914713037,0.2752050721313871
ss3_upper,4,10.0,-3.0,0.5955713637149058,0.701260579971935
ss3_upper,5,0.0,0.0,0.6769445355539362,0.2563907586932407
ss3_upper,6,1.0,-6.0,0.44804330288780564,0.6272651035275033
ss3_upper,7,12.0,-4.0,0.6431535343054964,0.8439044989618447
ss3_upper,8,15.0,3.0,0.6797471247682842,0.3184218647581326
ss3_upper,9,0.0,0.0,0.37961472011824254,0.299251074904427
ss3_upper,10,7.0,-4.0,0.5924725725445475,0.8031653889857807
ss3_upper,11,120.0,-1.0,0.5245070005493253,0.23518327168788367
ss3_upper,12,0.0,-2.0,0.5523781395893345,0.2509767988952528
ss3_upper,13,2.0,0.0,0.5422208533428968,0.5841884649517184
ss3_upper,14,-78.0,-5.0,0.48086686809601603,0.42348338942667446
ss3_upper,15,-29.0,2.0,0.5237770171147367,0.33748618679556863
ss3_upper,16,-30.0,0.0,0.437680037988237,0.6224222622833685
ss3_upper,17,-111.0,-6.0,0.41569316402407996,0.4804751810996877
ss3_upper,18,0.0,-2.0,0.612768862243102,0.3642144170719787
ss3_upper,19,5.0,2.0,0.5117119515843163,0.302185329237888
ss3_upper,20,86.0,2.0,0.3681885795719559,0.4792601431127675
ss3_upper,21,31.0,-2.0,0.3966558888003334,0.3189205527727122
ss3_upper,22,0.0,0.0,0.6221130802610961,0.36492407835071805
ss3_upper,23,4.0,2.0,0.4112511984866118,0.34791400928644145
ss3_upper,24,6.0,-3.0,0.702644488376568,0.9033336171368833
ss3_upper,25,42.0,-8.0,0.4473311647352619,0.42019594760576995
ss3_upper,26,-50.0,-2.0,0.400877493845148,0.4598658984362218
ss3_upper,27,11.0,-2.0,0.6146322830585059,0.617730139321219
ss3_upper,28,11.0,0.0,0.4129657836846657,0.6844192613407984
ss3_upper,29,0.0,-6.0,0.565042439597774,0.4426142106439111
ss3_upper,30,11.0,0.0,0.40123655310388606,0.5145859864536944
ss3_upper,31,-20.0,-7.0,0.4563817186583802,0.20121841758956588
ss3_upper,32,-2.0,0.0,0.43216704070716483,0.5052382071980642
ss3_upper,33,120.0,-1.0,0.5368549263650026,0.18878334542483544
ss3_upper,34,14.0,-5.0,0.6406493302591623,0.7694130892833481
ss3_upper,35,0.0,3.0,0.4115636583572789,0.42145635639757884
ss3_upper,36,10.0,-7.0,0.513910035477075,0.487521447922954
ss3_upper,37,-71.0,-2.0,0.4855662009099813,0.2730934988053326
ss3_upper,38,8.0,0.0,0.5720713761254,0.8711066117752478
ss3_upper,39,17.0,-2.0,0.4319154791190091,0.40865650495948075
ss3_upper,40,0.0,0.0,0.6465923207482002,0.5116255179541578
