phase_center_perturbation_mm,azimuth_rmse_deg,elevation_rmse_deg,combined_rmse_deg,max_abs_error_deg
0.0,32.487360179438575,9.797958971132712,23.99404688072201,58.0
0.25,32.294773276064056,10.05698051817031,23.91751699168664,58.0
0.5,32.15142742887609,10.23532631438318,23.858711097586458,57.0
1.0,31.741515551778708,10.23532631438318,23.582681296724026,56.0
