case_id,frames,candidate_facets,three_db_facets,six_db_facets,mean_three_db_scatter_proxy,mean_six_db_scatter_proxy,three_db_doppler_min_hz,three_db_doppler_max_hz,rms_three_db_radial_velocity_mps
ss0_flat,41,1968,0,205,0.0,6.885978617514823e-05,,,
ss1_rippled,41,1968,0,207,0.0,7.02038618624426e-05,,,
ss2_normal,41,1968,53,242,1.8607865902403863e-05,0.00010423594417840978,-34.36447470415653,36.310012112098356,0.033301058342641826
ss3_nominal,41,1968,141,287,7.609939752481536e-05,0.00018345954116537585,-70.71705346796438,74.3392033078437,0.05873817636870695
ss3_upper,41,1968,159,293,9.610500850989918e-05,0.00021479804268910798,-86.84905879161609,85.71472244729465,0.06775398045984175
