roll_offset_deg,pitch_offset_deg,yaw_offset_deg,antenna,displacement_from_nominal_mm
0.0,0.0,0.0,RX4,0.0
0.0,0.0,0.0,TX1,0.0
0.0,0.0,0.0,TX2,0.0
0.0,0.0,0.0,TX3,0.0
0.0,0.0,0.0,TX4,0.0
0.0,0.0,5.0,RX1,4.764159892812795
0.0,0.0,5.0,RX2,4.929913676466703
0.0,0.0,5.0,RX3,5.095667238534124
0.0,0.0,5.0,RX4,5.261421022188033
0.0,0.0,5.0,TX1,5.852867605157848
0.0,0.0,5.0,TX2,6.194669194343639
0.0,0.0,5.0,TX3,6.536557867019142
0.0,0.0,5.0,TX4,7.220248128880439
0.0,2.0,-5.0,RX1,6.0030253536064
0.0,2.0,-5.0,RX2,6.159672377214842
0.0,2.0,-5.0,RX3,6.317477593826089
0.0,2.0,-5.0,RX4,6.4763567475884
0.0,2.0,-5.0,TX1,7.0529062494599515
0.0,2.0,-5.0,TX2,7.437442387810596
0.0,2.0,-5.0,TX3,7.729105173816779
0.0,2.0,-5.0,TX4,8.415378802544874
0.0,2.0,0.0,RX1,3.484372538714589
0.0,2.0,0.0,RX2,3.5210909937094224
0.0,2.0,0.0,RX3,3.558666560889979
0.0,2.0,0.0,RX4,3.5970724786502353
0.0,2.0,0.0,TX1,3.743927534896513
0.0,2.0,0.0,TX2,3.9150325710138394
0.0,2.0,0.0,TX3,3.9208418529036133
0.0,2.0,0.0,TX4,4.1083654180918145
0.0,2.0,5.0,RX1,6.0030253536064
0.0,2.0,5.0,RX2,6.159672377214841
0.0,2.0,5.0,RX3,6.317477593826088
0.0,2.0,5.0,RX4,6.4763567475884
0.0,2.0,5.0,TX1,7.052906249459945
0.0,2.0,5.0,TX2,7.437442387810596
0.0,2.0,5.0,TX3,7.729105173816778
0.0,2.0,5.0,TX4,8.415378802544874
2.0,-2.0,-5.0,RX1,8.34757390309941
2.0,-2.0,-5.0,RX2,8.512463127667743
2.0,-2.0,-5.0,RX3,8.67788999226976
2.0,-2.0,-5.0,RX4,8.843824756579538
2.0,-2.0,-5.0,TX1,9.444966198332185
2.0,-2.0,-5.0,TX2,9.922877791236138
2.0,-2.0,-5.0,TX3,10.139856473145661
2.0,-2.0,-5.0,TX4,10.840200435531655
2.0,-2.0,0.0,RX1,4.522056552804937
2.0,-2.0,0.0,RX2,4.549667510462672
2.0,-2.0,0.0,RX3,4.5780726907684155
2.0,-2.0,0.0,RX4,4.607257479085175
2.0,-2.0,0.0,TX1,4.722939851289806
2.0,-2.0,0.0,TX2,4.92383184533391
2.0,-2.0,0.0,TX3,4.861510146533265
2.0,-2.0,0.0,TX4,5.011193380319523
2.0,-2.0,5.0,RX1,3.762994362909284
2.0,-2.0,5.0,RX2,3.8740751723297153
2.0,-2.0,5.0,RX3,3.9900502095408594
2.0,-2.0,5.0,RX4,4.110505530368298
2.0,-2.0,5.0,TX1,4.571053610354807
2.0,-2.0,5.0,TX2,4.842808408382855
