roll_offset_deg,pitch_offset_deg,yaw_offset_deg,roll_deg,pitch_deg,yaw_deg,normal_x,normal_y,normal_z,normal_to_vertical_abs_angle_deg,max_region_displacement_mm,mean_region_displacement_mm
-2.0,-2.0,-5.0,88.0,-2.0,-5.0,-0.08831598993203618,-0.9954816896934975,0.03487823687206276,88.00121884058967,5.76519286177855,4.508353383662673
-2.0,-2.0,0.0,88.0,-2.0,0.0,-0.00121797487008788,-0.9993908270190958,0.03487823687206276,88.00121884058967,5.011193380319523,4.7220661820747125
-2.0,-2.0,5.0,88.0,-2.0,5.0,0.08588930971605513,-0.9956939967023986,0.03487823687206276,88.00121884058967,10.840200435531655,9.341206584732761
-2.0,0.0,-5.0,88.0,0.0,-5.0,-0.08710264982404566,-0.995587843197948,0.03489949670250108,88.0,4.304513420827947,2.806204424291396
-2.0,0.0,0.0,88.0,0.0,0.0,0.0,-0.9993908270190958,0.03489949670250108,88.0,3.0305738181842328,2.9326209151720772
-2.0,0.0,5.0,88.0,0.0,5.0,0.08710264982404566,-0.995587843197948,0.03489949670250108,88.0,10.139099197615444,8.662426007832016
-2.0,2.0,-5.0,88.0,2.0,-5.0,-0.08588930971605513,-0.9956939967023986,0.03487823687206276,88.00121884058967,6.124021930357873,4.870812371999292
-2.0,2.0,0.0,88.0,2.0,0.0,0.00121797487008788,-0.9993908270190958,0.03487823687206276,88.00121884058967,5.0696232302671795,4.771343445005808
-2.0,2.0,5.0,88.0,2.0,5.0,0.08831598993203618,-0.9954816896934975,0.03487823687206276,88.00121884058967,11.035222759532424,9.520673970238827
0.0,-2.0,-5.0,90.0,-2.0,-5.0,-0.08715574274765817,-0.9961946980917455,6.119503887030809e-17,90.0,8.19385035993493,6.735217330292725
0.0,-2.0,0.0,90.0,-2.0,0.0,-2.136977846428571e-18,-1.0,6.119503887030809e-17,90.0,4.108365418091813,3.7311712436087463
0.0,-2.0,5.0,90.0,-2.0,5.0,0.08715574274765817,-0.9961946980917455,6.119503887030809e-17,90.0,8.19385035993493,6.735217330292725
0.0,0.0,-5.0,90.0,0.0,-5.0,-0.08715574274765817,-0.9961946980917455,6.123233995736766e-17,90.0,7.22024812888044,5.731938078175341
0.0,0.0,0.0,90.0,0.0,0.0,0.0,-1.0,6.123233995736766e-17,90.0,0.0,0.0
0.0,0.0,5.0,90.0,0.0,5.0,0.08715574274765817,-0.9961946980917455,6.123233995736766e-17,90.0,7.220248128880439,5.73193807817534
0.0,2.0,-5.0,90.0,2.0,-5.0,-0.08715574274765817,-0.9961946980917455,6.119503887030809e-17,90.0,8.415378802544874,6.948920585733491
0.0,2.0,0.0,90.0,2.0,0.0,2.136977846428571e-18,-1.0,6.119503887030809e-17,90.0,4.1083654180918145,3.7311712436087507
0.0,2.0,5.0,90.0,2.0,5.0,0.08715574274765817,-0.9961946980917455,6.119503887030809e-17,90.0,8.415378802544874,6.94892058573349
2.0,-2.0,-5.0,92.0,-2.0,-5.0,-0.08588930971605513,-0.9956939967023986,-0.03487823687206264,88.00121884058969,10.840200435531655,9.341206584732761
2.0,-2.0,0.0,92.0,-2.0,0.0,0.0012179748700878756,-0.9993908270190958,-0.03487823687206264,88.00121884058969,5.011193380319523,4.7220661820747125
2.0,-2.0,5.0,92.0,-2.0,5.0,0.08831598993203618,-0.9954816896934975,-0.03487823687206264,88.00121884058969,5.76519286177855,4.508353383662673
2.0,0.0,-5.0,92.0,0.0,-5.0,-0.08710264982404566,-0.995587843197948,-0.034899496702500955,88.00000000000001,10.139099197615446,8.662426007832016
2.0,0.0,0.0,92.0,0.0,0.0,0.0,-0.9993908270190958,-0.034899496702500955,88.00000000000001,3.0305738181842328,2.9326209151720777
2.0,0.0,5.0,92.0,0.0,5.0,0.08710264982404566,-0.995587843197948,-0.034899496702500955,88.00000000000001,4.304513420827946,2.8062044242913955
2.0,2.0,-5.0,92.0,2.0,-5.0,-0.08831598993203618,-0.9954816896934975,-0.03487823687206264,88.00121884058969,11.035222759532424,9.520673970238827
2.0,2.0,0.0,92.0,2.0,0.0,-0.0012179748700878756,-0.9993908270190958,-0.03487823687206264,88.00121884058969,5.0696232302671795,4.771343445005808
2.0,2.0,5.0,92.0,2.0,5.0,0.08588930971605513,-0.9956939967023986,-0.03487823687206264,88.00121884058969,6.124021930357867,4.870812371999291
