case_id,scenario_id,detector,frame,doppler_index,range_index,range_m,velocity_mps,azimuth_deg,elevation_deg,power_linear,noise_linear,threshold_linear,x_m,y_m,z_m
ss0_flat,pfa1e2_train2,ca_threshold_only,40,32,3,5.26978930078125,0.0,15.96364997258215,-35.01566404926171,94626.3359375,15129.669921875,73843.95751864376,1.1869998146699619,4.149494171806628,-3.0238070098379017
ss0_flat,pfa1e2_train2,ca_threshold_only,39,32,3,5.26978930078125,0.0,15.96364997258215,-35.01566404926171,94626.3359375,15129.669921875,73843.95751864376,1.1869998146699619,4.149494171806628,-3.0238070098379017
ss0_flat,pfa1e2_train2,ca_threshold_only,38,32,3,5.26978930078125,0.0,15.96364997258215,-35.01566404926171,94626.3359375,15129.669921875,73843.95751864376,1.1869998146699619,4.149494171806628,-3.0238070098379017
ss0_flat,pfa1e2_train2,ca_threshold_only,37,32,3,5.26978930078125,0.0,15.96364997258215,-35.01566404926171,94626.3359375,15129.669921875,73843.95751864376,1.1869998146699619,4.149494171806628,-3.0238070098379017
ss0_flat,pfa1e2_train2,ca_threshold_only,36,32,3,5.26978930078125,0.0,15.96364997258215,-35.01566404926171,94626.3359375,15129.669921875,73843.95751864376,1.1869998146699619,4.149494171806628,-3.0238070098379017
ss0_flat,pfa1e2_train2,ca_threshold_only,35,32,3,5.26978930078125,0.0,15.96364997258215,-35.01566404926171,94626.3359375,15129.669921875,73843.95751864376,1.1869998146699619,4.149494171806628,-3.0238070098379017
ss0_flat,pfa1e2_train2,ca_threshold_only,34,32,3,5.26978930078125,0.0,15.96364997258215,-35.01566404926171,94626.3359375,15129.669921875,73843.95751864376,1.1869998146699619,4.149494171806628,-3.0238070098379017
ss0_flat,pfa1e2_train2,ca_threshold_only,33,32,3,5.26978930078125,0.0,15.96364997258215,-35.01566404926171,94626.3359375,15129.669921875,73843.95751864376,1.1869998146699619,4.149494171806628,-3.0238070098379017
ss0_flat,pfa1e2_train2,ca_threshold_only,32,32,3,5.26978930078125,0.0,15.96364997258215,-35.01566404926171,94626.3359375,15129.669921875,73843.95751864376,1.1869998146699619,4.149494171806628,-3.0238070098379017
ss0_flat,pfa1e2_train2,ca_threshold_only,31,32,3,5.26978930078125,0.0,15.96364997258215,-35.01566404926171,94626.3359375,15129.669921875,73843.95751864376,1.1869998146699619,4.149494171806628,-3.0238070098379017
ss0_flat,pfa1e2_train2,ca_threshold_only,30,32,3,5.26978930078125,0.0,15.96364997258215,-35.01566404926171,94626.3359375,15129.669921875,73843.95751864376,1.1869998146699619,4.149494171806628,-3.0238070098379017
ss0_flat,pfa1e2_train2,ca_threshold_only,29,32,3,5.26978930078125,0.0,15.96364997258215,-35.01566404926171,94626.3359375,15129.669921875,73843.95751864376,1.1869998146699619,4.149494171806628,-3.0238070098379017
ss0_flat,pfa1e2_train2,ca_threshold_only,28,32,3,5.26978930078125,0.0,15.96364997258215,-35.01566404926171,94626.3359375,15129.669921875,73843.95751864376,1.1869998146699619,4.149494171806628,-3.0238070098379017
ss0_flat,pfa1e2_train2,ca_threshold_only,27,32,3,5.26978930078125,0.0,15.96364997258215,-35.01566404926171,94626.3359375,15129.669921875,73843.95751864376,1.1869998146699619,4.149494171806628,-3.0238070098379017
ss0_flat,pfa1e2_train2,ca_threshold_only,26,32,3,5.26978930078125,0.0,15.96364997258215,-35.01566404926171,94626.3359375,15129.669921875,73843.95751864376,1.1869998146699619,4.149494171806628,-3.0238070098379017
ss0_flat,pfa1e2_train2,ca_threshold_only,25,32,3,5.26978930078125,0.0,15.96364997258215,-35.01566404926171,94626.3359375,15129.669921875,73843.95751864376,1.1869998146699619,4.149494171806628,-3.0238070098379017
ss0_flat,pfa1e2_train2,ca_threshold_only,24,32,3,5.26978930078125,0.0,15.96364997258215,-35.01566404926171,94626.3359375,15129.669921875,73843.95751864376,1.1869998146699619,4.149494171806628,-3.0238070098379017
ss0_flat,pfa1e2_train2,ca_threshold_only,23,32,3,5.26978930078125,0.0,15.96364997258215,-35.01566404926171,94626.3359375,15129.669921875,73843.95751864376,1.1869998146699619,4.149494171806628,-3.0238070098379017
ss0_flat,pfa1e2_train2,ca_threshold_only,22,32,3,5.26978930078125,0.0,15.96364997258215,-35.01566404926171,94626.3359375,15129.669921875,73843.95751864376,1.1869998146699619,4.149494171806628,-3.0238070098379017
ss0_flat,pfa1e2_train2,ca_threshold_only,21,32,3,5.26978930078125,0.0,15.96364997258215,-35.01566404926171,94626.3359375,15129.669921875,73843.95751864376,1.1869998146699619,4.149494171806628,-3.0238070098379017
ss0_flat,pfa1e2_train2,ca_threshold_only,20,32,3,5.26978930078125,0.0,15.96364997258215,-35.01566404926171,94626.3359375,15129.669921875,73843.95751864376,1.1869998146699619,4.149494171806628,-3.0238070098379017
ss0_flat,pfa1e2_train2,ca_threshold_only,19,32,3,5.26978930078125,0.0,15.96364997258215,-35.01566404926171,94626.3359375,15129.669921875,73843.95751864376,1.1869998146699619,4.149494171806628,-3.0238070098379017
ss0_flat,pfa1e2_train2,ca_threshold_only,18,32,3,5.26978930078125,0.0,15.96364997258215,-35.01566404926171,94626.3359375,15129.669921875,73843.95751864376,1.1869998146699619,4.149494171806628,-3.0238070098379017
ss0_flat,pfa1e2_train2,ca_threshold_only,17,32,3,5.26978930078125,0.0,15.96364997258215,-35.01566404926171,94626.3359375,15129.669921875,73843.95751864376,1.1869998146699619,4.149494171806628,-3.0238070098379017
ss0_flat,pfa1e2_train2,ca_threshold_only,16,32,3,5.26978930078125,0.0,15.96364997258215,-35.01566404926171,94626.3359375,15129.669921875,73843.95751864376,1.1869998146699619,4.149494171806628,-3.0238070098379017
ss0_flat,pfa1e2_train2,ca_threshold_only,15,32,3,5.26978930078125,0.0,15.96364997258215,-35.01566404926171,94626.3359375,15129.669921875,73843.95751864376,1.1869998146699619,4.149494171806628,-3.0238070098379017
ss0_flat,pfa1e2_train2,ca_threshold_only,14,32,3,5.26978930078125,0.0,15.96364997258215,-35.01566404926171,94626.3359375,15129.669921875,73843.95751864376,1.1869998146699619,4.149494171806628,-3.0238070098379017
ss0_flat,pfa1e2_train2,ca_threshold_only,13,32,3,5.26978930078125,0.0,15.96364997258215,-35.01566404926171,94626.3359375,15129.669921875,73843.95751864376,1.1869998146699619,4.149494171806628,-3.0238070098379017
ss0_flat,pfa1e2_train2,ca_threshold_only,12,32,3,5.26978930078125,0.0,15.96364997258215,-35.01566404926171,94626.3359375,15129.669921875,73843.95751864376,1.1869998146699619,4.149494171806628,-3.0238070098379017
ss0_flat,pfa1e2_train2,ca_threshold_only,11,32,3,5.26978930078125,0.0,15.96364997258215,-35.01566404926171,94626.3359375,15129.669921875,73843.95751864376,1.1869998146699619,4.149494171806628,-3.0238070098379017
ss0_flat,pfa1e2_train2,ca_threshold_only,10,32,3,5.26978930078125,0.0,15.96364997258215,-35.01566404926171,94626.3359375,15129.669921875,73843.95751864376,1.1869998146699619,4.149494171806628,-3.0238070098379017
ss0_flat,pfa1e2_train2,ca_threshold_only,9,32,3,5.26978930078125,0.0,15.96364997258215,-35.01566404926171,94626.3359375,15129.669921875,73843.95751864376,1.1869998146699619,4.149494171806628,-3.0238070098379017
ss0_flat,pfa1e2_train2,ca_threshold_only,8,32,3,5.26978930078125,0.0,15.96364997258215,-35.01566404926171,94626.3359375,15129.669921875,73843.95751864376,1.1869998146699619,4.149494171806628,-3.0238070098379017
ss0_flat,pfa1e2_train2,ca_threshold_only,7,32,3,5.26978930078125,0.0,15.96364997258215,-35.01566404926171,94626.3359375,15129.669921875,73843.95751864376,1.1869998146699619,4.149494171806628,-3.0238070098379017
