case,azimuth_rmse_deg,elevation_rmse_deg,azimuth_max_abs_error_deg,elevation_max_abs_error_deg
no_correction,39.01932975394601,20.778744030891822,63.69085618775387,42.51364663420502
direct_cfg_factor,39.01811664721721,20.781362411735504,63.97672385440425,42.62849252615265
inverse_cfg_factor,38.3208206295213,22.612536471379276,63.405770329010046,42.39894728706385
conjugate_inverse_cfg_factor,39.01811664721721,20.781362411735504,63.97672385440425,42.62849252615265
