ID,X,Y,ROTATION,PATTERN,SOURCEDESIGNATOR,SOURCEDESCRIPTION,SOURCEFOOTPRINTLIBRARY,SOURCELIBREFERENCE,rf_name_candidate,status
212,4163.6602mil,2301.0552mil, 2.70000000000000E+0002,0402L,C80,"CAP, CERM, 0.1 uF, 50 V, +/- 10%, X7R, AEC-Q200 Grade 1, 0402",Vault,CMP-0006325-2,False,inventory_only
213,4226.7199mil,3528.8803mil, 0.00000000000000E+0000,0402L,C81,"CAP, CERM, 0.1 uF, 10 V, +/- 10%, X7R, AEC-Q200 Grade 1, 0402",Vault,CMP-0006350-2,False,inventory_only
214,4817.7842mil,6422.8814mil, 0.00000000000000E+0000,0402L,C82,"CAP, CERM, 0.1 �F, 10 V,+/- 10%, X7R, 0402",Vault,CMP-0078241-1,False,inventory_only
215,4952.0681mil,6426.7529mil, 0.00000000000000E+0000,0402_065L,C85,"CAP, CERM, 2.2 uF, 10 V, +/- 10%, X7S, 0402",Vault,CMP-0006302-2,False,inventory_only
216,4542.8143mil,6224.9054mil, 1.80000000000000E+0002,0402L,C86,"CAP, CERM, 0.1 �F, 10 V,+/- 10%, X7R, 0402",Vault,CMP-0078241-1,False,inventory_only
217,4669.8457mil,6696.2241mil, 9.00000000000000E+0001,0603L,C87,"CAP, CERM, 1 uF, 16 V, +/- 10%, X7R, AEC-Q200 Grade 1, 0603",Vault,CMP-0007136-5,False,inventory_only
218,4606.8441mil,6699.2037mil, 9.00000000000000E+0001,0402L,C88,"CAP, CERM, 0.1 �F, 10 V,+/- 10%, X7R, 0402",Vault,CMP-0078241-1,False,inventory_only
219,4817.7842mil,6272.5746mil, 0.00000000000000E+0000,0402L,C89,"CAP, CERM, 0.1 �F, 10 V,+/- 10%, X7R, 0402",Vault,CMP-0078241-1,False,inventory_only
220,4606.4334mil,5948.7561mil, 2.70000000000000E+0002,0603L,C90,"CAP, CERM, 1 uF, 16 V, +/- 10%, X7R, AEC-Q200 Grade 1, 0603",Vault,CMP-0007136-5,False,inventory_only
221,4606.4334mil,5948.7561mil, 2.70000000000000E+0002,0402L,C91,"CAP, CERM, 0.1 �F, 10 V,+/- 10%, X7R, 0402",Vault,CMP-0078241-1,False,inventory_only
