case_id,scenario_id,detector,valid_cells,detection_count,stored_point_count,detections_per_frame,mean_azimuth_deg,std_azimuth_deg,mean_elevation_deg,std_elevation_deg,geometry_status
ss1_rippled,pfa1e3_train2,ca_threshold_only,137924,23,23,0.5609756097560976,1.5588862281111735,8.168496537277193,6.031162719808757,25.354842819548196,candidate_mapping_not_phase_center_calibrated
ss1_rippled,pfa1e3_train2,os_cfar_local_peak,137924,0,0,0.0,nan,nan,nan,nan,candidate_mapping_not_phase_center_calibrated
ss1_rippled,pfa1e3_train2,fixed_energy_local_peak,137924,0,0,0.0,nan,nan,nan,nan,candidate_mapping_not_phase_center_calibrated
ss1_rippled,pfa1e4_train2,ca_cfar_local_peak,137924,0,0,0.0,nan,nan,nan,nan,candidate_mapping_not_phase_center_calibrated
ss1_rippled,pfa1e4_train2,ca_threshold_only,137924,4,4,0.0975609756097561,-1.01808766662873,10.77006583074371,-3.0748980081911714,35.24018745921988,candidate_mapping_not_phase_center_calibrated
ss1_rippled,pfa1e4_train2,os_cfar_local_peak,137924,0,0,0.0,nan,nan,nan,nan,candidate_mapping_not_phase_center_calibrated
ss1_rippled,pfa1e4_train2,fixed_energy_local_peak,137924,0,0,0.0,nan,nan,nan,nan,candidate_mapping_not_phase_center_calibrated
ss1_rippled,pfa1e2_train4,ca_cfar_local_peak,119556,0,0,0.0,nan,nan,nan,nan,candidate_mapping_not_phase_center_calibrated
ss1_rippled,pfa1e2_train4,ca_threshold_only,119556,1484,256,36.19512195121951,nan,nan,7.125882445801494,25.89950126220525,candidate_mapping_not_phase_center_calibrated
ss1_rippled,pfa1e2_train4,os_cfar_local_peak,119556,0,0,0.0,nan,nan,nan,nan,candidate_mapping_not_phase_center_calibrated
ss1_rippled,pfa1e2_train4,fixed_energy_local_peak,119556,0,0,0.0,nan,nan,nan,nan,candidate_mapping_not_phase_center_calibrated
ss1_rippled,pfa1e3_train4,ca_cfar_local_peak,119556,0,0,0.0,nan,nan,nan,nan,candidate_mapping_not_phase_center_calibrated
ss1_rippled,pfa1e3_train4,ca_threshold_only,119556,558,256,13.609756097560975,0.5003064583361337,6.989953208989789,2.296641036109342,23.15231066142408,candidate_mapping_not_phase_center_calibrated
ss1_rippled,pfa1e3_train4,os_cfar_local_peak,119556,0,0,0.0,nan,nan,nan,nan,candidate_mapping_not_phase_center_calibrated
ss1_rippled,pfa1e3_train4,fixed_energy_local_peak,119556,0,0,0.0,nan,nan,nan,nan,candidate_mapping_not_phase_center_calibrated
ss1_rippled,pfa1e4_train4,ca_cfar_local_peak,119556,0,0,0.0,nan,nan,nan,nan,candidate_mapping_not_phase_center_calibrated
ss1_rippled,pfa1e4_train4,ca_threshold_only,119556,0,0,0.0,nan,nan,nan,nan,candidate_mapping_not_phase_center_calibrated
ss1_rippled,pfa1e4_train4,os_cfar_local_peak,119556,0,0,0.0,nan,nan,nan,nan,candidate_mapping_not_phase_center_calibrated
ss1_rippled,pfa1e4_train4,fixed_energy_local_peak,119556,0,0,0.0,nan,nan,nan,nan,candidate_mapping_not_phase_center_calibrated
ss1_rippled,pfa1e2_train8,ca_cfar_local_peak,79376,0,0,0.0,nan,nan,nan,nan,candidate_mapping_not_phase_center_calibrated
ss1_rippled,pfa1e2_train8,ca_threshold_only,79376,984,256,24.0,nan,nan,7.098872392783161,23.943563972797946,candidate_mapping_not_phase_center_calibrated
ss1_rippled,pfa1e2_train8,os_cfar_local_peak,79376,0,0,0.0,nan,nan,nan,nan,candidate_mapping_not_phase_center_calibrated
ss1_rippled,pfa1e2_train8,fixed_energy_local_peak,79376,0,0,0.0,nan,nan,nan,nan,candidate_mapping_not_phase_center_calibrated
ss1_rippled,pfa1e3_train8,ca_cfar_local_peak,79376,0,0,0.0,nan,nan,nan,nan,candidate_mapping_not_phase_center_calibrated
ss1_rippled,pfa1e3_train8,ca_threshold_only,79376,663,256,16.170731707317074,-0.03774901989768792,6.091248965006738,4.849869672371568,22.82337929079374,candidate_mapping_not_phase_center_calibrated
ss1_rippled,pfa1e3_train8,os_cfar_local_peak,79376,0,0,0.0,nan,nan,nan,nan,candidate_mapping_not_phase_center_calibrated
ss1_rippled,pfa1e3_train8,fixed_energy_local_peak,79376,0,0,0.0,nan,nan,nan,nan,candidate_mapping_not_phase_center_calibrated
ss1_rippled,pfa1e4_train8,ca_cfar_local_peak,79376,0,0,0.0,nan,nan,nan,nan,candidate_mapping_not_phase_center_calibrated
ss1_rippled,pfa1e4_train8,ca_threshold_only,79376,22,22,0.5365853658536586,0.4873455072257035,7.39524567714369,-6.250339591638859,17.939886229341433,candidate_mapping_not_phase_center_calibrated
ss1_rippled,pfa1e4_train8,os_cfar_local_peak,79376,0,0,0.0,nan,nan,nan,nan,candidate_mapping_not_phase_center_calibrated
ss1_rippled,pfa1e4_train8,fixed_energy_local_peak,79376,0,0,0.0,nan,nan,nan,nan,candidate_mapping_not_phase_center_calibrated
ss2_normal,pfa1e2_train2,ca_cfar_local_peak,137924,0,0,0.0,nan,nan,nan,nan,candidate_mapping_not_phase_center_calibrated
ss2_normal,pfa1e2_train2,ca_threshold_only,137924,1095,256,26.70731707317073,2.0046540555709265,7.853194485989869,6.865804022004258,25.036364752433784,candidate_mapping_not_phase_center_calibrated
ss2_normal,pfa1e2_train2,os_cfar_local_peak,137924,0,0,0.0,nan,nan,nan,nan,candidate_mapping_not_phase_center_calibrated
ss2_normal,pfa1e2_train2,fixed_energy_local_peak,137924,0,0,0.0,nan,nan,nan,nan,candidate_mapping_not_phase_center_calibrated
ss2_normal,pfa1e3_train2,ca_cfar_local_peak,137924,0,0,0.0,nan,nan,nan,nan,candidate_mapping_not_phase_center_calibrated
ss2_normal,pfa1e3_train2,ca_threshold_only,137924,24,24,0.5853658536585366,2.8336080898652107,7.493454220552909,18.132038884716287,25.646855529526526,candidate_mapping_not_phase_center_calibrated
ss2_normal,pfa1e3_train2,os_cfar_local_peak,137924,0,0,0.0,nan,nan,nan,nan,candidate_mapping_not_phase_center_calibrated
ss2_normal,pfa1e3_train2,fixed_energy_local_peak,137924,0,0,0.0,nan,nan,nan,nan,candidate_mapping_not_phase_center_calibrated
ss2_normal,pfa1e4_train2,ca_cfar_local_peak,137924,0,0,0.0,nan,nan,nan,nan,candidate_mapping_not_phase_center_calibrated
ss2_normal,pfa1e4_train2,ca_threshold_only,137924,10,10,0.24390243902439024,5.034949619294892,6.842960820570759,21.542980025101464,23.573777153314285,candidate_mapping_not_phase_center_calibrated
ss2_normal,pfa1e4_train2,os_cfar_local_peak,137924,0,0,0.0,nan,nan,nan,nan,candidate_mapping_not_phase_center_calibrated
ss2_normal,pfa1e4_train2,fixed_energy_local_peak,137924,0,0,0.0,nan,nan,nan,nan,candidate_mapping_not_phase_center_calibrated
ss2_normal,pfa1e2_train4,ca_cfar_local_peak,119556,0,0,0.0,nan,nan,nan,nan,candidate_mapping_not_phase_center_calibrated
ss2_normal,pfa1e2_train4,ca_threshold_only,119556,1403,256,34.21951219512195,1.1657958718749968,8.264764878214418,3.0534886330175137,24.04090633898523,candidate_mapping_not_phase_center_calibrated
ss2_normal,pfa1e2_train4,os_cfar_local_peak,119556,0,0,0.0,nan,nan,nan,nan,candidate_mapping_not_phase_center_calibrated
ss2_normal,pfa1e2_train4,fixed_energy_local_peak,119556,0,0,0.0,nan,nan,nan,nan,candidate_mapping_not_phase_center_calibrated
ss2_normal,pfa1e3_train4,ca_cfar_local_peak,119556,0,0,0.0,nan,nan,nan,nan,candidate_mapping_not_phase_center_calibrated
ss2_normal,pfa1e3_train4,ca_threshold_only,119556,91,91,2.2195121951219514,-1.271581729640114,6.015226032697444,10.766971078774654,22.1453209298442,candidate_mapping_not_phase_center_calibrated
ss2_normal,pfa1e3_train4,os_cfar_local_peak,119556,0,0,0.0,nan,nan,nan,nan,candidate_mapping_not_phase_center_calibrated
ss2_normal,pfa1e3_train4,fixed_energy_local_peak,119556,0,0,0.0,nan,nan,nan,nan,candidate_mapping_not_phase_center_calibrated
ss2_normal,pfa1e4_train4,ca_cfar_local_peak,119556,0,0,0.0,nan,nan,nan,nan,candidate_mapping_not_phase_center_calibrated
ss2_normal,pfa1e4_train4,ca_threshold_only,119556,0,0,0.0,nan,nan,nan,nan,candidate_mapping_not_phase_center_calibrated
ss2_normal,pfa1e4_train4,os_cfar_local_peak,119556,0,0,0.0,nan,nan,nan,nan,candidate_mapping_not_phase_center_calibrated
ss2_normal,pfa1e4_train4,fixed_energy_local_peak,119556,0,0,0.0,nan,nan,nan,nan,candidate_mapping_not_phase_center_calibrated
ss2_normal,pfa1e2_train8,ca_cfar_local_peak,79376,0,0,0.0,nan,nan,nan,nan,candidate_mapping_not_phase_center_calibrated
ss2_normal,pfa1e2_train8,ca_threshold_only,79376,1013,256,24.70731707317073,1.737837404936147,7.111900179736595,4.4185055143183,24.227346965005346,candidate_mapping_not_phase_center_calibrated
ss2_normal,pfa1e2_train8,os_cfar_local_peak,79376,0,0,0.0,nan,nan,nan,nan,candidate_mapping_not_phase_center_calibrated
ss2_normal,pfa1e2_train8,fixed_energy_local_peak,79376,0,0,0.0,nan,nan,nan,nan,candidate_mapping_not_phase_center_calibrated
ss2_normal,pfa1e3_train8,ca_cfar_local_peak,79376,0,0,0.0,nan,nan,nan,nan,candidate_mapping_not_phase_center_calibrated
ss2_normal,pfa1e3_train8,ca_threshold_only,79376,472,256,11.512195121951219,0.4869920180889127,6.846474250020194,3.8537022086888255,26.81175493543035,candidate_mapping_not_phase_center_calibrated
ss2_normal,pfa1e3_train8,os_cfar_local_peak,79376,0,0,0.0,nan,nan,nan,nan,candidate_mapping_not_phase_center_calibrated
ss2_normal,pfa1e3_train8,fixed_energy_local_peak,79376,0,0,0.0,nan,nan,nan,nan,candidate_mapping_not_phase_center_calibrated
ss2_normal,pfa1e4_train8,ca_cfar_local_peak,79376,0,0,0.0,nan,nan,nan,nan,candidate_mapping_not_phase_center_calibrated
ss2_normal,pfa1e4_train8,ca_threshold_only,79376,0,0,0.0,nan,nan,nan,nan,candidate_mapping_not_phase_center_calibrated
ss2_normal,pfa1e4_train8,os_cfar_local_peak,79376,0,0,0.0,nan,nan,nan,nan,candidate_mapping_not_phase_center_calibrated
ss2_normal,pfa1e4_train8,fixed_energy_local_peak,79376,0,0,0.0,nan,nan,nan,nan,candidate_mapping_not_phase_center_calibrated
