case_id,scenario_id,detector,frame,doppler_index,range_index,range_m,velocity_mps,azimuth_deg,elevation_deg,power_linear,noise_linear,threshold_linear,x_m,y_m,z_m
ss0_flat,pfa1e2_train2,ca_threshold_only,40,32,3,5.26978930078125,0.0,15.892689264932827,34.84131491514428,94626.3359375,15129.669921875,73843.95751864376,1.1843739534056932,4.159791487527012,3.010659793703121
ss0_flat,pfa1e2_train2,ca_threshold_only,39,32,3,5.26978930078125,0.0,15.892689264932827,34.84131491514428,94626.3359375,15129.669921875,73843.95751864376,1.1843739534056932,4.159791487527012,3.010659793703121
ss0_flat,pfa1e2_train2,ca_threshold_only,38,32,3,5.26978930078125,0.0,15.892689264932827,34.84131491514428,94626.3359375,15129.669921875,73843.95751864376,1.1843739534056932,4.159791487527012,3.010659793703121
ss0_flat,pfa1e2_train2,ca_threshold_only,37,32,3,5.26978930078125,0.0,15.892689264932827,34.84131491514428,94626.3359375,15129.669921875,73843.95751864376,1.1843739534056932,4.159791487527012,3.010659793703121
ss0_flat,pfa1e2_train2,ca_threshold_only,36,32,3,5.26978930078125,0.0,15.892689264932827,34.84131491514428,94626.3359375,15129.669921875,73843.95751864376,1.1843739534056932,4.159791487527012,3.010659793703121
ss0_flat,pfa1e2_train2,ca_threshold_only,35,32,3,5.26978930078125,0.0,15.892689264932827,34.84131491514428,94626.3359375,15129.669921875,73843.95751864376,1.1843739534056932,4.159791487527012,3.010659793703121
ss0_flat,pfa1e2_train2,ca_threshold_only,34,32,3,5.26978930078125,0.0,15.892689264932827,34.84131491514428,94626.3359375,15129.669921875,73843.95751864376,1.1843739534056932,4.159791487527012,3.010659793703121
ss0_flat,pfa1e2_train2,ca_threshold_only,33,32,3,5.26978930078125,0.0,15.892689264932827,34.84131491514428,94626.3359375,15129.669921875,73843.95751864376,1.1843739534056932,4.159791487527012,3.010659793703121
ss0_flat,pfa1e2_train2,ca_threshold_only,32,32,3,5.26978930078125,0.0,15.892689264932827,34.84131491514428,94626.3359375,15129.669921875,73843.95751864376,1.1843739534056932,4.159791487527012,3.010659793703121
ss0_flat,pfa1e2_train2,ca_threshold_only,31,32,3,5.26978930078125,0.0,15.892689264932827,34.84131491514428,94626.3359375,15129.669921875,73843.95751864376,1.1843739534056932,4.159791487527012,3.010659793703121
ss0_flat,pfa1e2_train2,ca_threshold_only,30,32,3,5.26978930078125,0.0,15.892689264932827,34.84131491514428,94626.3359375,15129.669921875,73843.95751864376,1.1843739534056932,4.159791487527012,3.010659793703121
ss0_flat,pfa1e2_train2,ca_threshold_only,29,32,3,5.26978930078125,0.0,15.892689264932827,34.84131491514428,94626.3359375,15129.669921875,73843.95751864376,1.1843739534056932,4.159791487527012,3.010659793703121
ss0_flat,pfa1e2_train2,ca_threshold_only,28,32,3,5.26978930078125,0.0,15.892689264932827,34.84131491514428,94626.3359375,15129.669921875,73843.95751864376,1.1843739534056932,4.159791487527012,3.010659793703121
ss0_flat,pfa1e2_train2,ca_threshold_only,27,32,3,5.26978930078125,0.0,15.892689264932827,34.84131491514428,94626.3359375,15129.669921875,73843.95751864376,1.1843739534056932,4.159791487527012,3.010659793703121
ss0_flat,pfa1e2_train2,ca_threshold_only,26,32,3,5.26978930078125,0.0,15.892689264932827,34.84131491514428,94626.3359375,15129.669921875,73843.95751864376,1.1843739534056932,4.159791487527012,3.010659793703121
ss0_flat,pfa1e2_train2,ca_threshold_only,25,32,3,5.26978930078125,0.0,15.892689264932827,34.84131491514428,94626.3359375,15129.669921875,73843.95751864376,1.1843739534056932,4.159791487527012,3.010659793703121
ss0_flat,pfa1e2_train2,ca_threshold_only,24,32,3,5.26978930078125,0.0,15.892689264932827,34.84131491514428,94626.3359375,15129.669921875,73843.95751864376,1.1843739534056932,4.159791487527012,3.010659793703121
ss0_flat,pfa1e2_train2,ca_threshold_only,23,32,3,5.26978930078125,0.0,15.892689264932827,34.84131491514428,94626.3359375,15129.669921875,73843.95751864376,1.1843739534056932,4.159791487527012,3.010659793703121
ss0_flat,pfa1e2_train2,ca_threshold_only,22,32,3,5.26978930078125,0.0,15.892689264932827,34.84131491514428,94626.3359375,15129.669921875,73843.95751864376,1.1843739534056932,4.159791487527012,3.010659793703121
ss0_flat,pfa1e2_train2,ca_threshold_only,21,32,3,5.26978930078125,0.0,15.892689264932827,34.84131491514428,94626.3359375,15129.669921875,73843.95751864376,1.1843739534056932,4.159791487527012,3.010659793703121
ss0_flat,pfa1e2_train2,ca_threshold_only,20,32,3,5.26978930078125,0.0,15.892689264932827,34.84131491514428,94626.3359375,15129.669921875,73843.95751864376,1.1843739534056932,4.159791487527012,3.010659793703121
ss0_flat,pfa1e2_train2,ca_threshold_only,19,32,3,5.26978930078125,0.0,15.892689264932827,34.84131491514428,94626.3359375,15129.669921875,73843.95751864376,1.1843739534056932,4.159791487527012,3.010659793703121
ss0_flat,pfa1e2_train2,ca_threshold_only,18,32,3,5.26978930078125,0.0,15.892689264932827,34.84131491514428,94626.3359375,15129.669921875,73843.95751864376,1.1843739534056932,4.159791487527012,3.010659793703121
ss0_flat,pfa1e2_train2,ca_threshold_only,17,32,3,5.26978930078125,0.0,15.892689264932827,34.84131491514428,94626.3359375,15129.669921875,73843.95751864376,1.1843739534056932,4.159791487527012,3.010659793703121
ss0_flat,pfa1e2_train2,ca_threshold_only,16,32,3,5.26978930078125,0.0,15.892689264932827,34.84131491514428,94626.3359375,15129.669921875,73843.95751864376,1.1843739534056932,4.159791487527012,3.010659793703121
ss0_flat,pfa1e2_train2,ca_threshold_only,15,32,3,5.26978930078125,0.0,15.892689264932827,34.84131491514428,94626.3359375,15129.669921875,73843.95751864376,1.1843739534056932,4.159791487527012,3.010659793703121
ss0_flat,pfa1e2_train2,ca_threshold_only,14,32,3,5.26978930078125,0.0,15.892689264932827,34.84131491514428,94626.3359375,15129.669921875,73843.95751864376,1.1843739534056932,4.159791487527012,3.010659793703121
ss0_flat,pfa1e2_train2,ca_threshold_only,13,32,3,5.26978930078125,0.0,15.892689264932827,34.84131491514428,94626.3359375,15129.669921875,73843.95751864376,1.1843739534056932,4.159791487527012,3.010659793703121
ss0_flat,pfa1e2_train2,ca_threshold_only,12,32,3,5.26978930078125,0.0,15.892689264932827,34.84131491514428,94626.3359375,15129.669921875,73843.95751864376,1.1843739534056932,4.159791487527012,3.010659793703121
ss0_flat,pfa1e2_train2,ca_threshold_only,11,32,3,5.26978930078125,0.0,15.892689264932827,34.84131491514428,94626.3359375,15129.669921875,73843.95751864376,1.1843739534056932,4.159791487527012,3.010659793703121
ss0_flat,pfa1e2_train2,ca_threshold_only,10,32,3,5.26978930078125,0.0,15.892689264932827,34.84131491514428,94626.3359375,15129.669921875,73843.95751864376,1.1843739534056932,4.159791487527012,3.010659793703121
ss0_flat,pfa1e2_train2,ca_threshold_only,9,32,3,5.26978930078125,0.0,15.892689264932827,34.84131491514428,94626.3359375,15129.669921875,73843.95751864376,1.1843739534056932,4.159791487527012,3.010659793703121
ss0_flat,pfa1e2_train2,ca_threshold_only,8,32,3,5.26978930078125,0.0,15.892689264932827,34.84131491514428,94626.3359375,15129.669921875,73843.95751864376,1.1843739534056932,4.159791487527012,3.010659793703121
ss0_flat,pfa1e2_train2,ca_threshold_only,7,32,3,5.26978930078125,0.0,15.892689264932827,34.84131491514428,94626.3359375,15129.669921875,73843.95751864376,1.1843739534056932,4.159791487527012,3.010659793703121
ss0_flat,pfa1e2_train2,ca_threshold_only,6,32,3,5.26978930078125,0.0,15.892689264932827,34.84131491514428,94626.3359375,15129.669921875,73843.95751864376,1.1843739534056932,4.159791487527012,3.010659793703121
ss0_flat,pfa1e2_train2,ca_threshold_only,5,32,3,5.26978930078125,0.0,15.892689264932827,34.84131491514428,94626.3359375,15129.669921875,73843.95751864376,1.1843739534056932,4.159791487527012,3.010659793703121
ss0_flat,pfa1e2_train2,ca_threshold_only,4,32,3,5.26978930078125,0.0,15.892689264932827,34.84131491514428,94626.3359375,15129.669921875,73843.95751864376,1.1843739534056932,4.159791487527012,3.010659793703121
ss0_flat,pfa1e2_train2,ca_threshold_only,3,32,3,5.26978930078125,0.0,15.892689264932827,34.84131491514428,94626.3359375,15129.669921875,73843.95751864376,1.1843739534056932,4.159791487527012,3.010659793703121
ss0_flat,pfa1e2_train2,ca_threshold_only,2,32,3,5.26978930078125,0.0,15.892689264932827,34.84131491514428,94626.3359375,15129.669921875,73843.95751864376,1.1843739534056932,4.159791487527012,3.010659793703121
ss0_flat,pfa1e2_train2,ca_threshold_only,1,32,3,5.26978930078125,0.0,15.892689264932827,34.84131491514428,94626.3359375,15129.669921875,73843.95751864376,1.1843739534056932,4.159791487527012,3.010659793703121
ss0_flat,pfa1e2_train2,ca_threshold_only,0,32,3,5.26978930078125,0.0,15.892689264932827,34.84131491514428,94626.3359375,15129.669921875,73843.95751864376,1.1843739534056932,4.159791487527012,3.010659793703121
ss0_flat,pfa1e2_train2,ca_threshold_only,40,32,23,40.40171797265625,0.0,-12.554199051446131,19.935947445800316,0.0006426542531698942,0.00012846228491980582,0.0006269907776805249,-8.255583312393744,37.07253512339614,13.775750391130805
ss0_flat,pfa1e2_train2,ca_threshold_only,39,32,23,40.40171797265625,0.0,-12.554199051446131,19.935947445800316,0.0006426542531698942,0.00012846228491980582,0.0006269907776805249,-8.255583312393744,37.07253512339614,13.775750391130805
ss0_flat,pfa1e2_train2,ca_threshold_only,38,32,23,40.40171797265625,0.0,-12.554199051446131,19.935947445800316,0.0006426542531698942,0.00012846228491980582,0.0006269907776805249,-8.255583312393744,37.07253512339614,13.775750391130805
ss0_flat,pfa1e2_train2,ca_threshold_only,37,32,23,40.40171797265625,0.0,-12.554199051446131,19.935947445800316,0.0006426542531698942,0.00012846228491980582,0.0006269907776805249,-8.255583312393744,37.07253512339614,13.775750391130805
ss0_flat,pfa1e2_train2,ca_threshold_only,36,32,23,40.40171797265625,0.0,-12.554199051446131,19.935947445800316,0.0006426542531698942,0.00012846228491980582,0.0006269907776805249,-8.255583312393744,37.07253512339614,13.775750391130805
ss0_flat,pfa1e2_train2,ca_threshold_only,35,32,23,40.40171797265625,0.0,-12.554199051446131,19.935947445800316,0.0006426542531698942,0.00012846228491980582,0.0006269907776805249,-8.255583312393744,37.07253512339614,13.775750391130805
ss0_flat,pfa1e2_train2,ca_threshold_only,34,32,23,40.40171797265625,0.0,-12.554199051446131,19.935947445800316,0.0006426542531698942,0.00012846228491980582,0.0006269907776805249,-8.255583312393744,37.07253512339614,13.775750391130805
ss0_flat,pfa1e2_train2,ca_threshold_only,33,32,23,40.40171797265625,0.0,-12.554199051446131,19.935947445800316,0.0006426542531698942,0.00012846228491980582,0.0006269907776805249,-8.255583312393744,37.07253512339614,13.775750391130805
ss0_flat,pfa1e2_train2,ca_threshold_only,32,32,23,40.40171797265625,0.0,-12.554199051446131,19.935947445800316,0.0006426542531698942,0.00012846228491980582,0.0006269907776805249,-8.255583312393744,37.07253512339614,13.775750391130805
ss0_flat,pfa1e2_train2,ca_threshold_only,31,32,23,40.40171797265625,0.0,-12.554199051446131,19.935947445800316,0.0006426542531698942,0.00012846228491980582,0.0006269907776805249,-8.255583312393744,37.07253512339614,13.775750391130805
