actual_model,assumed_model,truth_azimuth_deg,truth_elevation_deg,estimated_azimuth_deg,estimated_elevation_deg,score,azimuth_error_deg,elevation_error_deg
ideal_half_lambda,cfg_candidate,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ideal_half_lambda,cfg_candidate,20.0,0.0,6.0,1.0,0.7942741738860624,-14.0,1.0
ideal_half_lambda,cfg_candidate,40.0,0.0,12.0,1.0,0.4351339338735034,-28.0,1.0
ideal_half_lambda,cfg_candidate,60.0,0.0,3.0,-20.0,0.4395282259146366,-57.0,-20.0
ideal_half_lambda,cfg_candidate,-60.0,10.0,10.0,-20.0,0.5637287592969927,70.0,-30.0
ideal_half_lambda,cfg_candidate,-40.0,10.0,15.0,-20.0,0.596061980438239,55.0,-30.0
ideal_half_lambda,cfg_candidate,-20.0,10.0,21.0,-20.0,0.4739451928499497,41.0,-30.0
ideal_half_lambda,cfg_candidate,0.0,10.0,1.0,-1.0,0.7145329372191328,1.0,-11.0
ideal_half_lambda,cfg_candidate,20.0,10.0,8.0,-2.0,0.9281006485771128,-12.0,-12.0
ideal_half_lambda,cfg_candidate,40.0,10.0,13.0,-1.0,0.8087769349525408,-27.0,-11.0
ideal_half_lambda,cfg_candidate,60.0,10.0,17.0,-1.0,0.5784582260446991,-43.0,-11.0
ideal_half_lambda,cfg_candidate,-60.0,20.0,26.0,-4.0,0.48667004903965955,86.0,-24.0
ideal_half_lambda,cfg_candidate,-40.0,20.0,17.0,-20.0,0.5897402905127799,57.0,-40.0
ideal_half_lambda,cfg_candidate,-20.0,20.0,23.0,-20.0,0.6901797564730338,43.0,-40.0
ideal_half_lambda,cfg_candidate,0.0,20.0,30.0,-20.0,0.5625273378356831,30.0,-40.0
ideal_half_lambda,cfg_candidate,20.0,20.0,9.0,-3.0,0.5524227790340186,-11.0,-23.0
ideal_half_lambda,cfg_candidate,40.0,20.0,14.0,-3.0,0.7433408613355066,-26.0,-23.0
ideal_half_lambda,cfg_candidate,60.0,20.0,18.0,-3.0,0.7460449462387232,-42.0,-23.0
ideal_half_lambda,pcb_centroid_candidate,-60.0,-20.0,2.0,9.0,0.7545016571980946,62.0,29.0
ideal_half_lambda,pcb_centroid_candidate,-40.0,-20.0,53.0,7.0,0.8282565206472503,93.0,27.0
ideal_half_lambda,pcb_centroid_candidate,-20.0,-20.0,26.0,8.0,0.9065920325542131,46.0,28.0
ideal_half_lambda,pcb_centroid_candidate,0.0,-20.0,16.0,-9.0,0.9637126192579519,16.0,11.0
ideal_half_lambda,pcb_centroid_candidate,20.0,-20.0,-1.0,-16.0,0.9280316926173793,-21.0,4.0
ideal_half_lambda,pcb_centroid_candidate,40.0,-20.0,54.0,4.0,0.8201140416245458,14.0,24.0
ideal_half_lambda,pcb_centroid_candidate,60.0,-20.0,40.0,-12.0,0.7459034756460001,-20.0,8.0
ideal_half_lambda,pcb_centroid_candidate,-60.0,-10.0,21.0,0.0,0.7076595710554486,81.0,10.0
ideal_half_lambda,pcb_centroid_candidate,-40.0,-10.0,-5.0,15.0,0.8112426607320274,35.0,25.0
ideal_half_lambda,pcb_centroid_candidate,-20.0,-10.0,-49.0,-2.0,0.9312162521021712,-29.0,8.0
ideal_half_lambda,pcb_centroid_candidate,0.0,-10.0,34.0,-12.0,0.9896708361575005,34.0,-2.0
ideal_half_lambda,pcb_centroid_candidate,20.0,-10.0,26.0,1.0,0.934309289741261,6.0,11.0
ideal_half_lambda,pcb_centroid_candidate,40.0,-10.0,20.0,0.0,0.810780549695681,-20.0,10.0
