case_id,frames,azimuth_rmse_to_dominant_deg,elevation_rmse_to_dominant_deg,combined_rmse_to_dominant_deg,mean_peak_to_second_db,minimum_peak_to_second_db,jump_rate_over_5deg,mean_angle_jump_deg
ss0_flat,41,66.08037758033862,15.304630894609712,47.9627356808406,0.07273653004688187,0.0017498573159396573,0.975,39.06789620292801
ss1_rippled,41,68.79174884677828,14.664331426207333,49.73603987842153,0.04644517275702893,0.00032403741826782706,1.0,54.46711847185962
ss2_normal,41,66.10418734235763,15.191647876492732,47.961180914343956,0.06652514637845619,0.000343332301344202,0.975,42.49613061919097
ss3_nominal,41,62.55880530133602,15.605222318633645,45.59126607336349,0.05686885376946476,0.0029196216555440703,1.0,46.27500987216323
ss3_upper,41,55.30593154927291,16.001612461731764,40.71116349300465,0.0505953767374525,0.0013899434101863754,0.975,45.09788090605782
