effective_eps_r,phase_rms_deg,azimuth_rmse_deg,elevation_rmse_deg,azimuth_max_abs_error_deg,elevation_max_abs_error_deg,interpretation_status
1.0,0.0,38.3208206295213,22.612536471379276,63.405770329010046,42.39894728706385,sensitivity_only_not_calibrated_phase_model
2.5,15.122700848809862,38.23040999066322,24.285472508211235,62.107792476539096,49.89188068102454,sensitivity_only_not_calibrated_phase_model
3.0,19.049811845114515,38.22407685825312,24.289467294086844,62.462831446387234,49.626724703750774,sensitivity_only_not_calibrated_phase_model
4.04,26.282104856371653,38.000007220937604,23.687861306929626,63.11439779905024,49.140218107883555,sensitivity_only_not_calibrated_phase_model
