case_id,scenario_id,target_snr_db,pfa,frames,target_range_m,target_velocity_mps,detection_probability,mean_false_alarms_per_frame,target_azimuth_rmse_deg,target_elevation_rmse_deg,sweep_variable,sweep_value,target_azimuth_truth_deg,target_elevation_truth_deg,target_range_truth_m,target_velocity_truth_mps
ss3_upper,range_m_60_pfa0.001,10.0,0.001,41,59.7242787421875,0.9125176278409091,1.0,0.14634146341463414,0.0,0.0,range_m,60.0,10.0,2.0,60.0,1.0
ss3_upper,range_m_80_pfa0.01,10.0,0.01,41,80.8034359453125,0.9125176278409091,1.0,0.2682926829268293,0.0,0.0,range_m,80.0,10.0,2.0,80.0,1.0
ss3_upper,range_m_80_pfa0.001,10.0,0.001,41,80.8034359453125,0.9125176278409091,1.0,0.14634146341463414,0.0,0.0,range_m,80.0,10.0,2.0,80.0,1.0
ss3_upper,velocity_mps_-3_pfa0.01,10.0,0.01,41,19.32256076953125,-3.0417254261363635,1.0,0.2682926829268293,0.0,0.0,velocity_mps,-3.0,10.0,2.0,20.0,-3.0
ss3_upper,velocity_mps_-3_pfa0.001,10.0,0.001,41,19.32256076953125,-3.0417254261363635,1.0,0.14634146341463414,0.0,0.0,velocity_mps,-3.0,10.0,2.0,20.0,-3.0
ss3_upper,velocity_mps_0_pfa0.01,10.0,0.01,41,19.32256076953125,0.0,1.0,0.2682926829268293,0.0,0.0,velocity_mps,0.0,10.0,2.0,20.0,0.0
ss3_upper,velocity_mps_0_pfa0.001,10.0,0.001,41,19.32256076953125,0.0,1.0,0.14634146341463414,0.0,0.0,velocity_mps,0.0,10.0,2.0,20.0,0.0
ss3_upper,velocity_mps_1_pfa0.01,10.0,0.01,41,19.32256076953125,0.9125176278409091,1.0,0.2682926829268293,0.0,0.0,velocity_mps,1.0,10.0,2.0,20.0,1.0
ss3_upper,velocity_mps_1_pfa0.001,10.0,0.001,41,19.32256076953125,0.9125176278409091,1.0,0.14634146341463414,0.0,0.0,velocity_mps,1.0,10.0,2.0,20.0,1.0
ss3_upper,velocity_mps_3_pfa0.01,10.0,0.01,41,19.32256076953125,3.0417254261363635,1.0,0.2682926829268293,0.0,0.0,velocity_mps,3.0,10.0,2.0,20.0,3.0
ss3_upper,velocity_mps_3_pfa0.001,10.0,0.001,41,19.32256076953125,3.0417254261363635,1.0,0.14634146341463414,0.0,0.0,velocity_mps,3.0,10.0,2.0,20.0,3.0
ss3_upper,velocity_mps_6_pfa0.01,10.0,0.01,41,19.32256076953125,6.083450852272727,1.0,0.2682926829268293,0.0,0.0,velocity_mps,6.0,10.0,2.0,20.0,6.0
ss3_upper,velocity_mps_6_pfa0.001,10.0,0.001,41,19.32256076953125,6.083450852272727,1.0,0.14634146341463414,0.0,0.0,velocity_mps,6.0,10.0,2.0,20.0,6.0
ss3_upper,azimuth_deg_-30_pfa0.01,10.0,0.01,41,19.32256076953125,0.9125176278409091,1.0,0.2682926829268293,0.0,0.0,azimuth_deg,-30.0,-30.0,2.0,20.0,1.0
ss3_upper,azimuth_deg_-30_pfa0.001,10.0,0.001,41,19.32256076953125,0.9125176278409091,1.0,0.14634146341463414,0.0,0.0,azimuth_deg,-30.0,-30.0,2.0,20.0,1.0
ss3_upper,azimuth_deg_-10_pfa0.01,10.0,0.01,41,19.32256076953125,0.9125176278409091,1.0,0.2682926829268293,0.0,0.0,azimuth_deg,-10.0,-10.0,2.0,20.0,1.0
ss3_upper,azimuth_deg_-10_pfa0.001,10.0,0.001,41,19.32256076953125,0.9125176278409091,1.0,0.14634146341463414,0.0,0.0,azimuth_deg,-10.0,-10.0,2.0,20.0,1.0
ss3_upper,azimuth_deg_10_pfa0.01,10.0,0.01,41,19.32256076953125,0.9125176278409091,1.0,0.2682926829268293,0.0,0.0,azimuth_deg,10.0,10.0,2.0,20.0,1.0
ss3_upper,azimuth_deg_10_pfa0.001,10.0,0.001,41,19.32256076953125,0.9125176278409091,1.0,0.14634146341463414,0.0,0.0,azimuth_deg,10.0,10.0,2.0,20.0,1.0
ss3_upper,azimuth_deg_30_pfa0.01,10.0,0.01,41,19.32256076953125,0.9125176278409091,1.0,0.2682926829268293,0.0,0.0,azimuth_deg,30.0,30.0,2.0,20.0,1.0
ss3_upper,azimuth_deg_30_pfa0.001,10.0,0.001,41,19.32256076953125,0.9125176278409091,1.0,0.14634146341463414,0.0,0.0,azimuth_deg,30.0,30.0,2.0,20.0,1.0
ss3_upper,elevation_deg_-4_pfa0.01,10.0,0.01,41,19.32256076953125,0.9125176278409091,1.0,0.2682926829268293,0.0,0.0,elevation_deg,-4.0,10.0,-4.0,20.0,1.0
ss3_upper,elevation_deg_-4_pfa0.001,10.0,0.001,41,19.32256076953125,0.9125176278409091,1.0,0.14634146341463414,0.0,0.0,elevation_deg,-4.0,10.0,-4.0,20.0,1.0
ss3_upper,elevation_deg_0_pfa0.01,10.0,0.01,41,19.32256076953125,0.9125176278409091,1.0,0.2682926829268293,0.0,0.0,elevation_deg,0.0,10.0,0.0,20.0,1.0
ss3_upper,elevation_deg_0_pfa0.001,10.0,0.001,41,19.32256076953125,0.9125176278409091,1.0,0.14634146341463414,0.0,0.0,elevation_deg,0.0,10.0,0.0,20.0,1.0
ss3_upper,elevation_deg_4_pfa0.01,10.0,0.01,41,19.32256076953125,0.9125176278409091,1.0,0.2682926829268293,0.0,0.0,elevation_deg,4.0,10.0,4.0,20.0,1.0
ss3_upper,elevation_deg_4_pfa0.001,10.0,0.001,41,19.32256076953125,0.9125176278409091,1.0,0.14634146341463414,0.0,0.0,elevation_deg,4.0,10.0,4.0,20.0,1.0
