case_id,target_hs_m,surface_proxy,surface_height_m,mounting_pitch_deg,boresight_m,three_db_near_m,three_db_far_m,six_db_near_m,six_db_far_m
ss0_flat,0.0,mean,0.0,0.0,,19.081136687728208,,11.430052302761343,
ss0_flat,0.0,mean,0.0,3.0,19.081136687728208,9.514364454222584,,7.115369722384209,
ss0_flat,0.0,mean,0.0,5.0,11.430052302761343,7.115369722384209,28.636253282915604,5.671281819617709,
ss0_flat,0.0,mean,0.0,8.0,7.115369722384209,5.144554015970311,11.430052302761343,4.3314758742841555,19.081136687728208
ss0_flat,0.0,mean,0.0,10.0,5.671281819617709,4.3314758742841555,8.144346427974593,3.7320508075688776,11.430052302761343
ss0_flat,0.0,crest_proxy,0.0,0.0,,19.081136687728208,,11.430052302761343,
ss0_flat,0.0,crest_proxy,0.0,3.0,19.081136687728208,9.514364454222584,,7.115369722384209,
ss0_flat,0.0,crest_proxy,0.0,5.0,11.430052302761343,7.115369722384209,28.636253282915604,5.671281819617709,
ss0_flat,0.0,crest_proxy,0.0,8.0,7.115369722384209,5.144554015970311,11.430052302761343,4.3314758742841555,19.081136687728208
ss0_flat,0.0,crest_proxy,0.0,10.0,5.671281819617709,4.3314758742841555,8.144346427974593,3.7320508075688776,11.430052302761343
ss0_flat,0.0,trough_proxy,-0.0,0.0,,19.081136687728208,,11.430052302761343,
ss0_flat,0.0,trough_proxy,-0.0,3.0,19.081136687728208,9.514364454222584,,7.115369722384209,
ss0_flat,0.0,trough_proxy,-0.0,5.0,11.430052302761343,7.115369722384209,28.636253282915604,5.671281819617709,
ss0_flat,0.0,trough_proxy,-0.0,8.0,7.115369722384209,5.144554015970311,11.430052302761343,4.3314758742841555,19.081136687728208
ss0_flat,0.0,trough_proxy,-0.0,10.0,5.671281819617709,4.3314758742841555,8.144346427974593,3.7320508075688776,11.430052302761343
ss1_rippled,0.05,mean,0.0,0.0,,19.081136687728208,,11.430052302761343,
ss1_rippled,0.05,mean,0.0,3.0,19.081136687728208,9.514364454222584,,7.115369722384209,
ss1_rippled,0.05,mean,0.0,5.0,11.430052302761343,7.115369722384209,28.636253282915604,5.671281819617709,
ss1_rippled,0.05,mean,0.0,8.0,7.115369722384209,5.144554015970311,11.430052302761343,4.3314758742841555,19.081136687728208
ss1_rippled,0.05,mean,0.0,10.0,5.671281819617709,4.3314758742841555,8.144346427974593,3.7320508075688776,11.430052302761343
ss1_rippled,0.05,crest_proxy,0.025,0.0,,18.604108270535004,,11.144300995192308,
ss1_rippled,0.05,crest_proxy,0.025,3.0,18.604108270535004,9.276505342867019,,6.937485479324603,
ss1_rippled,0.05,crest_proxy,0.025,5.0,11.144300995192308,6.937485479324603,27.920346950842713,5.529499774127267,
ss1_rippled,0.05,crest_proxy,0.025,8.0,6.937485479324603,5.0159401655710525,11.144300995192308,4.223188977427052,18.604108270535004
ss1_rippled,0.05,crest_proxy,0.025,10.0,5.529499774127267,4.223188977427052,7.940737767275229,3.6387495373796552,11.144300995192308
ss1_rippled,0.05,trough_proxy,-0.025,0.0,,19.55816510492141,,11.715803610330376,
ss1_rippled,0.05,trough_proxy,-0.025,3.0,19.55816510492141,9.752223565578149,,7.293253965443813,
ss1_rippled,0.05,trough_proxy,-0.025,5.0,11.715803610330376,7.293253965443813,29.35215961498849,5.813063865108152,
ss1_rippled,0.05,trough_proxy,-0.025,8.0,7.293253965443813,5.273167866369568,11.715803610330376,4.439762771141259,19.55816510492141
ss1_rippled,0.05,trough_proxy,-0.025,10.0,5.813063865108152,4.439762771141259,8.347955088673958,3.825352077758099,11.715803610330376
ss2_normal,0.3,mean,0.0,0.0,,19.081136687728208,,11.430052302761343,
ss2_normal,0.3,mean,0.0,3.0,19.081136687728208,9.514364454222584,,7.115369722384209,
ss2_normal,0.3,mean,0.0,5.0,11.430052302761343,7.115369722384209,28.636253282915604,5.671281819617709,
ss2_normal,0.3,mean,0.0,8.0,7.115369722384209,5.144554015970311,11.430052302761343,4.3314758742841555,19.081136687728208
ss2_normal,0.3,mean,0.0,10.0,5.671281819617709,4.3314758742841555,8.144346427974593,3.7320508075688776,11.430052302761343
ss2_normal,0.3,crest_proxy,0.15,0.0,,16.218966184568977,,9.715544457347141,
ss2_normal,0.3,crest_proxy,0.15,3.0,16.218966184568977,8.087209786089197,,6.048064264026577,
ss2_normal,0.3,crest_proxy,0.15,5.0,9.715544457347141,6.048064264026577,24.34081529047826,4.820589546675053,
ss2_normal,0.3,crest_proxy,0.15,8.0,6.048064264026577,4.372870913574764,9.715544457347141,3.6817544931415322,16.218966184568977
ss2_normal,0.3,crest_proxy,0.15,10.0,4.820589546675053,3.6817544931415322,6.922694463778404,3.172243186433546,9.715544457347141
ss2_normal,0.3,trough_proxy,-0.15,0.0,,21.943307190887438,,13.144560148175543,
ss2_normal,0.3,trough_proxy,-0.15,3.0,21.943307190887438,10.94151912235597,,8.182675180741839,
ss2_normal,0.3,trough_proxy,-0.15,5.0,13.144560148175543,8.182675180741839,32.93169127535294,6.521974092560366,
ss2_normal,0.3,trough_proxy,-0.15,8.0,8.182675180741839,5.916237118365856,13.144560148175543,4.981197255426778,21.943307190887438
ss2_normal,0.3,trough_proxy,-0.15,10.0,6.521974092560366,4.981197255426778,9.365998392170782,4.2918584287042085,13.144560148175543
ss3_nominal,0.85,mean,0.0,0.0,,19.081136687728208,,11.430052302761343,
ss3_nominal,0.85,mean,0.0,3.0,19.081136687728208,9.514364454222584,,7.115369722384209,
ss3_nominal,0.85,mean,0.0,5.0,11.430052302761343,7.115369722384209,28.636253282915604,5.671281819617709,
ss3_nominal,0.85,mean,0.0,8.0,7.115369722384209,5.144554015970311,11.430052302761343,4.3314758742841555,19.081136687728208
ss3_nominal,0.85,mean,0.0,10.0,5.671281819617709,4.3314758742841555,8.144346427974593,3.7320508075688776,11.430052302761343
ss3_nominal,0.85,crest_proxy,0.425,0.0,,10.971653595443719,,6.572280074087772,
ss3_nominal,0.85,crest_proxy,0.425,3.0,10.971653595443719,5.470759561177985,,4.0913375903709195,
ss3_nominal,0.85,crest_proxy,0.425,5.0,6.572280074087772,4.0913375903709195,16.46584563767647,3.260987046280183,
ss3_nominal,0.85,crest_proxy,0.425,8.0,4.0913375903709195,2.958118559182928,6.572280074087772,2.490598627713389,10.971653595443719
ss3_nominal,0.85,crest_proxy,0.425,10.0,3.260987046280183,2.490598627713389,4.682999196085391,2.1459292143521043,6.572280074087772
ss3_nominal,0.85,trough_proxy,-0.425,0.0,,27.1906197800127,,16.287824531434914,
ss3_nominal,0.85,trough_proxy,-0.425,3.0,27.1906197800127,13.557969347267182,,10.139401854397498,
ss3_nominal,0.85,trough_proxy,-0.425,5.0,16.287824531434914,10.139401854397498,40.806660928154734,8.081576592955237,
ss3_nominal,0.85,trough_proxy,-0.425,8.0,10.139401854397498,7.330989472757692,16.287824531434914,6.172353120854922,27.1906197800127
ss3_nominal,0.85,trough_proxy,-0.425,10.0,8.081576592955237,6.172353120854922,11.605693659863796,5.318172400785651,16.287824531434914
ss3_upper,1.0,mean,0.0,0.0,,19.081136687728208,,11.430052302761343,
ss3_upper,1.0,mean,0.0,3.0,19.081136687728208,9.514364454222584,,7.115369722384209,
ss3_upper,1.0,mean,0.0,5.0,11.430052302761343,7.115369722384209,28.636253282915604,5.671281819617709,
ss3_upper,1.0,mean,0.0,8.0,7.115369722384209,5.144554015970311,11.430052302761343,4.3314758742841555,19.081136687728208
ss3_upper,1.0,mean,0.0,10.0,5.671281819617709,4.3314758742841555,8.144346427974593,3.7320508075688776,11.430052302761343
ss3_upper,1.0,crest_proxy,0.5,0.0,,9.540568343864104,,5.7150261513806715,
ss3_upper,1.0,crest_proxy,0.5,3.0,9.540568343864104,4.757182227111292,,3.5576848611921044,
ss3_upper,1.0,crest_proxy,0.5,5.0,5.7150261513806715,3.5576848611921044,14.318126641457802,2.8356409098088546,
ss3_upper,1.0,crest_proxy,0.5,8.0,3.5576848611921044,2.5722770079851554,5.7150261513806715,2.1657379371420777,9.540568343864104
ss3_upper,1.0,crest_proxy,0.5,10.0,2.8356409098088546,2.1657379371420777,4.072173213987297,1.8660254037844388,5.7150261513806715
ss3_upper,1.0,trough_proxy,-0.5,0.0,,28.621705031592313,,17.145078454142013,
ss3_upper,1.0,trough_proxy,-0.5,3.0,28.621705031592313,14.271546681333875,,10.673054583576313,
ss3_upper,1.0,trough_proxy,-0.5,5.0,17.145078454142013,10.673054583576313,42.954379924373406,8.506922729426565,
ss3_upper,1.0,trough_proxy,-0.5,8.0,10.673054583576313,7.716831023955465,17.145078454142013,6.497213811426233,28.621705031592313
ss3_upper,1.0,trough_proxy,-0.5,10.0,8.506922729426565,6.497213811426233,12.21651964196189,5.598076211353316,17.145078454142013
