case_id,scenario_id,detector,mapping,point_count,finite_aoa_count,nonfinite_aoa_count,mean_azimuth_deg,std_azimuth_deg,mean_elevation_deg,std_elevation_deg
ss0_flat,pfa1e2_train2,ca_threshold_only,identity,256,256,0,-7.9303173563137,10.434365120708541,-21.977480355324452,5.71123095170994
ss0_flat,pfa1e2_train2,ca_threshold_only,rx_reverse,256,256,0,0.6887376607677003,1.8230864779837095,16.267888740775952,9.061954966996897
ss0_flat,pfa1e2_train2,ca_threshold_only,transpose,256,256,0,4.107617229170046,2.2838460890602432,-16.707563035530445,7.438023530696296
ss0_flat,pfa1e2_train2,ca_threshold_only,transpose_both_reverse,256,256,0,4.65454267057035,7.063653138066305,10.096054166339126,0.0770146806481212
ss0_flat,pfa1e2_train2,ca_threshold_only,transpose_rx_reverse,256,256,0,-3.2359758255149527,6.990329606685278,8.722788139528127,21.39260361219516
ss0_flat,pfa1e2_train2,ca_threshold_only,transpose_tx_reverse,256,256,0,-4.960432338117602,3.408457896252057,5.772632774135275,4.759963487513997
ss0_flat,pfa1e2_train2,ca_threshold_only,tx_reverse,256,256,0,8.474708739477403,9.487853041065357,31.30798051648418,5.112331068733265
ss0_flat,pfa1e2_train2,ca_threshold_only,tx_rx_reverse,256,256,0,-0.6878462810119672,0.060961423775751165,-7.768983030710286,5.553691069019855
ss0_flat,pfa1e2_train4,ca_threshold_only,identity,256,256,0,-12.50550806564898,0.06608362613240162,-19.65575080773381,0.5854616514784523
ss0_flat,pfa1e2_train4,ca_threshold_only,rx_reverse,256,256,0,1.473289190586036,0.04105262798417231,12.163450838555132,0.5396918265180103
ss0_flat,pfa1e2_train4,ca_threshold_only,transpose,256,256,0,5.105007731642159,0.0001719115592090621,-19.94244483309704,0.04379414683205184
ss0_flat,pfa1e2_train4,ca_threshold_only,transpose_both_reverse,256,256,0,7.739353855832641,0.0008958638249259263,10.12206892008539,0.09862224796532316
ss0_flat,pfa1e2_train4,ca_threshold_only,transpose_rx_reverse,256,256,0,-6.2722990427671546,0.05790094530065484,18.058478017483704,0.026003405368465547
ss0_flat,pfa1e2_train4,ca_threshold_only,transpose_tx_reverse,256,256,0,-6.4643426469312395,0.0555098315658429,3.739662047372015,0.16287719890069005
ss0_flat,pfa1e2_train4,ca_threshold_only,tx_reverse,256,256,0,12.644622998452768,0.09455085932439461,29.194526595231554,0.40607180182900393
ss0_flat,pfa1e2_train4,ca_threshold_only,tx_rx_reverse,256,256,0,-0.7085839922480512,0.01864819121995539,-5.239649279618079,0.37990015333432464
ss0_flat,pfa1e2_train8,ca_threshold_only,identity,256,256,0,-12.2943613873854,0.06173729384882738,-17.777151772383167,0.5471470678173411
ss0_flat,pfa1e2_train8,ca_threshold_only,rx_reverse,256,256,0,1.6130163624257088,0.0439173065073489,13.912991582935716,0.5146562695194028
