pose_name,antenna,board_x_mm,board_y_mm,radar_or_world_x_mm,radar_or_world_y_mm,radar_or_world_z_mm,coordinate_status
identity,RX1,54.610577779444434,83.56262977277778,54.610577779444434,83.56262977277778,0.0,board_relative_transformed_pose_candidate
identity,RX2,56.51057905944444,83.56262977277778,56.51057905944444,83.56262977277778,0.0,board_relative_transformed_pose_candidate
identity,RX3,58.41057779944444,83.56262977277778,58.41057779944444,83.56262977277778,0.0,board_relative_transformed_pose_candidate
identity,RX4,60.31057907944445,83.56262977277778,60.31057907944445,83.56262977277778,0.0,board_relative_transformed_pose_candidate
identity,TX1,67.09020872000002,83.68895251000002,67.09020872000002,83.68895251000002,0.0,board_relative_transformed_pose_candidate
identity,TX2,71.00820952000001,86.82395258999999,71.00820952000001,86.82395258999999,0.0,board_relative_transformed_pose_candidate
identity,TX3,74.92720854,83.68895251000002,74.92720854,83.68895251000002,0.0,board_relative_transformed_pose_candidate
identity,TX4,82.76420836000001,83.68895251000002,82.76420836000001,83.68895251000002,0.0,board_relative_transformed_pose_candidate
board_vertical_pitch_plus90,RX1,54.610577779444434,83.56262977277778,3.3439334638592098e-15,83.56262977277778,-54.610577779444434,board_relative_transformed_pose_candidate
board_vertical_pitch_plus90,RX2,56.51057905944444,83.56262977277778,3.4602749881556038e-15,83.56262977277778,-56.51057905944444,board_relative_transformed_pose_candidate
board_vertical_pitch_plus90,RX3,58.41057779944444,83.56262977277778,3.5766163569218545e-15,83.56262977277778,-58.41057779944444,board_relative_transformed_pose_candidate
board_vertical_pitch_plus90,RX4,60.31057907944445,83.56262977277778,3.6929578812182485e-15,83.56262977277778,-60.31057907944445,board_relative_transformed_pose_candidate
board_vertical_pitch_plus90,TX1,67.09020872000002,83.68895251000002,4.108090468153793e-15,83.68895251000002,-67.09020872000002,board_relative_transformed_pose_candidate
board_vertical_pitch_plus90,TX2,71.00820952000001,86.82395258999999,4.347998825092631e-15,86.82395258999999,-71.00820952000001,board_relative_transformed_pose_candidate
board_vertical_pitch_plus90,TX3,74.92720854,83.68895251000002,4.587968305377861e-15,83.68895251000002,-74.92720854,board_relative_transformed_pose_candidate
board_vertical_pitch_plus90,TX4,82.76420836000001,83.68895251000002,5.067846142601931e-15,83.68895251000002,-82.76420836000001,board_relative_transformed_pose_candidate
board_vertical_pitch_minus90,RX1,54.610577779444434,83.56262977277778,3.3439334638592098e-15,83.56262977277778,54.610577779444434,board_relative_transformed_pose_candidate
board_vertical_pitch_minus90,RX2,56.51057905944444,83.56262977277778,3.4602749881556038e-15,83.56262977277778,56.51057905944444,board_relative_transformed_pose_candidate
board_vertical_pitch_minus90,RX3,58.41057779944444,83.56262977277778,3.5766163569218545e-15,83.56262977277778,58.41057779944444,board_relative_transformed_pose_candidate
board_vertical_pitch_minus90,RX4,60.31057907944445,83.56262977277778,3.6929578812182485e-15,83.56262977277778,60.31057907944445,board_relative_transformed_pose_candidate
board_vertical_pitch_minus90,TX1,67.09020872000002,83.68895251000002,4.108090468153793e-15,83.68895251000002,67.09020872000002,board_relative_transformed_pose_candidate
board_vertical_pitch_minus90,TX2,71.00820952000001,86.82395258999999,4.347998825092631e-15,86.82395258999999,71.00820952000001,board_relative_transformed_pose_candidate
board_vertical_pitch_minus90,TX3,74.92720854,83.68895251000002,4.587968305377861e-15,83.68895251000002,74.92720854,board_relative_transformed_pose_candidate
board_vertical_pitch_minus90,TX4,82.76420836000001,83.68895251000002,5.067846142601931e-15,83.68895251000002,82.76420836000001,board_relative_transformed_pose_candidate
board_vertical_roll_plus90,RX1,54.610577779444434,83.56262977277778,54.610577779444434,5.116735353978381e-15,83.56262977277778,board_relative_transformed_pose_candidate
board_vertical_roll_plus90,RX2,56.51057905944444,83.56262977277778,56.51057905944444,5.116735353978381e-15,83.56262977277778,board_relative_transformed_pose_candidate
board_vertical_roll_plus90,RX3,58.41057779944444,83.56262977277778,58.41057779944444,5.116735353978381e-15,83.56262977277778,board_relative_transformed_pose_candidate
board_vertical_roll_plus90,RX4,60.31057907944445,83.56262977277778,60.31057907944445,5.116735353978381e-15,83.56262977277778,board_relative_transformed_pose_candidate
board_vertical_roll_plus90,TX1,67.09020872000002,83.68895251000002,67.09020872000002,5.124470390768319e-15,83.68895251000002,board_relative_transformed_pose_candidate
board_vertical_roll_plus90,TX2,71.00820952000001,86.82395258999999,71.00820952000001,5.316433781433252e-15,86.82395258999999,board_relative_transformed_pose_candidate
board_vertical_roll_plus90,TX3,74.92720854,83.68895251000002,74.92720854,5.124470390768319e-15,83.68895251000002,board_relative_transformed_pose_candidate
board_vertical_roll_plus90,TX4,82.76420836000001,83.68895251000002,82.76420836000001,5.124470390768319e-15,83.68895251000002,board_relative_transformed_pose_candidate
board_vertical_roll_minus90,RX1,54.610577779444434,83.56262977277778,54.610577779444434,5.116735353978381e-15,-83.56262977277778,board_relative_transformed_pose_candidate
