sea_state,label,target_hs_m,wind_direction_deg,producer,matlab_version,run_id,case_id,frames,ideal_half_lambda_azimuth_rmse_deg,ideal_half_lambda_elevation_rmse_deg,provisional_pcb_endpoint_azimuth_rmse_deg,provisional_pcb_endpoint_elevation_rmse_deg,model_azimuth_difference_rmse_deg,model_elevation_difference_rmse_deg,model_difference_over_10deg_rate
0,calm_glassy,0.0,0.0,matlab,25.1.0.2943329 (R2025a),v02b_quick_seed101_hs1m,ss0_flat,41,53.937769595480205,3.6385890251952095,38.668922195633954,3.565280923658566,43.22854747817894,3.94783052494133,0.5365853658536586
1,calm_rippled,0.05,0.0,matlab,25.1.0.2943329 (R2025a),v02b_quick_seed101_hs1m,ss1_rippled,41,53.937769595480205,3.64512506356742,41.07943572197671,3.0567533614745432,44.81996506349244,3.757918468981491,0.5853658536585366
2,normal_smooth_wavelets,0.3,0.0,matlab,25.1.0.2943329 (R2025a),v02b_quick_seed101_hs1m,ss2_normal,41,52.658080395272755,3.7380913063279757,39.895752400681815,3.1374853072459303,42.227606274892224,3.8413666267326803,0.5609756097560976
3,slight_nominal,0.85,0.0,matlab,25.1.0.2943329 (R2025a),v02b_quick_seed101_hs1m,ss3_nominal,41,46.87417946960345,3.59007633982701,35.2920518824609,4.551115530713402,42.19264760826372,4.364490862380729,0.5609756097560976
3,project_state3_upper_limit,1.0,0.0,matlab,25.1.0.2943329 (R2025a),v02b_quick_seed101_hs1m,ss3_upper,41,46.85700529110917,3.6392148131686612,33.786406234254,3.863959277757821,41.12354971866382,3.6891402924747894,0.5365853658536586
