actual_model,assumed_model,truth_azimuth_deg,truth_elevation_deg,estimated_azimuth_deg,estimated_elevation_deg,azimuth_error_deg,elevation_error_deg,normalized_beam_peak
ideal_half_lambda,pcb_copper_centroid,-40.0,0.0,72.0,-12.0,112.0,-12.0,0.9019619579705657
ideal_half_lambda,pcb_copper_centroid,-20.0,0.0,-2.0,0.0,18.0,0.0,0.9516026373586836
ideal_half_lambda,pcb_copper_centroid,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ideal_half_lambda,pcb_copper_centroid,20.0,0.0,2.0,0.0,-18.0,0.0,0.9516026373586844
ideal_half_lambda,pcb_copper_centroid,40.0,0.0,-72.0,12.0,-112.0,12.0,0.9019619579705661
ideal_half_lambda,pcb_copper_centroid,60.0,0.0,14.0,2.0,-46.0,2.0,0.8466390731482101
ideal_half_lambda,pcb_copper_centroid,-60.0,10.0,-48.0,18.0,12.0,8.0,0.8503086697527215
ideal_half_lambda,pcb_copper_centroid,-40.0,10.0,66.0,30.0,106.0,20.0,0.909927681992727
ideal_half_lambda,pcb_copper_centroid,-20.0,10.0,-14.0,-8.0,6.0,-18.0,0.9639845052501712
ideal_half_lambda,pcb_copper_centroid,0.0,10.0,80.0,-12.0,80.0,-22.0,0.99557536797269
ideal_half_lambda,pcb_copper_centroid,20.0,10.0,32.0,8.0,12.0,-2.0,0.9600984513960951
ideal_half_lambda,pcb_copper_centroid,40.0,10.0,48.0,30.0,8.0,20.0,0.9121116199814299
ideal_half_lambda,pcb_copper_centroid,60.0,10.0,-28.0,26.0,-88.0,16.0,0.8571042272331405
ideal_half_lambda,pcb_copper_centroid,-60.0,20.0,-40.0,12.0,20.0,-8.0,0.8636570358920995
ideal_half_lambda,pcb_copper_centroid,-40.0,20.0,80.0,40.0,120.0,20.0,0.9184498482189364
ideal_half_lambda,pcb_copper_centroid,-20.0,20.0,-8.0,20.0,12.0,0.0,0.9592287928734485
ideal_half_lambda,pcb_copper_centroid,0.0,20.0,-20.0,-2.0,-20.0,-22.0,0.9716099586036988
ideal_half_lambda,pcb_copper_centroid,20.0,20.0,-74.0,-2.0,-94.0,-22.0,0.9677654241765217
ideal_half_lambda,pcb_copper_centroid,40.0,20.0,46.0,4.0,6.0,-16.0,0.8993234623706022
ideal_half_lambda,pcb_copper_centroid,60.0,20.0,-36.0,26.0,-96.0,6.0,0.8606068464247586
ideal_half_lambda,rf_endpoint_candidate,-60.0,-20.0,-54.0,12.0,6.0,32.0,0.992773771301954
ideal_half_lambda,rf_endpoint_candidate,-40.0,-20.0,56.0,-38.0,96.0,-18.0,0.9690963737257278
ideal_half_lambda,rf_endpoint_candidate,-20.0,-20.0,24.0,16.0,44.0,36.0,0.9537327496649808
ideal_half_lambda,rf_endpoint_candidate,0.0,-20.0,28.0,-6.0,28.0,14.0,0.9675343862357467
ideal_half_lambda,rf_endpoint_candidate,20.0,-20.0,70.0,-16.0,50.0,4.0,0.9651386943413817
ideal_half_lambda,rf_endpoint_candidate,40.0,-20.0,-80.0,40.0,-120.0,60.0,0.9732263626295105
ideal_half_lambda,rf_endpoint_candidate,60.0,-20.0,72.0,2.0,12.0,22.0,0.9926552620773541
ideal_half_lambda,rf_endpoint_candidate,-60.0,-10.0,40.0,-10.0,100.0,0.0,0.987779304687655
ideal_half_lambda,rf_endpoint_candidate,-40.0,-10.0,-70.0,-6.0,-30.0,4.0,0.9757569622812945
ideal_half_lambda,rf_endpoint_candidate,-20.0,-10.0,30.0,32.0,50.0,42.0,0.9848227952997837
ideal_half_lambda,rf_endpoint_candidate,0.0,-10.0,2.0,-6.0,2.0,4.0,0.9105806912677649
