actual_model,assumed_model,azimuth_rmse_deg,elevation_rmse_deg,azimuth_max_abs_error_deg,elevation_max_abs_error_deg,combined_rmse_deg
cfg_raw,cfg_raw,38.3208206295213,22.612536471379276,63.405770329010046,42.39894728706385,31.46277244132661
cfg_raw,cfg_swap_row_column,49.31604427057791,15.511703998049589,90.77090368159712,29.880297732026197,36.5560199106844
cfg_raw,tx_rx_regular,64.30761284289771,40.853853425544024,128.00472220457726,74.46865223719362,53.87256448911569
cfg_raw,tx_rx_swapped,5.105356236242619,24.83873423693936,15.026204045020691,50.64071131847828,17.930802837467215
cfg_raw,cfg_y_mirror,38.320820629521315,21.891693579501343,63.40577032901018,50.72640047041508,31.206822503250205
cfg_raw,regular_y_mirror,64.30761284289613,40.853853425544,128.00472220457314,74.46865223719362,53.87256448911475
cfg_swap_row_column,cfg_raw,40.56215223498965,24.11540134571564,70.90658768145704,42.83419221133498,33.36795450727703
cfg_swap_row_column,cfg_swap_row_column,48.57145681981595,15.63703629203794,83.78200173354281,25.18732621691943,36.081181532744715
cfg_swap_row_column,tx_rx_regular,46.55186255483445,4.1340435789605754e-13,91.53177953597655,6.146194664324867e-13,32.91713768938756
cfg_swap_row_column,tx_rx_swapped,42.968473032997316,28.806039564553647,82.3998892750486,47.3435349570592,36.57921260895352
cfg_swap_row_column,cfg_y_mirror,40.56215223498966,20.57584090203244,70.90658768145718,37.388212421194766,32.1609501007062
cfg_swap_row_column,regular_y_mirror,46.55186255483441,28.284271247461486,91.5317795359768,39.99999999999946,38.51672303898769
tx_rx_regular,cfg_raw,29.066453193501918,16.495531629759785,47.39638298936225,23.838138300912064,23.632194830341547
tx_rx_regular,cfg_swap_row_column,39.697729503377175,16.460061158888994,62.93085225570212,32.57488542316963,30.387853996931646
tx_rx_regular,tx_rx_regular,2.6565142651694297e-13,4.0900426352046917e-13,8.597567102697212e-13,6.181721801112872e-13,3.448587884833502e-13
tx_rx_regular,tx_rx_swapped,44.467954021684626,40.853853425544045,96.05238873238659,74.46865223719357,42.69915850804612
tx_rx_regular,cfg_y_mirror,29.066453193501903,11.79918981766359,47.39638298936222,17.21379517784296,22.18196994862374
tx_rx_regular,regular_y_mirror,2.6624871089791596e-13,28.28427124746149,8.668621376273222e-13,39.99999999999946,19.99999999999971
tx_rx_swapped,cfg_raw,35.70148780710593,15.099388859357504,60.055144393429345,27.678496105679546,27.409740746375387
tx_rx_swapped,cfg_swap_row_column,45.72975004073629,10.641019729747722,68.47050577001903,19.94540901720007,33.19970888183435
tx_rx_swapped,tx_rx_regular,44.46795402168462,40.853853425544045,96.0523887323866,74.4686522371936,42.69915850804612
tx_rx_swapped,tx_rx_swapped,2.5477469898233593e-13,4.083198604733458e-13,8.171241461241152e-13,6.217248937900877e-13,3.40319890469623e-13
tx_rx_swapped,cfg_y_mirror,35.701487807105934,15.391167978280906,60.055144393429366,28.12408583324012,27.490764661760444
tx_rx_swapped,regular_y_mirror,44.46795402168363,40.85385342554403,96.0523887323847,74.46865223719365,42.6991585080456
cfg_y_mirror,cfg_raw,38.3208206295213,21.89169357950095,63.40577032901005,50.72640047041415,31.206822503250056
cfg_y_mirror,cfg_swap_row_column,49.31604427057794,15.511703998049581,90.77090368159713,29.880297732026204,36.55601991068441
cfg_y_mirror,tx_rx_regular,64.3076128428978,40.85385342554404,128.0047222045775,74.46865223719365,53.872564489115746
cfg_y_mirror,tx_rx_swapped,5.10535623624267,24.729706160107302,15.026204045020762,52.605336715104336,17.85529373973152
cfg_y_mirror,cfg_y_mirror,38.320820629521315,22.61253647137969,63.40577032901019,42.39894728706498,31.462772441326774
cfg_y_mirror,regular_y_mirror,64.30761284289625,40.85385342554403,128.0047222045735,74.46865223719365,53.87256448911483
regular_y_mirror,cfg_raw,29.066453193501918,11.799189817663631,47.396382989362245,17.213795177842997,22.18196994862376
regular_y_mirror,cfg_swap_row_column,39.69772950337718,19.471661862789492,62.93085225570211,38.068470591693575,31.265438933606173
regular_y_mirror,tx_rx_regular,2.6395504867777844e-13,28.28427124746149,8.313350008393172e-13,39.99999999999945,19.99999999999971
regular_y_mirror,tx_rx_swapped,44.46795402168461,40.853853425544045,96.05238873238662,74.46865223719357,42.69915850804611
regular_y_mirror,cfg_y_mirror,29.066453193501903,16.49553162975987,47.39638298936221,23.83813830091219,23.632194830341565
regular_y_mirror,regular_y_mirror,2.7671915780552725e-13,4.131787239789311e-13,8.810729923425242e-13,6.217248937900877e-13,3.516320166349034e-13
