frame_num,reference_point_count,decoded_point_count,count_match,coordinate_rmse
252,20,12,False,
253,20,12,False,
254,20,14,False,
255,20,12,False,
256,16,10,False,
257,20,10,False,
258,14,12,False,
259,22,10,False,
260,14,12,False,
261,14,8,False,
262,18,8,False,
263,18,8,False,
264,14,10,False,
265,24,12,False,
266,16,12,False,
267,12,12,True,1.3395663595255518
268,12,10,False,
269,12,10,False,
270,12,10,False,
271,14,8,False,
272,16,12,False,
273,16,10,False,
274,20,12,False,
275,16,12,False,
276,16,10,False,
277,20,8,False,
278,20,10,False,
279,18,12,False,
280,16,12,False,
281,18,12,False,
282,20,10,False,
283,26,14,False,
284,14,16,False,
285,22,16,False,
286,24,18,False,
287,12,12,True,2.171726825505314
288,18,10,False,
289,16,16,True,2.064448940031286
290,18,14,False,
291,14,10,False,
292,12,10,False,
293,14,10,False,
294,12,12,True,2.465193826559907
295,18,10,False,
296,18,12,False,
297,16,8,False,
298,16,10,False,
299,14,12,False,
300,12,12,True,2.1215883587906865
301,12,10,False,
302,12,10,False,
303,12,12,True,2.276591625550061
304,12,10,False,
305,12,14,False,
306,14,14,True,1.562558356579065
307,10,10,True,0.42520859903743363
308,10,12,False,
309,10,12,False,
310,12,16,False,
311,12,14,False,
312,10,16,False,
313,10,14,False,
314,10,10,True,0.42001572295675704
315,10,14,False,
316,10,14,False,
317,10,10,True,0.6645481981167981
318,10,10,True,0.02301828119318425
319,10,12,False,
320,10,10,True,0.1125370587044777
321,10,10,True,0.07084905788476177
322,14,16,False,
323,12,8,False,
324,12,10,False,
325,12,18,False,
326,12,18,False,
327,12,18,False,
328,12,16,False,
329,12,14,False,
330,14,16,False,
331,16,21,False,
332,12,20,False,
333,12,20,False,
334,12,28,False,
335,10,24,False,
336,10,30,False,
337,10,34,False,
338,12,16,False,
339,12,18,False,
340,12,10,False,
341,12,10,False,
342,12,12,True,0.5954355522744953
343,12,16,False,
344,12,14,False,
345,12,14,False,
346,12,22,False,
347,12,22,False,
348,12,28,False,
349,12,20,False,
350,12,18,False,
351,12,18,False,
352,12,20,False,
353,12,22,False,
354,12,24,False,
355,16,16,True,2.4080580637954916
356,12,20,False,
357,12,20,False,
358,10,20,False,
359,12,26,False,
360,12,18,False,
361,12,16,False,
362,12,16,False,
363,12,12,True,1.296255415306672
364,12,14,False,
365,12,20,False,
366,12,22,False,
367,12,22,False,
368,12,24,False,
369,12,26,False,
370,12,14,False,
371,12,12,True,1.3599229408848856
372,12,24,False,
373,12,22,False,
374,12,18,False,
375,12,20,False,
376,12,20,False,
377,12,12,True,0.057901195946138996
378,12,16,False,
379,12,20,False,
380,12,20,False,
381,12,14,False,
382,12,16,False,
383,12,14,False,
384,12,12,True,0.16510790228127106
385,12,12,True,0.020285216190284967
386,12,12,True,0.8840676345680578
387,10,10,True,0.02302060769864297
388,10,12,False,
389,10,14,False,
