antenna,net_id,pad_count,track_endpoint_count,track_min_x_mil,track_max_x_mil,track_min_y_mil,track_max_y_mil
TX4,107,1,4,5778.4656,6595.5377,4412.1259,4956.6373
TX3,108,1,8,5778.4656,6467.8622,4463.307,4956.6373
TX2,109,1,8,5778.4656,6369.0117,4514.4881,5080.0625
TX1,110,1,14,5778.4656,6296.8369,4565.6692,4749.5523
RX4,117,1,8,5676.1034,5711.5365,4591.2597,4948.7637
RX3,118,1,6,5624.9223,5653.9971,4591.2597,4948.7637
RX2,119,1,6,5544.6664,5573.7412,4591.2597,4948.7637
RX1,120,1,8,5487.127,5522.5601,4591.2597,4948.7637
