case_id,model,point_count,nonzero_weight_points,two_way_scatter_sum,mean_estimated_azimuth_deg,mean_estimated_elevation_deg
ss0_flat,cfg_candidate,205,205,0.0017182865055189076,0.0,9.6
ss0_flat,ideal_half_lambda,205,205,0.002103528914467649,0.0,8.0
ss0_flat,pcb_copper_centroid,205,205,0.002679491259106438,-4.8,5.6
ss0_flat,rf_endpoint_candidate,205,205,0.00026385424315392484,42.4,-1.6
ss1_rippled,cfg_candidate,207,207,0.0017078352045851984,0.0,9.603864734299517
ss1_rippled,ideal_half_lambda,207,207,0.0020893962517395115,0.0,8.0
ss1_rippled,pcb_copper_centroid,207,207,0.003557984953252538,-1.7198067632850242,-2.1642512077294684
ss1_rippled,rf_endpoint_candidate,207,207,0.0023699075505779666,-0.27053140096618356,1.7584541062801933
ss2_normal,cfg_candidate,242,242,0.0028012162039914358,0.01652892561983471,8.809917355371901
ss2_normal,ideal_half_lambda,242,242,0.002762029315350788,0.01652892561983471,8.0
ss2_normal,pcb_copper_centroid,242,242,0.005055271400101217,-0.5950413223140496,-0.49586776859504134
ss2_normal,rf_endpoint_candidate,242,242,0.006870676322479443,2.479338842975207,0.8760330578512396
ss3_nominal,cfg_candidate,287,287,0.007910057793703566,-1.421602787456446,8.013937282229966
ss3_nominal,ideal_half_lambda,287,287,0.006971434603453272,-1.4076655052264808,7.484320557491289
ss3_nominal,pcb_copper_centroid,287,287,0.008405152878140613,-3.205574912891986,-1.9651567944250872
ss3_nominal,rf_endpoint_candidate,287,287,0.006583564641481691,-2.2439024390243905,0.9895470383275261
ss3_upper,cfg_candidate,293,293,0.010932786850801459,-1.993174061433447,7.699658703071672
ss3_upper,ideal_half_lambda,293,293,0.009475709063509698,-1.993174061433447,7.262798634812286
ss3_upper,pcb_copper_centroid,293,293,0.007310753664936349,-7.440273037542662,-2.2389078498293515
ss3_upper,rf_endpoint_candidate,293,293,0.011640765516008669,-3.9044368600682593,-0.5460750853242321
