case_id,frame,doppler_index,range_index,range_m,velocity_mps,azimuth_deg,elevation_deg,power_linear,noise_linear,threshold_linear,aoa_score,x_m,y_m,z_m
ss3_nominal,25,32,5,8.78298216796875,0.0,48.0,-19.0,75112.9140625,10096.9482421875,71943.03642210105,0.4483666211685208,6.171425981442376,5.556776912775482,-2.859459295055703
ss3_nominal,29,32,5,8.78298216796875,0.0,-33.0,15.0,54597.59765625,7456.42236328125,53128.69322423037,0.4006817957663332,-4.620559250790333,7.115037303521392,2.2732030578661395
ss3_upper,25,32,5,8.78298216796875,0.0,21.0,15.0,107585.5703125,10256.439453125,73079.44731797345,0.4060934315748712,3.0402895092023905,7.920224953926433,2.2732030578661395
ss3_upper,29,32,5,8.78298216796875,0.0,-1.0,-12.0,154223.09375,7684.70556640625,54755.26259975265,0.30800497113853587,-0.14993454754385538,8.58974447591275,-1.8260846729646125
