transform,azimuth_rmse_deg,elevation_rmse_deg,azimuth_max_abs_error_deg,elevation_max_abs_error_deg,coordinate_status
raw,38.241514149965155,21.889917952626387,63.27436314738409,50.58732083814216,pcb_centroid_generated_cfg_ideal_estimator
x_mirror,42.807662685519865,21.889917952626384,60.18469978224296,50.58732083814215,pcb_centroid_generated_cfg_ideal_estimator
y_mirror,38.24151414996516,22.49269744197863,63.27436314738411,42.09503200649664,pcb_centroid_generated_cfg_ideal_estimator
rotate_180,42.807662685519865,22.49269744197863,60.18469978224296,42.09503200649654,pcb_centroid_generated_cfg_ideal_estimator
