case_id,unweighted_3db_sum,one_way_3db_sum,two_way_3db_sum,one_way_over_unweighted,two_way_over_unweighted
ss0_flat,0.0,0.0,0.0,,
ss1_rippled,0.0,0.0,0.0,,
ss2_normal,0.0366202800959308,0.004397312974438041,0.0005478275642559054,0.12007862755060317,0.014959677064752416
ss3_nominal,0.14976361432883664,0.02173667528468828,0.003403353002450823,0.1451398951748117,0.02272483218105344
ss3_upper,0.1891346567474816,0.029544322652979134,0.005092959679018671,0.15620787412020684,0.02692769144799522
