antenna,center_x_mil,center_y_mil,center_x_relative_to_origin_mm,center_y_relative_to_origin_mm,status
RX1,5487.692447222222,5323.867613888889,54.610577779444434,83.56262977277778,mechanical_board_relative_not_phase_center
RX2,5562.495647222222,5323.867613888889,56.51057905944444,83.56262977277778,mechanical_board_relative_not_phase_center
RX3,5637.298747222222,5323.867613888889,58.41057779944444,83.56262977277778,mechanical_board_relative_not_phase_center
RX4,5712.101947222222,5323.867613888889,60.31057907944445,83.56262977277778,mechanical_board_relative_not_phase_center
TX1,5979.016500000001,5328.840950000001,67.09020872000002,83.68895251000002,mechanical_board_relative_not_phase_center
TX2,6133.2685,5452.2661499999995,71.00820952000001,86.82395258999999,mechanical_board_relative_not_phase_center
TX3,6287.5598,5328.840950000001,74.92720854,83.68895251000002,mechanical_board_relative_not_phase_center
TX4,6596.1031,5328.840950000001,82.76420836000001,83.68895251000002,mechanical_board_relative_not_phase_center
