vertex_index,x_mil,y_mil,x_mm,y_mm,x_relative_to_origin_mm,y_relative_to_origin_mm
0,3337.6697,2034.0,84.77681038,51.663599999999995,0.0,-7.619999998087223e-06
1,3337.6697,6955.252,84.77681038,176.6634008,0.0,124.99979318000001
2,6684.1192,6955.2517,169.77662768,176.66339317999999,84.9998173,124.99978555999999
3,6684.12,2033.9997,169.776648,51.66359238,84.99983762,-1.5239999996174447e-05
4,6684.12,6955.2517,169.776648,176.66339317999999,84.99983762,124.99978555999999
