case_id,scenario_id,target_snr_db,pfa,target_range_truth_m,target_velocity_truth_mps,target_rcs_m2,frames,detection_probability,mean_false_alarms_per_frame,target_azimuth_rmse_deg,target_elevation_rmse_deg,mean_target_amplitude,target_id
ss3_upper,snr15_pfa0.01,15.0,0.01,20.0,1.0,1.0,41,1.0,0.2682926829268293,0.0,0.0,3.005866591500325,r20
ss3_upper,snr15_pfa0.001,15.0,0.001,20.0,1.0,1.0,41,1.0,0.14634146341463414,0.0,0.0,3.005866591500325,r20
ss3_upper,snr0_pfa0.01,0.0,0.01,40.0,1.0,1.0,41,0.0,0.2682926829268293,,,0.0026587433489249634,r40
ss3_upper,snr0_pfa0.001,0.0,0.001,40.0,1.0,1.0,41,0.0,0.14634146341463414,,,0.0026587433489249634,r40
ss3_upper,snr5_pfa0.01,5.0,0.01,40.0,1.0,1.0,41,0.0,0.2682926829268293,,,0.004727988553971195,r40
ss3_upper,snr5_pfa0.001,5.0,0.001,40.0,1.0,1.0,41,0.0,0.14634146341463414,,,0.004727988553971195,r40
ss3_upper,snr10_pfa0.01,10.0,0.01,40.0,1.0,1.0,41,0.0,0.2682926829268293,,,0.008407684696426675,r40
ss3_upper,snr10_pfa0.001,10.0,0.001,40.0,1.0,1.0,41,0.0,0.14634146341463414,,,0.008407684696426675,r40
ss3_upper,snr15_pfa0.01,15.0,0.01,40.0,1.0,1.0,41,0.0,0.2682926829268293,,,0.014951212581754908,r40
ss3_upper,snr15_pfa0.001,15.0,0.001,40.0,1.0,1.0,41,0.0,0.14634146341463414,,,0.014951212581754908,r40
ss3_upper,snr0_pfa0.01,0.0,0.01,60.0,1.0,1.0,41,0.0,0.2682926829268293,,,0.00030325001950183507,r60
ss3_upper,snr0_pfa0.001,0.0,0.001,60.0,1.0,1.0,41,0.0,0.14634146341463414,,,0.00030325001950183507,r60
ss3_upper,snr5_pfa0.01,5.0,0.01,60.0,1.0,1.0,41,0.0,0.2682926829268293,,,0.000539263265774015,r60
ss3_upper,snr5_pfa0.001,5.0,0.001,60.0,1.0,1.0,41,0.0,0.14634146341463414,,,0.000539263265774015,r60
ss3_upper,snr10_pfa0.01,10.0,0.01,60.0,1.0,1.0,41,0.0,0.2682926829268293,,,0.0009589607621162783,r60
ss3_upper,snr10_pfa0.001,10.0,0.001,60.0,1.0,1.0,41,0.0,0.14634146341463414,,,0.0009589607621162783,r60
ss3_upper,snr15_pfa0.01,15.0,0.01,60.0,1.0,1.0,41,0.0,0.2682926829268293,,,0.0017053001783066113,r60
ss3_upper,snr15_pfa0.001,15.0,0.001,60.0,1.0,1.0,41,0.0,0.14634146341463414,,,0.0017053001783066113,r60
